n,seed,checkpoint,mode,target_timesteps,timesteps_completed,parameter_count
24,20260627,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v03_lex_primary_N24_N40\ppo_training_v03\checkpoints\N24_seed20260627_maskable_ppo_v03.zip,interrupted_long_run_intermediate_frozen_from_N24_seed20260627_checkpoint_100000_steps.zip,100000,100000,"{""total_parameters"": 72937, ""trainable_parameters"": 72937}"
40,20260627,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v03_lex_primary_N24_N40\ppo_training_v03\checkpoints\N40_seed20260627_maskable_ppo_v03.zip,fresh_one_seed_training,60000,61440,"{""total_parameters"": 72937, ""trainable_parameters"": 72937}"
