scope,count,mean_surrogate_prediction,mean_gnn_reward_prediction,mean_hybrid_score,mean_disagreement,mean_novelty_distance
N24,30,0.49913222373915256,0.5166378501413333,0.4352080559293715,0.041499432531400426,0.2031400966183575
N40,30,0.49835889526504,0.5102217964917314,0.43671818413993424,0.04463428488242973,0.2442307692307692
