n,leaderboard,rank,strategy_name,dataset_source,metric_value,u2_range,peeq_max,surface_t_proxy,mises_max
24,top_peeq,2,S3R34N32INF_N24_B01_graph_pointer,run36_N32_informed_native_batch32,0.1512167304754257,8.404852360399673e-05,0.1512167304754257,581126080.0,579944640.0
24,top_peeq,3,S3R34N32INF_N24_B07_sentinel,run36_N32_informed_native_batch32,0.1516375094652176,0.0001576931415456,0.1516375094652176,582095296.0,579944256.0
24,top_peeq,4,S3R34N32INF_N24_B06_diversity,run36_N32_informed_native_batch32,0.1539438366889953,0.000223823039505,0.1539438366889953,583285568.0,579944128.0
24,top_peeq,5,S3R34N32INF_N24_B03_hybrid_agree,run36_N32_informed_native_batch32,0.1546439528465271,0.0002418987551209,0.1546439528465271,582266176.0,579944320.0
40,top_peeq,1,S3R34N32INF_N40_B06_diversity,run36_N32_informed_native_batch32,0.1472502499818802,0.0006026536907484,0.1472502499818802,585624640.0,579925120.0
40,top_peeq,2,S3R34N32INF_N40_B05_uncertainty,run36_N32_informed_native_batch32,0.1488805264234542,0.0007050070043987,0.1488805264234542,583357120.0,579926464.0
40,top_peeq,3,S3R34N32INF_N40_B07_sentinel,run36_N32_informed_native_batch32,0.1492619067430496,0.0006454233700878,0.1492619067430496,583033216.0,579926080.0
40,top_peeq,4,S3R34N32INF_N40_B04_hybrid_disagree,run36_N32_informed_native_batch32,0.1524647027254104,0.0007251808672208,0.1524647027254104,582093376.0,579926464.0
40,top_peeq,5,S3R34N32INF_N40_B03_hybrid_agree,run36_N32_informed_native_batch32,0.1526638865470886,0.0007187606411207,0.1526638865470886,583502784.0,579925376.0
12,top_surfaceT,1,S3R34N32INF_N12_B03_hybrid_agree,run36_N32_informed_native_batch32,581436224.0,5.269739813229535e-05,0.1545384377241134,581436224.0,579939520.0
12,top_surfaceT,2,S3R34N32INF_N12_B04_hybrid_disagree,run36_N32_informed_native_batch32,581437888.0,5.994689445287804e-05,0.1500022262334823,581437888.0,579938432.0
12,top_surfaceT,3,S3R34N32INF_N12_B02_surrogate_top,run36_N32_informed_native_batch32,581848896.0,3.5468697433316265e-05,0.1539434939622879,581848896.0,579938560.0
12,top_surfaceT,4,S3R34N32INF_N12_B01_graph_pointer,run36_N32_informed_native_batch32,582666752.0,5.744353620684706e-05,0.1684480607509613,582666752.0,579939584.0
16,top_surfaceT,1,S3R34N32INF_N16_B04_hybrid_disagree,run36_N32_informed_native_batch32,581461312.0,9.529680437481149e-05,0.1514548659324646,581461312.0,579948160.0
16,top_surfaceT,2,S3R34N32INF_N16_B01_graph_pointer,run36_N32_informed_native_batch32,581969920.0,5.834493731526891e-05,0.1720538139343261,581969920.0,579948480.0
16,top_surfaceT,3,S3R34N32INF_N16_B02_surrogate_top,run36_N32_informed_native_batch32,582068416.0,9.155312864095322e-05,0.1565309762954712,582068416.0,579947136.0
