n,leaderboard,rank,strategy_name,dataset_source,metric_value,u2_range,peeq_max,surface_t_proxy,mises_max
40,top_mises,5,S3R24L64_N40_B20_tradeoff_probe,shortlist64_run27,579924800.0,0.0013657823437824,0.1546751409769058,584047232.0,579924800.0
12,top_reward,1,S3B20_N12_B02_diversity_top,batch20_run14,0.8578571428571429,2.3353248252533376e-05,0.1469611227512359,582776448.0,579939520.0
12,top_reward,2,S3B20_N12_B04_surrogate_top,batch20_run14,0.8528571428571429,3.2932137401076034e-05,0.1426714956760406,582234944.0,579939584.0
12,top_reward,3,S3R19B28_N12_B04_method_c_inspired,batch28_run20,0.8371428571428572,2.9964902523715864e-05,0.1453216075897216,582802304.0,579939584.0
12,top_reward,4,S3R19B28_N12_B01_surrogate_top,batch28_run20,0.8314285714285715,3.746341781152296e-05,0.1469832807779312,581021440.0,579938496.0
12,top_reward,5,N12_A08_block_interleaved_quarters,probe60_run08,0.8071428571428572,3.682645638036775e-05,0.1432445049285888,582462656.0,579939584.0
16,top_reward,1,S3R24L64_N16_B02_top_region,shortlist64_run27,0.8778571428571429,4.0733349123911466e-05,0.1522163301706314,581438784.0,579948416.0
16,top_reward,2,S3B20_N16_B04_surrogate_top,batch20_run14,0.8521428571428572,4.716870898846537e-05,0.1489115208387375,581447424.0,579948288.0
16,top_reward,3,S3R24L64_N16_B08_exploitation_reference,shortlist64_run27,0.8135714285714286,4.2947722249664366e-05,0.1522741019725799,581874176.0,579948352.0
16,top_reward,4,S3R19B28_N16_B02_u2_primary_top,batch28_run20,0.7864285714285715,4.36779828305589e-05,0.1526079922914505,581782208.0,579948352.0
16,top_reward,5,S3R19B28_N16_B04_method_c_inspired,batch28_run20,0.7807142857142858,4.279385166228167e-05,0.1526066660881042,585915328.0,579948288.0
24,top_reward,1,S3R34N32INF_N24_B11_n24_calibration,run36_N32_informed_native_batch32,0.8415384615384615,4.1137876905850135e-05,0.1561603546142578,583126336.0,579943616.0
24,top_reward,2,S3R34N32INF_N24_B10_n24_calibration,run36_N32_informed_native_batch32,0.8326923076923078,3.273940910730744e-05,0.1578422635793686,583110016.0,579944384.0
24,top_reward,3,S3R19B28_N24_B10_known_best_mutation,batch28_run20,0.8207692307692308,4.000997159891995e-05,0.1574321687221527,582112512.0,579944704.0
24,top_reward,4,N24_A04_method_c_u2_first_engineering,probe60_run08,0.8126923076923077,5.621172385872342e-05,0.1543776392936706,581727232.0,579944640.0
24,top_reward,5,S3R24L64_N24_B23_exploitation_reference,shortlist64_run27,0.7773076923076925,5.36375810042955e-05,0.1543297171592712,586287680.0,579944640.0
40,top_reward,1,S3R24L64_N40_B23_exploitation_reference,shortlist64_run27,0.8992307692307693,5.95808796788333e-05,0.1540761291980743,581783552.0,579927552.0
40,top_reward,2,S3R34N32INF_N40_B10_n40_best_near,run36_N32_informed_native_batch32,0.8780769230769231,6.680645856249612e-05,0.1554957032203674,581764736.0,579927616.0
40,top_reward,3,S3R34N32INF_N40_B08_n40_best_near,run36_N32_informed_native_batch32,0.8773076923076923,5.696606240235269e-05,0.1578764021396637,582174208.0,579926528.0
40,top_reward,4,S3R34N32INF_N40_B11_n40_best_near,run36_N32_informed_native_batch32,0.8423076923076923,0.0001003126781142,0.1535033136606216,582332992.0,579927552.0
40,top_reward,5,N40_A04_method_c_u2_first_engineering,probe60_run08,0.8288461538461539,0.0001108189990191,0.153950959444046,582221504.0,579926528.0
