n,count,best_u2_strategy,best_u2_source,best_u2_value,best_peeq_strategy,best_peeq_source,best_peeq_value,best_surfaceT_strategy,best_surfaceT_source,best_surfaceT_value,best_mises_strategy,best_mises_source,best_mises_value,best_reward_strategy,best_reward_source,best_reward_value
24,30,S3R39N2440B60_N24_B08_n24_u2_near,run41_native_N24_N40_focused_batch60,3.7988751273587695e-05,S3R39N2440B60_N24_B12_surrogate_top,run41_native_N24_N40_focused_batch60,0.1496064215898513,S3R39N2440B60_N24_B17_diversity,run41_native_N24_N40_focused_batch60,581337792.0,S3R39N2440B60_N24_B17_diversity,run41_native_N24_N40_focused_batch60,579942848.0,S3R39N2440B60_N24_B07_n24_u2_near,run41_native_N24_N40_focused_batch60,0.8379310344827586
40,30,S3R39N2440B60_N40_B04_n40_u2_near,run41_native_N24_N40_focused_batch60,6.792713247705251e-05,S3R39N2440B60_N40_B10_surrogate_top,run41_native_N24_N40_focused_batch60,0.1440253555774688,S3R39N2440B60_N40_B01_n40_u2_near,run41_native_N24_N40_focused_batch60,581616832.0,S3R39N2440B60_N40_B25_diversity,run41_native_N24_N40_focused_batch60,579924352.0,S3R39N2440B60_N40_B04_n40_u2_near,run41_native_N24_N40_focused_batch60,0.85
