group_type,group_value,count,median_u2_rank_combined264,best_u2_rank_combined264,median_reward_rank_combined264,best_reward_rank_combined264,top5_u2_count,top10_u2_count,top5_reward_count,top10_reward_count
n,24,30,61.0,2.0,59.5,2.0,1,4,2,3
n,40,30,53.0,4.0,47.0,2.0,2,4,2,5
candidate_source,N24_calibration_neighborhood,8,14.5,2.0,18.5,2.0,1,4,2,3
candidate_source,N40_new_best_neighborhood,8,11.5,4.0,8.5,2.0,2,4,2,5
candidate_source,diversity_coverage,6,85.5,65.0,70.0,55.0,0,0,0,0
candidate_source,graph_pointer_temperature_sampled,10,64.0,39.0,71.5,58.0,0,0,0,0
candidate_source,hybrid_gnn_surrogate_agreement,4,48.0,42.0,45.5,34.0,0,0,0,0
candidate_source,hybrid_gnn_surrogate_disagreement,4,59.0,44.0,58.0,37.0,0,0,0,0
candidate_source,sentinel_control,2,91.5,88.0,93.5,92.0,0,0,0,0
candidate_source,surrogate_top_predicted,12,56.5,49.0,50.5,35.0,0,0,0,0
candidate_source,uncertainty_calibration,6,84.0,81.0,87.0,83.0,0,0,0,0
generation_method,center_out,2,91.5,88.0,93.5,92.0,0,0,0,0
generation_method,even_odd,16,55.5,42.0,48.5,34.0,0,0,0,0
generation_method,known_best_mutation,16,12.0,2.0,11.0,2.0,3,8,4,8
generation_method,random,3,78.0,73.0,74.0,71.0,0,0,0,0
generation_method,regular_jump,13,85.0,44.0,78.0,37.0,0,0,0,0
generation_method,temperature_0.55,3,54.0,39.0,62.0,58.0,0,0,0,0
generation_method,temperature_0.75,2,63.5,60.0,73.0,69.0,0,0,0,0
generation_method,temperature_1.0,2,73.0,65.0,78.5,73.0,0,0,0,0
generation_method,temperature_1.25,1,66.0,66.0,77.0,77.0,0,0,0,0
generation_method,temperature_1.6,2,67.0,62.0,68.5,65.0,0,0,0,0
selection_bucket,N24_calibration_neighborhood,8,14.5,2.0,18.5,2.0,1,4,2,3
selection_bucket,N40_new_best_neighborhood,8,11.5,4.0,8.5,2.0,2,4,2,5
selection_bucket,diversity_coverage,16,66.5,39.0,71.5,55.0,0,0,0,0
selection_bucket,hybrid_gnn_surrogate_agreement,4,48.0,42.0,45.5,34.0,0,0,0,0
selection_bucket,hybrid_gnn_surrogate_disagreement,4,59.0,44.0,58.0,37.0,0,0,0,0
selection_bucket,sentinel_control,2,91.5,88.0,93.5,92.0,0,0,0,0
selection_bucket,surrogate_top_predicted,12,56.5,49.0,50.5,35.0,0,0,0,0
selection_bucket,uncertainty_calibration,6,84.0,81.0,87.0,83.0,0,0,0,0
priority_role,N24_calibration_neighborhood,8,14.5,2.0,18.5,2.0,1,4,2,3
priority_role,N40_new_best_neighborhood,8,11.5,4.0,8.5,2.0,2,4,2,5
priority_role,diversity_coverage,16,66.5,39.0,71.5,55.0,0,0,0,0
priority_role,hybrid_gnn_surrogate_agreement,4,48.0,42.0,45.5,34.0,0,0,0,0
priority_role,hybrid_gnn_surrogate_disagreement,4,59.0,44.0,58.0,37.0,0,0,0,0
priority_role,sentinel_control,2,91.5,88.0,93.5,92.0,0,0,0,0
priority_role,surrogate_top_predicted,12,56.5,49.0,50.5,35.0,0,0,0,0
priority_role,uncertainty_calibration,6,84.0,81.0,87.0,83.0,0,0,0,0
