candidate_id,strategy_name,n,candidate_source,generation_method,selection_bucket,priority_role,surrogate_prediction,predicted_u2_guarded_score,predicted_peeq_guarded_score,predicted_surfaceT_guarded_score,predicted_mises_guarded_score,strict_penalty_guard_score,penalty_repair_score,two_stage_guarded_score,two_stage_penalty_repair_score,no_penalty_worse_than_median_score,N24_u2_retention_score,N40_strict_reward_retention_score,gnn_reward_prediction,graph_pointer_policy_score,hybrid_score,constrained_score,uncertainty_score,gnn_vs_surrogate_disagreement,novelty_distance,nearest_existing_teacher_strategy,order_json,order_compact,order_hash,first_track_norm,last_track_norm,normalized_mean_jump,normalized_max_jump,adjacent_jump_count,long_jump_count,parity_switch_rate,monotonicity_fraction,direction_reversal_count,odd_even_transition_count,mean_signed_jump,jump_std_norm,edge_visit_early_fraction,center_visit_early_fraction,pred_rank_constrained_within_n,batch_option,handoff_strategy_name,teacher_validated,teacher_validation_status
R53_N24_C00809,N24_R53_N24_C00809_penalty_repair_top,24.0,penalty_repair_top,existing_pool_selection,penalty_repair_top,constrained_reward_balance,0.7947105244656912,0.7939543807983944,0.7722105244656913,0.7947105244656912,0.7947105244656912,0.7876580669987727,0.7877336813655023,0.7897383954486781,0.7885958741821373,0.7722105244656913,0.7920881709685267,0.7887074526320428,0.7646612339218462,0.8071833648393194,0.7922336813655022,0.7786469658645571,0.02470682555051648,0.030049290543845086,0.08333333333333333,S3R44CNS_N24_B16_uncertainty,"[22,17,15,13,9,7,5,3,1,11,19,21,23,0,2,10,6,8,4,12,14,16,18,20]",22-17-15-13-9-7-5-3-1-11-19-21-23-0-2-10-6-8-4-12-14-16-18-20,212196dd9597574f,0.9565217391304348,0.8695652173913043,0.19281663516068054,1.0,0.0,1.0,0.08695652173913043,0.0,7.0,2.0,-0.003780718336483932,0.2022419289035081,0.0,0.0,46.0,calibrated_N24_N40_batch64,S3R53CAL_N24_B11_penalty_top,False,NOT_RUN
R53_N24_C03908,N24_R53_N24_C03908_penalty_repair_local_search,24.0,penalty_repair_local_search,offline_mutation_or_pointer_proxy,penalty_repair_local_search,constrained_reward_balance,0.8057086614173222,0.8052549752169441,0.7832086614173223,0.8057086614173222,0.8057086614173222,0.798777186937171,0.7988225555572088,0.8009028840071144,0.79969987124719,0.7832086614173223,0.8033252493190235,0.7998568183171332,0.7752194453954119,0.8147448015122873,0.8033225555572089,0.7989895262566418,0.028835812602641106,0.030489216021910348,0.16666666666666666,S3R44CNS_N24_B16_uncertainty,"[22,17,13,15,5,7,9,3,1,11,19,21,23,0,2,4,6,8,10,12,14,16,18,20]",22-17-13-15-5-7-9-3-1-11-19-21-23-0-2-4-6-8-10-12-14-16-18-20,3416e3949102c76b,0.9565217391304348,0.8695652173913043,0.18525519848771269,1.0,0.0,1.0,0.08695652173913043,0.0,7.0,2.0,-0.003780718336483932,0.20602313357900562,0.0,0.0,24.0,calibrated_N24_N40_batch64,S3R53CAL_N24_B12_penalty,False,NOT_RUN
R53_N24_C00022,N24_R53_N24_C00022_penalty_repair_local_search,24.0,penalty_repair_local_search,offline_mutation_or_pointer_proxy,penalty_repair_local_search,constrained_reward_balance,0.7492104893138353,0.747849430712701,0.7267104893138353,0.7492104893138353,0.7492104893138353,0.7419160658733815,0.742052171733495,0.7439056570832114,0.7428841188034383,0.7267104893138353,0.7461102530189392,0.7429049600132682,0.7209812001760644,0.7920604914933838,0.746552171733495,0.7328580838317937,0.03996904529691087,0.028229289137770897,0.08333333333333333,S3R44CNS_N24_B16_uncertainty,"[22,17,15,13,9,7,5,3,1,11,19,21,23,0,2,4,6,8,18,12,14,16,10,20]",22-17-15-13-9-7-5-3-1-11-19-21-23-0-2-4-6-8-18-12-14-16-10-20,7281f8d24ae69812,0.9565217391304348,0.8695652173913043,0.20793950850661624,1.0,0.0,1.0,0.08695652173913043,0.0,7.0,2.0,-0.003780718336483932,0.20987243901325706,0.0,0.0,172.0,calibrated_N24_N40_batch64,S3R53CAL_N24_B13_penalty,False,NOT_RUN
R53_N24_C00467,N24_R53_N24_C00467_penalty_repair_local_search,24.0,penalty_repair_local_search,offline_mutation_or_pointer_proxy,penalty_repair_local_search,constrained_reward_balance,0.7492104893138353,0.747849430712701,0.7267104893138353,0.7492104893138353,0.7492104893138353,0.7419160658733815,0.742052171733495,0.7439056570832114,0.7428841188034383,0.7267104893138353,0.7461102530189392,0.7429049600132682,0.7209812001760644,0.7920604914933838,0.746552171733495,0.7328580838317937,0.02612009573393135,0.028229289137770897,0.08333333333333333,S3R44CNS_N24_B16_uncertainty,"[22,17,15,13,9,7,5,3,1,11,19,21,23,0,2,12,6,8,10,4,14,16,18,20]",22-17-15-13-9-7-5-3-1-11-19-21-23-0-2-12-6-8-10-4-14-16-18-20,ad23a4a53f90afac,0.9565217391304348,0.8695652173913043,0.20793950850661624,1.0,0.0,1.0,0.08695652173913043,0.0,7.0,2.0,-0.003780718336483932,0.20987243901325706,0.0,0.0,176.0,calibrated_N24_N40_batch64,S3R53CAL_N24_B14_penalty,False,NOT_RUN
R53_N24_C05097,N24_R53_N24_C05097_two_stage_penalty_repair,24.0,two_stage_penalty_repair,offline_mutation_or_pointer_proxy,two_stage_penalty_repair,constrained_reward_balance,0.7947105244656912,0.7939543807983944,0.7722105244656913,0.7947105244656912,0.7947105244656912,0.7876580669987727,0.7877336813655023,0.7897383954486781,0.7885958741821373,0.7722105244656913,0.7920881709685267,0.7887074526320428,0.7646612339218462,0.8071833648393194,0.7922336813655022,0.787846965864557,0.031815526956031355,0.030049290543845086,0.16666666666666666,S3R44CNS_N24_B16_uncertainty,"[22,17,15,13,5,7,9,3,1,11,19,21,23,0,6,4,2,8,10,12,14,16,18,20]",22-17-15-13-5-7-9-3-1-11-19-21-23-0-6-4-2-8-10-12-14-16-18-20,968b5f6169005455,0.9565217391304348,0.8695652173913043,0.19281663516068054,1.0,0.0,1.0,0.08695652173913043,0.0,7.0,2.0,-0.003780718336483932,0.2022419289035081,0.0,0.0,34.0,calibrated_N24_N40_batch64,S3R53CAL_N24_B15_two_stage_penalty,False,NOT_RUN
R53_N24_C03903,N24_R53_N24_C03903_two_stage_penalty_repair,24.0,two_stage_penalty_repair,offline_mutation_or_pointer_proxy,two_stage_penalty_repair,constrained_reward_balance,0.7757428465972999,0.7763477615311373,0.770634150945126,0.7757428465972999,0.7757428465972999,0.7744522038751827,0.7743917123817989,0.7750410389413452,0.7746263059545778,0.770634150945126,0.7757609467863358,0.7747681301511751,0.7464522631681905,0.8412098298676749,0.7754134515122337,0.770355280434729,0.0057282617126289325,0.029290583429109396,0.125,S3R44CNS_N24_B16_uncertainty,"[22,23,17,13,9,7,5,3,1,11,19,21,15,0,2,4,6,8,10,12,14,16,18,20]",22-23-17-13-9-7-5-3-1-11-19-21-15-0-2-4-6-8-10-12-14-16-18-20,28d32aa72b33704d,0.9565217391304348,0.8695652173913043,0.15879017013232513,0.6521739130434783,1.0,1.0,0.08695652173913043,0.043478260869565216,4.0,2.0,-0.003780718336483932,0.1425436107486492,0.16666666666666666,0.0,60.0,calibrated_N24_N40_batch64,S3R53CAL_N24_B16_two_stage_penalty,False,NOT_RUN
R53_N24_C05123,N24_R53_N24_C05123_two_stage_penalty_repair,24.0,two_stage_penalty_repair,offline_mutation_or_pointer_proxy,two_stage_penalty_repair,constrained_reward_balance,0.720100270669291,0.7196465844689129,0.7062959228432041,0.720100270669291,0.720100270669291,0.7157774918413138,0.7158228604613516,0.7170553628243006,0.716352350064376,0.7062959228432041,0.7184994672666445,0.7164223406125803,0.693035390277302,0.8147448015122873,0.718583730026569,0.7158941789868715,0.017127517978500477,0.027064880391989066,0.3333333333333333,S3R44CNS_N24_B16_uncertainty,"[22,17,15,13,7,9,1,3,5,11,19,21,23,4,2,0,6,8,10,12,18,16,14,20]",22-17-15-13-7-9-1-3-5-11-19-21-23-4-2-0-6-8-10-12-18-16-14-20,6b19d57d44b9b343,0.9565217391304348,0.8695652173913043,0.18525519848771269,0.8260869565217391,0.0,1.0,0.08695652173913043,0.0,7.0,2.0,-0.003780718336483932,0.16529566910169508,0.0,0.0,193.0,calibrated_N24_N40_batch64,S3R53CAL_N24_B17_two_stage_penalty,False,NOT_RUN
R53_N24_C00890,N24_R53_N24_C00890_two_stage_penalty_repair,24.0,two_stage_penalty_repair,offline_mutation_or_pointer_proxy,two_stage_penalty_repair,constrained_reward_balance,0.7299398903262089,0.7269909300237515,0.7096138033696872,0.7299398903262089,0.7299398903262089,0.7226624801182694,0.7229573761485151,0.7242019295511617,0.7236229716116532,0.7096138033696872,0.7257808638611805,0.7233838884358498,0.7016118599305519,0.8393194706994329,0.7270225935398196,0.7134575226513508,0.03233833665897747,0.02832803039565701,0.08333333333333333,S3R44CNS_N24_B16_uncertainty,"[23,17,15,13,9,7,5,3,1,11,19,21,22,0,2,4,6,8,10,12,14,16,18,20]",23-17-15-13-9-7-5-3-1-11-19-21-22-0-2-4-6-8-10-12-14-16-18-20,29d254cc5d45a140,1.0,0.8695652173913043,0.16068052930056712,0.9565217391304348,1.0,1.0,0.043478260869565216,0.043478260869565216,3.0,1.0,-0.005671077504725897,0.19335334325067785,0.16666666666666666,0.0,198.0,calibrated_N24_N40_batch64,S3R53CAL_N24_B18_two_stage_penalty,False,NOT_RUN
R53_N24_C00056,N24_R53_N24_C00056_two_stage_penalty_repair,24.0,two_stage_penalty_repair,offline_mutation_or_pointer_proxy,two_stage_penalty_repair,constrained_reward_balance,0.7237528780582112,0.7234504205912925,0.7012528780582112,0.7237528780582112,0.7237528780582112,0.7168818950714438,0.7169121408181356,0.719030276451406,0.7177970179447897,0.7012528780582112,0.7214889366593454,0.7179766493247519,0.6965418933706653,0.8185255198487713,0.7214121408181356,0.7079059546177576,0.036927268535792215,0.027210984687545903,0.08333333333333333,S3R44CNS_N24_B16_uncertainty,"[14,17,15,13,9,7,5,3,1,11,19,21,23,0,2,4,6,8,10,12,22,16,18,20]",14-17-15-13-9-7-5-3-1-11-19-21-23-0-2-4-6-8-10-12-22-16-18-20,f01bf979f3af0790,0.6086956521739131,0.8695652173913043,0.18147448015122872,1.0,0.0,1.0,0.08695652173913043,0.0,6.0,2.0,0.011342155009451795,0.20619650997388858,0.0,0.0,207.0,calibrated_N24_N40_batch64,S3R53CAL_N24_B19_two_stage_penalty,False,NOT_RUN
R53_N24_C00616,N24_R53_N24_C00616_median_guard_repair,24.0,median_guard_repair,offline_mutation_or_pointer_proxy,median_guard_repair,constrained_reward_balance,0.7947105244656912,0.7939543807983944,0.7722105244656913,0.7947105244656912,0.7947105244656912,0.7876580669987727,0.7877336813655023,0.7897383954486781,0.7885958741821373,0.7722105244656913,0.7920881709685267,0.7887074526320428,0.7646612339218462,0.8071833648393194,0.7922336813655022,0.7786469658645571,0.025708751205026362,0.030049290543845086,0.08333333333333333,S3R44CNS_N24_B16_uncertainty,"[22,17,15,13,9,7,5,3,1,11,19,21,23,0,2,4,6,14,10,12,8,16,18,20]",22-17-15-13-9-7-5-3-1-11-19-21-23-0-2-4-6-14-10-12-8-16-18-20,774d279f3ac63e56,0.9565217391304348,0.8695652173913043,0.19281663516068054,1.0,0.0,1.0,0.08695652173913043,0.0,7.0,2.0,-0.003780718336483932,0.2022419289035081,0.0,0.0,45.0,calibrated_N24_N40_batch64,S3R53CAL_N24_B20_median_guard_repair,False,NOT_RUN
