batch_option,count,per_N_counts,mean_constrained_score,mean_surrogate_prediction,mean_predicted_u2_guarded_score,mean_penalty_guard_score,mean_penalty_repair_score,mean_two_stage_repair_score,mean_novelty_distance,candidate_source_composition,overlap_combined328_teacher_orders,overlap_run51,overlap_run46,overlap_run41,overlap_run36,overlap_run27,overlap_superseded_run31
primary_batch64,64,"{""24"": 32, ""40"": 32}",0.7249899390194932,0.7312759480905713,0.734774767082156,0.7280008238337894,0.729377981956943,0.7288731884244699,0.172265625,"{""two_stage_penalty_repair"": 10, ""penalty_repair_local_search"": 6, ""penalty_repair_top"": 6, ""PEEQ_repair_candidates"": 6, ""N24_u2_retention_local_repair"": 4, ""median_guard_repair"": 4, ""N24_u2_retention_top"": 4, ""no_penalty_worse_than_median"": 4, ""SurfaceT_repair_candidates"": 4, ""Mises_repair_candidates"": 4, ""N40_strict_reward_retention_top"": 4, ""N40_strict_reward_local_repair"": 4, ""uncertainty_calibration"": 2, ""sentinel_control"": 1, ""diversity_coverage"": 1}",0,0,0,0,0,0,0
reference_batch32,32,"{""24"": 16, ""40"": 16}",0.738739002271093,0.7465616255617613,0.7479556473785691,0.7432591241682273,0.744007580852623,0.7444735821106874,0.13567708333333334,"{""penalty_repair_top"": 6, ""penalty_repair_local_search"": 6, ""N24_u2_retention_top"": 4, ""N24_u2_retention_local_repair"": 4, ""two_stage_penalty_repair"": 4, ""N40_strict_reward_retention_top"": 4, ""N40_strict_reward_local_repair"": 4}",0,0,0,0,0,0,0
recovery_batch40,40,"{""12"": 4, ""16"": 4, ""24"": 16, ""40"": 16}",0.7420953677201148,0.7495084838717937,0.7499679804804282,0.7461267641422479,0.7466094815263642,0.7470359189743415,0.15541666666666668,"{""N24_u2_retention_top"": 6, ""N24_u2_retention_local_repair"": 6, ""N40_strict_reward_retention_top"": 6, ""N40_strict_reward_local_repair"": 6, ""penalty_repair_top"": 6, ""penalty_repair_local_search"": 6, ""two_stage_penalty_repair"": 4}",0,0,0,0,0,0,0
