source_row_index,n,strategy_name,reward_lex_u2_peeq_surfacet,predicted_reward_lex_u2_peeq_surfacet,teacher_derived_terminal_reward,surrogate_predicted_terminal_reward
523,12,S3R74FSD_N12_B04_n12_reward_bal,1.0114285714285711,0.8955164241867658,1.0114285714285711,0.8955164241867658
489,12,S3R69SNR_N12_B10_n12_recovery_top,0.7997402597402598,0.8047515042272995,0.7997402597402598,0.8047515042272995
484,12,S3R69SNR_N12_B05_n12_penalty,0.6053246753246754,0.7495516777043949,0.6053246753246754,0.7495516777043949
526,12,S3R74FSD_N12_B07_n12_final_top,0.6881818181818182,0.7488869218604648,0.6881818181818182,0.7488869218604648
491,12,S3R69SNR_N12_B12_n12_recovery_top,0.7522077922077922,0.7168463957546407,0.7522077922077922,0.7168463957546407
437,12,S3R64VNR_N12_B06_n12_anchor_top,1.056038961038961,0.6985316193506826,1.056038961038961,0.6985316193506826
61,12,S3B20_N12_B02_diversity_top,1.056038961038961,0.6985316193506826,1.056038961038961,0.6985316193506826
441,12,S3R64VNR_N12_B10_n12_u2_safe,0.4742857142857143,0.6580394181370711,0.4742857142857143,0.6580394181370711
83,12,S3R19B28_N12_B04_method_c_inspired,0.9162337662337664,0.6027953465524857,0.9162337662337664,0.6027953465524857
80,12,S3R19B28_N12_B01_surrogate_top,0.6677272727272726,0.5831624197923753,0.6677272727272726,0.5831624197923753
64,12,S3B20_N12_B05_surrogate_top,0.5664935064935065,0.5770538426936704,0.5664935064935065,0.5770538426936704
109,12,S3R24L64_N12_B02_top_region,0.3492207792207792,0.55689207652317,0.3492207792207792,0.55689207652317
81,12,S3R19B28_N12_B02_u2_primary_top,0.4644805194805194,0.4829781897305889,0.4644805194805194,0.4829781897305889
108,12,S3R24L64_N12_B01_top_region,0.5250649350649351,0.4635574347508331,0.5250649350649351,0.4635574347508331
440,12,S3R64VNR_N12_B09_n12_anchor_top,0.5796103896103897,0.4201939203899127,0.5796103896103897,0.4201939203899127
2,12,N12_A03_greedy_maximin_distance,0.1277922077922078,0.2349730130975196,0.1277922077922078,0.2349730130975196
112,12,S3R24L64_N12_B05_diversity_coverage,0.5038961038961038,0.2221395760037108,0.5038961038961038,0.2221395760037108
12,12,N12_A13_graph_pointer_policy_anti_odd_even_novelty,0.258961038961039,0.2066233215097644,0.258961038961039,0.2066233215097644
14,12,N12_A15_graph_pointer_policy_balanced_dispersion_proxy,0.1106493506493506,0.1649743285143492,0.1106493506493506,0.1649743285143492
11,12,N12_A12_graph_pointer_policy_diverse_02,0.0255844155844155,0.1276074141353345,0.0255844155844155,0.1276074141353345
534,16,S3R74FSD_N16_B01_n16_penalty,1.0705194805194804,0.9823905967620168,1.0705194805194804,0.9823905967620168
497,16,S3R69SNR_N16_B02_n16_run66_local,0.986233766233766,0.9297444668631796,0.986233766233766,0.9297444668631796
117,16,S3R24L64_N16_B02_top_region,0.8570779220779221,0.8947802032309506,0.8570779220779221,0.8947802032309506
504,16,S3R69SNR_N16_B09_n16_recovery_top,1.019090909090909,0.891430529572438,1.019090909090909,0.891430529572438
547,16,S3R74FSD_N16_B14_n16_run71_local,0.4379220779220779,0.8686810375858673,0.4379220779220779,0.8686810375858673
538,16,S3R74FSD_N16_B05_n16_final_top,0.501948051948052,0.8547471944713144,0.501948051948052,0.8547471944713144
508,16,S3R69SNR_N16_B13_n16_u2_safe,0.687012987012987,0.8433703188702488,0.687012987012987,0.8433703188702488
535,16,S3R74FSD_N16_B02_n16_penalty,0.5185714285714287,0.8113380604111854,0.5185714285714287,0.8113380604111854
543,16,S3R74FSD_N16_B10_n16_u2_safe,0.8959740259740259,0.8089327256950486,0.8959740259740259,0.8089327256950486
447,16,S3R64VNR_N16_B04_n16_anchor_local,0.6509090909090909,0.7525480675182679,0.6509090909090909,0.7525480675182679
123,16,S3R24L64_N16_B08_exploitation_reference,0.7292207792207792,0.7474810302083568,0.7292207792207792,0.7474810302083568
540,16,S3R74FSD_N16_B07_n16_final_top,0.4532467532467533,0.6940276870718113,0.4532467532467533,0.6940276870718113
507,16,S3R69SNR_N16_B12_n16_recovery_top,0.7745454545454545,0.6839137686789769,0.7745454545454545,0.6839137686789769
87,16,S3R19B28_N16_B04_method_c_inspired,0.7507792207792208,0.4229212620161923,0.7507792207792208,0.4229212620161923
66,16,S3B20_N16_B02_diversity_top,0.277012987012987,0.4164961316708024,0.277012987012987,0.4164961316708024
22,16,N16_A08_block_interleaved_quarters,0.1951948051948052,0.1775635357232391,0.1951948051948052,0.1775635357232391
28,16,N16_A14_graph_pointer_policy_u2first_proxy,0.1576623376623377,0.1674754106312511,0.1576623376623377,0.1674754106312511
23,16,N16_A09_center_edge_alternating,0.0655844155844156,0.0877082239179553,0.0655844155844156,0.0877082239179553
25,16,N16_A11_graph_pointer_policy_diverse_01,0.0819480519480519,0.0709582761885185,0.0819480519480519,0.0709582761885185
15,16,N16_A01_raster_left_to_right,0.0272727272727272,0.0533794873543719,0.0272727272727272,0.0533794873543719
271,24,S3R44CNS_N24_B08_surfacet_guarded,0.8310052910052911,1.0037767830692337,0.8310052910052911,1.0037767830692337
275,24,S3R44CNS_N24_B12_hybrid_agree,0.4350793650793651,0.9742385564351757,0.4350793650793651,0.9742385564351757
329,24,S3R54CAL64_N24_B02_n24_u2ret_top,1.027089947089947,0.949214926953187,1.027089947089947,0.949214926953187
343,24,S3R54CAL64_N24_B16_two_stage_repair,0.9069312169312168,0.935604592406085,0.9069312169312168,0.935604592406085
355,24,S3R54CAL64_N24_B28_surfacet_repair,0.8876719576719577,0.9175893744035738,0.8876719576719577,0.9175893744035738
458,24,S3R64VNR_N24_B03_n24_penalty_diag,0.5805291005291006,0.9026077656053584,0.5805291005291006,0.9026077656053584
333,24,S3R54CAL64_N24_B06_n24_u2ret_repair,0.9476190476190476,0.9008712355199062,0.9476190476190476,0.9008712355199062
336,24,S3R54CAL64_N24_B09_penalty_repair,0.9350793650793652,0.8815972266397046,0.9350793650793652,0.8815972266397046
308,24,S3R49SCN_N24_B13_surfacet_repair,0.9413227513227512,0.8474975131188246,0.9413227513227512,0.8474975131188246
463,24,S3R64VNR_N24_B08_n24_uncertainty,0.7484656084656085,0.8416854784659046,0.7484656084656085,0.8416854784659046
189,24,S3R34N32INF_N24_B10_n24_calibration,1.0321693121693123,0.8346648086301531,1.0321693121693123,0.8346648086301531
269,24,S3R44CNS_N24_B06_peeq_guarded,0.8780423280423281,0.8304394974476108,0.8780423280423281,0.8304394974476108
512,24,S3R69SNR_N24_B01_n24_anchor_ref,0.8496296296296297,0.818965872892285,0.8496296296296297,0.818965872892285
350,24,S3R54CAL64_N24_B23_median_guard,0.716931216931217,0.7694605165108149,0.716931216931217,0.7694605165108149
337,24,S3R54CAL64_N24_B10_penalty_repair,0.7681481481481482,0.7671520128036486,0.7681481481481482,0.7671520128036486
297,24,S3R49SCN_N24_B02_strict_guard,0.6803703703703704,0.7553600692297253,0.6803703703703704,0.7553600692297253
305,24,S3R49SCN_N24_B10_median_guard,0.7357671957671958,0.7520488575532743,0.7357671957671958,0.7520488575532743
209,24,S3R39N2440B60_N24_B06_n24_u2_near,0.4807936507936508,0.7356132733881189,0.4807936507936508,0.7356132733881189
