N,metric,value,value_type,claim_role
N16,PEEQ,0.15182757377624509,raw_teacher_metric:peeq_max,native_within_N_claim_scope
N16,SurfaceT,581727104,raw_teacher_metric:surface_t_proxy,native_within_N_claim_scope
N16,Mises,579948352,raw_teacher_metric:mises_max,native_within_N_claim_scope
N16,U2,0.00027908391211890001,raw_teacher_metric:u2_range,native_within_N_claim_scope
N16,PEEQ,0.16641919314861289,raw_teacher_metric:peeq_max,native_within_N_claim_scope
N16,SurfaceT,582182080,raw_teacher_metric:surface_t_proxy,native_within_N_claim_scope
N16,Mises,579946816,raw_teacher_metric:mises_max,native_within_N_claim_scope
N16,U2,0.00020532089024520001,raw_teacher_metric:u2_range,native_within_N_claim_scope
N16,PEEQ,0.17975655198097229,raw_teacher_metric:peeq_max,native_within_N_claim_scope
N16,SurfaceT,581764096,raw_teacher_metric:surface_t_proxy,native_within_N_claim_scope
N16,Mises,579947776,raw_teacher_metric:mises_max,native_within_N_claim_scope
N16,U2,0.00027630911608860002,raw_teacher_metric:u2_range,native_within_N_claim_scope
N16,PEEQ,0.16533087193965909,raw_teacher_metric:peeq_max,native_within_N_claim_scope
N16,SurfaceT,581433216,raw_teacher_metric:surface_t_proxy,native_within_N_claim_scope
N16,Mises,579946752,raw_teacher_metric:mises_max,native_within_N_claim_scope
N16,U2,0.00016068820355029999,raw_teacher_metric:u2_range,native_within_N_claim_scope
N16,PEEQ,0.15055462718009949,raw_teacher_metric:peeq_max,native_within_N_claim_scope
N16,SurfaceT,582573376,raw_teacher_metric:surface_t_proxy,native_within_N_claim_scope
N16,Mises,579948160,raw_teacher_metric:mises_max,native_within_N_claim_scope
N16,U2,0.0002147317868548,raw_teacher_metric:u2_range,native_within_N_claim_scope
N16,PEEQ,0.17430327832698819,raw_teacher_metric:peeq_max,native_within_N_claim_scope
N16,SurfaceT,580899648,raw_teacher_metric:surface_t_proxy,native_within_N_claim_scope
N16,Mises,579946944,raw_teacher_metric:mises_max,native_within_N_claim_scope
N16,U2,0.0001204781697197,raw_teacher_metric:u2_range,native_within_N_claim_scope
N16,PEEQ,0.17016841471195221,raw_teacher_metric:peeq_max,native_within_N_claim_scope
N16,SurfaceT,581290304,raw_teacher_metric:surface_t_proxy,native_within_N_claim_scope
N16,Mises,579948096,raw_teacher_metric:mises_max,native_within_N_claim_scope
N16,U2,0.0001829955551784,raw_teacher_metric:u2_range,native_within_N_claim_scope
