N,metric,count,min,q25,median,q75,max,mean,std
N12,U2,78,2.20100214392005e-05,3.3410041169190663e-05,3.9525062220491236e-05,5.4510094173565449e-05,0.00015835521639919999,4.9691522267721484e-05,2.8287530265330779e-05
N12,PEEQ,78,0.14032196998596189,0.14681043848395342,0.14851062744855875,0.15393199026584625,0.175326257944107,0.15124033544308096,0.0071087994998023348
N12,SurfaceT,78,580752832,581019280,581293664,582665936,585930688,581885354.66666663,1241604.0588249809
N12,Mises,78,579937984,579938752,579939520,579939584,579939840,579939264,551.89985916419164
N16,U2,78,2.9260778319439851e-05,4.1521697312418837e-05,4.9522939889357076e-05,8.0439895441486442e-05,0.00027908391211890001,7.6322878592283716e-05,6.1040002446748979e-05
N16,PEEQ,78,0.14578714966773981,0.14979834482073784,0.15198192000389094,0.15617460012435908,0.17975655198097229,0.15453242892638228,0.0075211383697256122
N16,SurfaceT,78,580887040,581027840,581493984,582153664,587841664,581935828.51282048,1350199.9343640632
N16,Mises,78,579946752,579947536,579948288,579948352,579948672,579947986.87179482,496.5040996933671
N24,U2,190,2.9523077955673216e-05,5.351185041035933e-05,8.0960768855220522e-05,0.000189858678879725,0.00062659911432659998,0.00014754434921375752,0.00014882823691870562
N24,PEEQ,190,0.14921665191650391,0.15427346900105474,0.15729529410600662,0.16117477416992182,0.1892505139112472,0.15907203790388605,0.0073665653443283014
N24,SurfaceT,190,580875968,581893616,582566592,583485168,592035328,583096554.44210529,1861275.1235073428
N24,Mises,190,579942784,579943552,579944128,579944448,579944896,579944036.04210532,501.49524394479369
N40,U2,206,4.5779268475598656e-05,7.6857436226873688e-05,0.0001498124456702,0.00066655074192562501,0.0020766726229339001,0.00039771545513538227,0.00050337851530190094
N40,PEEQ,206,0.14402535557746879,0.15347655490040779,0.1574980020523071,0.16250064596533773,0.20056912302970881,0.15954555014094099,0.0096876839133622269
N40,SurfaceT,206,581119040,582101248,583269440,585095312,598535360,584153930.25242722,2934184.8520254986
N40,Mises,206,579924032,579926336,579927040,579927552,579929728,579926880.31067955,964.51097710630552
