learned_strategy,learned_family,baseline_strategy,baseline_family,directed_adjacent_overlap,undirected_adjacent_overlap,kendall_distance,spearman_rank_distance
GNNU_A01_V01,GNN,mc_extra_016,method_c,0.322581,0.419355,0.729839,0.857038
GNNU_A01_V01,GNN,mc_extra_017,method_c,0.387097,0.516129,0.247984,0.178886
GNNU_A01_V01,GNN,mc_extra_018,method_c,0.290323,0.387097,0.780242,0.891679
GNNU_A01_V01,GNN,mc_extra_019,method_c,0.0,0.0,0.532258,0.552419
GNNU_A01_V01,GNN,mc_extra_020,method_c,0.0,0.0,0.522177,0.547654
GNNU_A01_V01,GNN,multi_lag_regular_jump,multi_lag,0.0,0.032258,0.502016,0.51338
GNNU_A01_V01,GNN,UPB_A03_V01,odd_even,0.258065,0.451613,0.227823,0.132515
GNNU_A01_V01,GNN,odd_even_interlaced,odd_even,0.354839,0.548387,0.247984,0.165323
GNNU_A01_V01,GNN,formal_raster_left_to_right,raster,0.0,0.0,0.445565,0.4386
GNNU_A01_V01,GNN,smartscan_proxy_variance,smartscan,0.0,0.032258,0.71371,0.774377
GNNU_A01_V01,GNN,raster_left_to_right,unknown,0.0,0.0,0.445565,0.4386
GNNU_A01_V01,GNN,windowed_max_dispersion,windowed_max_dispersion,0.064516,0.096774,0.419355,0.393695
GNNU_A02_V01,GNN,block_interleaved_quarters,block_interleaved,0.064516,0.096774,0.379032,0.367669
GNNU_A02_V01,GNN,center_edge_alternating,center_edge,0.0,0.0,0.584677,0.620601
GNNU_A02_V01,GNN,center_out,center_out,0.0,0.032258,0.516129,0.510264
GNNU_A02_V01,GNN,edge_in,edge_in,0.0,0.032258,0.487903,0.479472
GNNU_A02_V01,GNN,edge_in_alternating_LHI,edge_in,0.0,0.032258,0.487903,0.479472
GNNU_A02_V01,GNN,UPB_A07_V01,maximin,0.322581,0.354839,0.556452,0.618402
GNNU_A02_V01,GNN,greedy_maximin_distance,maximin,0.451613,0.451613,0.52621,0.627749
GNNU_A02_V01,GNN,run36_greedy_maximin_distance_adjacent_swap_0002,maximin,0.258065,0.322581,0.530242,0.628116
GNNU_A02_V01,GNN,run36_greedy_maximin_distance_adjacent_swap_0009,maximin,0.419355,0.419355,0.530242,0.628849
GNNU_A02_V01,GNN,run36_greedy_maximin_distance_adjacent_swap_0021,maximin,0.387097,0.419355,0.530242,0.628299
GNNU_A02_V01,GNN,run36_greedy_maximin_distance_adjacent_swap_0023,maximin,0.387097,0.451613,0.530242,0.628116
GNNU_A02_V01,GNN,run36_greedy_maximin_distance_adjacent_swap_0029,maximin,0.322581,0.354839,0.532258,0.634348
GNNU_A02_V01,GNN,run36_greedy_maximin_distance_adjacent_swap_0045,maximin,0.290323,0.322581,0.52621,0.625916
GNNU_A02_V01,GNN,run36_greedy_maximin_distance_adjacent_swap_0046,maximin,0.354839,0.387097,0.52621,0.62335
GNNU_A02_V01,GNN,run36_greedy_maximin_distance_adjacent_swap_0050,maximin,0.387097,0.419355,0.530242,0.628666
GNNU_A02_V01,GNN,run36_greedy_maximin_distance_adjacent_swap_0054,maximin,0.290323,0.322581,0.530242,0.628666
GNNU_A02_V01,GNN,run36_greedy_maximin_distance_adjacent_swap_0055,maximin,0.354839,0.387097,0.530242,0.628299
GNNU_A02_V01,GNN,run36_greedy_maximin_distance_adjacent_swap_0066,maximin,0.354839,0.387097,0.530242,0.628299
GNNU_A02_V01,GNN,run36_greedy_maximin_distance_adjacent_swap_0072,maximin,0.451613,0.451613,0.530242,0.628482
GNNU_A02_V01,GNN,run36_greedy_maximin_distance_adjacent_swap_0073,maximin,0.419355,0.451613,0.52621,0.623717
GNNU_A02_V01,GNN,run36_greedy_maximin_distance_adjacent_swap_0081,maximin,0.258065,0.322581,0.530242,0.628116
GNNU_A02_V01,GNN,V02_M00_NDK_R24_V01,method_c,0.129032,0.193548,0.516129,0.544538
GNNU_A02_V01,GNN,V02_M00_PGJ_V01,method_c,0.0,0.258065,0.314516,0.210044
GNNU_A02_V01,GNN,V02_M00_PGN_R24_V01,method_c,0.0,0.032258,0.346774,0.277859
GNNU_A02_V01,GNN,V02_M00_PGR_R24_V01,method_c,0.0,0.032258,0.330645,0.242485
GNNU_A02_V01,GNN,mc_cand_001,method_c,0.387097,0.645161,0.254032,0.183284
GNNU_A02_V01,GNN,mc_cand_002,method_c,0.451613,0.677419,0.252016,0.183101
GNNU_A02_V01,GNN,mc_cand_004,method_c,0.483871,0.677419,0.229839,0.179252
GNNU_A02_V01,GNN,mc_cand_006,method_c,0.451613,0.645161,0.215726,0.180352
GNNU_A02_V01,GNN,mc_cand_066,method_c,0.096774,0.193548,0.592742,0.625367
GNNU_A02_V01,GNN,mc_cand_067,method_c,0.032258,0.096774,0.471774,0.456012
GNNU_A02_V01,GNN,mc_cand_121,method_c,0.0,0.032258,0.572581,0.609787
GNNU_A02_V01,GNN,mc_cand_129,method_c,0.0,0.0,0.455645,0.441166
GNNU_A02_V01,GNN,mc_extra_001,method_c,0.419355,0.645161,0.231855,0.179435
GNNU_A02_V01,GNN,mc_extra_002,method_c,0.354839,0.483871,0.328629,0.296738
GNNU_A02_V01,GNN,mc_extra_003,method_c,0.516129,0.677419,0.21371,0.180169
GNNU_A02_V01,GNN,mc_extra_004,method_c,0.322581,0.548387,0.383065,0.281342
GNNU_A02_V01,GNN,mc_extra_005,method_c,0.419355,0.741935,0.733871,0.777309
GNNU_A02_V01,GNN,mc_extra_006,method_c,0.451613,0.645161,0.241935,0.1875
GNNU_A02_V01,GNN,mc_extra_007,method_c,0.387097,0.580645,0.405242,0.317082
GNNU_A02_V01,GNN,mc_extra_008,method_c,0.419355,0.612903,0.22379,0.18585
GNNU_A02_V01,GNN,mc_extra_009,method_c,0.354839,0.548387,0.403226,0.315249
GNNU_A02_V01,GNN,mc_extra_010,method_c,0.483871,0.645161,0.221774,0.185667
GNNU_A02_V01,GNN,mc_extra_011,method_c,0.032258,0.16129,0.278226,0.206928
GNNU_A02_V01,GNN,mc_extra_012,method_c,0.16129,0.419355,0.409274,0.330095
GNNU_A02_V01,GNN,mc_extra_013,method_c,0.032258,0.096774,0.455645,0.41184
GNNU_A02_V01,GNN,mc_extra_014,method_c,0.064516,0.096774,0.310484,0.24835
GNNU_A02_V01,GNN,mc_extra_015,method_c,0.032258,0.064516,0.368952,0.316899
GNNU_A02_V01,GNN,mc_extra_016,method_c,0.387097,0.677419,0.65121,0.72599
GNNU_A02_V01,GNN,mc_extra_017,method_c,0.483871,0.774194,0.209677,0.144245
GNNU_A02_V01,GNN,mc_extra_018,method_c,0.354839,0.548387,0.697581,0.768145
GNNU_A02_V01,GNN,mc_extra_019,method_c,0.129032,0.129032,0.530242,0.531891
GNNU_A02_V01,GNN,mc_extra_020,method_c,0.032258,0.032258,0.5,0.502933
GNNU_A02_V01,GNN,multi_lag_regular_jump,multi_lag,0.0,0.0,0.455645,0.452346
GNNU_A02_V01,GNN,UPB_A03_V01,odd_even,0.612903,0.612903,0.16129,0.136913
GNNU_A02_V01,GNN,odd_even_interlaced,odd_even,0.806452,0.806452,0.157258,0.180902
GNNU_A02_V01,GNN,formal_raster_left_to_right,raster,0.0,0.0,0.326613,0.316349
GNNU_A02_V01,GNN,smartscan_proxy_variance,smartscan,0.0,0.032258,0.679435,0.716459
GNNU_A02_V01,GNN,raster_left_to_right,unknown,0.0,0.0,0.326613,0.316349
GNNU_A02_V01,GNN,windowed_max_dispersion,windowed_max_dispersion,0.032258,0.032258,0.449597,0.422287
GNNU_A03_V01,GNN,block_interleaved_quarters,block_interleaved,0.064516,0.129032,0.385081,0.367119
GNNU_A03_V01,GNN,center_edge_alternating,center_edge,0.0,0.0,0.614919,0.673754
GNNU_A03_V01,GNN,center_out,center_out,0.0,0.064516,0.465726,0.451063
GNNU_A03_V01,GNN,edge_in,edge_in,0.0,0.032258,0.538306,0.545638
GNNU_A03_V01,GNN,edge_in_alternating_LHI,edge_in,0.0,0.032258,0.538306,0.545638
GNNU_A03_V01,GNN,UPB_A07_V01,maximin,0.258065,0.290323,0.59879,0.668805
GNNU_A03_V01,GNN,greedy_maximin_distance,maximin,0.354839,0.354839,0.612903,0.700696
GNNU_A03_V01,GNN,run36_greedy_maximin_distance_adjacent_swap_0002,maximin,0.193548,0.258065,0.616935,0.701063
GNNU_A03_V01,GNN,run36_greedy_maximin_distance_adjacent_swap_0009,maximin,0.354839,0.354839,0.612903,0.70033
GNNU_A03_V01,GNN,run36_greedy_maximin_distance_adjacent_swap_0021,maximin,0.322581,0.354839,0.608871,0.698864
GNNU_A03_V01,GNN,run36_greedy_maximin_distance_adjacent_swap_0023,maximin,0.290323,0.354839,0.616935,0.701063
GNNU_A03_V01,GNN,run36_greedy_maximin_distance_adjacent_swap_0029,maximin,0.290323,0.322581,0.618952,0.706195
GNNU_A03_V01,GNN,run36_greedy_maximin_distance_adjacent_swap_0045,maximin,0.193548,0.225806,0.612903,0.69923
GNNU_A03_V01,GNN,run36_greedy_maximin_distance_adjacent_swap_0046,maximin,0.258065,0.290323,0.612903,0.696848
GNNU_A03_V01,GNN,run36_greedy_maximin_distance_adjacent_swap_0050,maximin,0.322581,0.354839,0.612903,0.699597
GNNU_A03_V01,GNN,run36_greedy_maximin_distance_adjacent_swap_0054,maximin,0.225806,0.258065,0.616935,0.701979
GNNU_A03_V01,GNN,run36_greedy_maximin_distance_adjacent_swap_0055,maximin,0.290323,0.322581,0.616935,0.701796
GNNU_A03_V01,GNN,run36_greedy_maximin_distance_adjacent_swap_0066,maximin,0.322581,0.322581,0.612903,0.70033
GNNU_A03_V01,GNN,run36_greedy_maximin_distance_adjacent_swap_0072,maximin,0.354839,0.387097,0.612903,0.701063
GNNU_A03_V01,GNN,run36_greedy_maximin_distance_adjacent_swap_0073,maximin,0.354839,0.387097,0.612903,0.696848
GNNU_A03_V01,GNN,run36_greedy_maximin_distance_adjacent_swap_0081,maximin,0.193548,0.258065,0.616935,0.701063
GNNU_A03_V01,GNN,V02_M00_NDK_R24_V01,method_c,0.096774,0.16129,0.510081,0.518145
GNNU_A03_V01,GNN,V02_M00_PGJ_V01,method_c,0.0,0.193548,0.260081,0.167889
GNNU_A03_V01,GNN,V02_M00_PGN_R24_V01,method_c,0.0,0.0,0.352823,0.27676
GNNU_A03_V01,GNN,V02_M00_PGR_R24_V01,method_c,0.032258,0.064516,0.3125,0.215176
GNNU_A03_V01,GNN,mc_cand_001,method_c,0.225806,0.451613,0.284274,0.208944
GNNU_A03_V01,GNN,mc_cand_002,method_c,0.290323,0.483871,0.282258,0.208761
GNNU_A03_V01,GNN,mc_cand_004,method_c,0.322581,0.483871,0.260081,0.197214
GNNU_A03_V01,GNN,mc_cand_006,method_c,0.258065,0.419355,0.25,0.19978
GNNU_A03_V01,GNN,mc_cand_066,method_c,0.064516,0.16129,0.546371,0.561767
GNNU_A03_V01,GNN,mc_cand_067,method_c,0.032258,0.129032,0.465726,0.441166
GNNU_A03_V01,GNN,mc_cand_121,method_c,0.032258,0.032258,0.590726,0.642229
GNNU_A03_V01,GNN,mc_cand_129,method_c,0.032258,0.064516,0.493952,0.508248
GNNU_A03_V01,GNN,mc_extra_001,method_c,0.258065,0.451613,0.262097,0.197397
GNNU_A03_V01,GNN,mc_extra_002,method_c,0.258065,0.387097,0.310484,0.253482
GNNU_A03_V01,GNN,mc_extra_003,method_c,0.322581,0.451613,0.247984,0.199597
GNNU_A03_V01,GNN,mc_extra_004,method_c,0.193548,0.387097,0.409274,0.332111
GNNU_A03_V01,GNN,mc_extra_005,method_c,0.290323,0.483871,0.703629,0.755132
GNNU_A03_V01,GNN,mc_extra_006,method_c,0.290323,0.483871,0.27621,0.214076
GNNU_A03_V01,GNN,mc_extra_007,method_c,0.225806,0.387097,0.439516,0.375916
GNNU_A03_V01,GNN,mc_extra_008,method_c,0.258065,0.419355,0.258065,0.204729
GNNU_A03_V01,GNN,mc_extra_009,method_c,0.193548,0.354839,0.433468,0.371334
GNNU_A03_V01,GNN,mc_extra_010,method_c,0.322581,0.451613,0.256048,0.204545
GNNU_A03_V01,GNN,mc_extra_011,method_c,0.0,0.096774,0.332661,0.260447
GNNU_A03_V01,GNN,mc_extra_012,method_c,0.16129,0.322581,0.350806,0.273827
GNNU_A03_V01,GNN,mc_extra_013,method_c,0.064516,0.096774,0.461694,0.421921
GNNU_A03_V01,GNN,mc_extra_014,method_c,0.064516,0.096774,0.336694,0.275477
GNNU_A03_V01,GNN,mc_extra_015,method_c,0.032258,0.032258,0.370968,0.318182
GNNU_A03_V01,GNN,mc_extra_016,method_c,0.225806,0.419355,0.641129,0.741202
GNNU_A03_V01,GNN,mc_extra_017,method_c,0.354839,0.516129,0.227823,0.15011
GNNU_A03_V01,GNN,mc_extra_018,method_c,0.193548,0.322581,0.671371,0.743035
GNNU_A03_V01,GNN,mc_extra_019,method_c,0.16129,0.16129,0.475806,0.466826
GNNU_A03_V01,GNN,mc_extra_020,method_c,0.032258,0.032258,0.461694,0.443548
GNNU_A03_V01,GNN,multi_lag_regular_jump,multi_lag,0.0,0.0,0.461694,0.443732
GNNU_A03_V01,GNN,UPB_A03_V01,odd_even,0.483871,0.483871,0.215726,0.16074
GNNU_A03_V01,GNN,odd_even_interlaced,odd_even,0.580645,0.580645,0.211694,0.207111
GNNU_A03_V01,GNN,formal_raster_left_to_right,raster,0.0,0.0,0.405242,0.402859
GNNU_A03_V01,GNN,smartscan_proxy_variance,smartscan,0.0,0.096774,0.697581,0.754399
GNNU_A03_V01,GNN,raster_left_to_right,unknown,0.0,0.0,0.405242,0.402859
GNNU_A03_V01,GNN,windowed_max_dispersion,windowed_max_dispersion,0.0,0.0,0.459677,0.445565
GNNU_A04_V01,GNN,block_interleaved_quarters,block_interleaved,0.064516,0.064516,0.397177,0.40011
GNNU_A04_V01,GNN,center_edge_alternating,center_edge,0.0,0.0,0.590726,0.634164
GNNU_A04_V01,GNN,center_out,center_out,0.0,0.064516,0.518145,0.502749
GNNU_A04_V01,GNN,edge_in,edge_in,0.0,0.064516,0.493952,0.491019
GNNU_A04_V01,GNN,edge_in_alternating_LHI,edge_in,0.0,0.064516,0.493952,0.491019
GNNU_A04_V01,GNN,UPB_A07_V01,maximin,0.290323,0.354839,0.570565,0.632698
GNNU_A04_V01,GNN,greedy_maximin_distance,maximin,0.451613,0.451613,0.540323,0.64901
GNNU_A04_V01,GNN,run36_greedy_maximin_distance_adjacent_swap_0002,maximin,0.258065,0.322581,0.544355,0.649377
GNNU_A04_V01,GNN,run36_greedy_maximin_distance_adjacent_swap_0009,maximin,0.387097,0.419355,0.544355,0.64956
GNNU_A04_V01,GNN,run36_greedy_maximin_distance_adjacent_swap_0021,maximin,0.354839,0.387097,0.544355,0.64956
GNNU_A04_V01,GNN,run36_greedy_maximin_distance_adjacent_swap_0023,maximin,0.387097,0.451613,0.544355,0.649377
GNNU_A04_V01,GNN,run36_greedy_maximin_distance_adjacent_swap_0029,maximin,0.322581,0.354839,0.546371,0.655059
GNNU_A04_V01,GNN,run36_greedy_maximin_distance_adjacent_swap_0045,maximin,0.290323,0.322581,0.540323,0.647544
GNNU_A04_V01,GNN,run36_greedy_maximin_distance_adjacent_swap_0046,maximin,0.354839,0.387097,0.540323,0.644245
GNNU_A04_V01,GNN,run36_greedy_maximin_distance_adjacent_swap_0050,maximin,0.354839,0.419355,0.544355,0.649377
GNNU_A04_V01,GNN,run36_greedy_maximin_distance_adjacent_swap_0054,maximin,0.354839,0.387097,0.540323,0.648644
GNNU_A04_V01,GNN,run36_greedy_maximin_distance_adjacent_swap_0055,maximin,0.354839,0.387097,0.544355,0.64956
GNNU_A04_V01,GNN,run36_greedy_maximin_distance_adjacent_swap_0066,maximin,0.387097,0.419355,0.544355,0.64956
GNNU_A04_V01,GNN,run36_greedy_maximin_distance_adjacent_swap_0072,maximin,0.451613,0.451613,0.544355,0.649743
GNNU_A04_V01,GNN,run36_greedy_maximin_distance_adjacent_swap_0073,maximin,0.419355,0.451613,0.540323,0.644611
GNNU_A04_V01,GNN,run36_greedy_maximin_distance_adjacent_swap_0081,maximin,0.258065,0.322581,0.544355,0.649377
GNNU_A04_V01,GNN,V02_M00_NDK_R24_V01,method_c,0.16129,0.193548,0.522177,0.552053
GNNU_A04_V01,GNN,V02_M00_PGJ_V01,method_c,0.0,0.225806,0.320565,0.209861
GNNU_A04_V01,GNN,V02_M00_PGN_R24_V01,method_c,0.0,0.032258,0.34879,0.284824
GNNU_A04_V01,GNN,V02_M00_PGR_R24_V01,method_c,0.0,0.032258,0.328629,0.233871
GNNU_A04_V01,GNN,mc_cand_001,method_c,0.387097,0.645161,0.260081,0.203079
GNNU_A04_V01,GNN,mc_cand_002,method_c,0.451613,0.677419,0.258065,0.202896
GNNU_A04_V01,GNN,mc_cand_004,method_c,0.483871,0.677419,0.235887,0.200147
GNNU_A04_V01,GNN,mc_cand_006,method_c,0.451613,0.645161,0.221774,0.202346
GNNU_A04_V01,GNN,mc_cand_066,method_c,0.129032,0.258065,0.602823,0.637463
GNNU_A04_V01,GNN,mc_cand_067,method_c,0.0,0.096774,0.461694,0.45033
GNNU_A04_V01,GNN,mc_cand_121,method_c,0.0,0.032258,0.586694,0.630682
GNNU_A04_V01,GNN,mc_cand_129,method_c,0.0,0.0,0.469758,0.461694
GNNU_A04_V01,GNN,mc_extra_001,method_c,0.419355,0.645161,0.237903,0.20033
GNNU_A04_V01,GNN,mc_extra_002,method_c,0.322581,0.451613,0.342742,0.311034
GNNU_A04_V01,GNN,mc_extra_003,method_c,0.516129,0.677419,0.219758,0.202163
GNNU_A04_V01,GNN,mc_extra_004,method_c,0.322581,0.548387,0.397177,0.30022
GNNU_A04_V01,GNN,mc_extra_005,method_c,0.387097,0.741935,0.735887,0.757881
GNNU_A04_V01,GNN,mc_extra_006,method_c,0.451613,0.645161,0.247984,0.208394
GNNU_A04_V01,GNN,mc_extra_007,method_c,0.387097,0.580645,0.419355,0.337977
GNNU_A04_V01,GNN,mc_extra_008,method_c,0.419355,0.612903,0.229839,0.207845
GNNU_A04_V01,GNN,mc_extra_009,method_c,0.354839,0.548387,0.417339,0.33596
GNNU_A04_V01,GNN,mc_extra_010,method_c,0.483871,0.645161,0.227823,0.207661
GNNU_A04_V01,GNN,mc_extra_011,method_c,0.032258,0.193548,0.280242,0.197581
GNNU_A04_V01,GNN,mc_extra_012,method_c,0.129032,0.387097,0.399194,0.307368
GNNU_A04_V01,GNN,mc_extra_013,method_c,0.0,0.096774,0.469758,0.431635
GNNU_A04_V01,GNN,mc_extra_014,method_c,0.064516,0.096774,0.308468,0.243035
GNNU_A04_V01,GNN,mc_extra_015,method_c,0.032258,0.032258,0.375,0.318182
GNNU_A04_V01,GNN,mc_extra_016,method_c,0.354839,0.645161,0.653226,0.732771
GNNU_A04_V01,GNN,mc_extra_017,method_c,0.483871,0.774194,0.215726,0.156525
GNNU_A04_V01,GNN,mc_extra_018,method_c,0.322581,0.516129,0.699597,0.753666
GNNU_A04_V01,GNN,mc_extra_019,method_c,0.064516,0.064516,0.512097,0.506965
GNNU_A04_V01,GNN,mc_extra_020,method_c,0.032258,0.032258,0.489919,0.485887
GNNU_A04_V01,GNN,multi_lag_regular_jump,multi_lag,0.0,0.0,0.449597,0.440066
GNNU_A04_V01,GNN,UPB_A03_V01,odd_even,0.645161,0.645161,0.167339,0.158174
GNNU_A04_V01,GNN,odd_even_interlaced,odd_even,0.83871,0.83871,0.163306,0.208394
GNNU_A04_V01,GNN,formal_raster_left_to_right,raster,0.0,0.0,0.352823,0.365652
GNNU_A04_V01,GNN,smartscan_proxy_variance,smartscan,0.0,0.064516,0.685484,0.71426
GNNU_A04_V01,GNN,raster_left_to_right,unknown,0.0,0.0,0.352823,0.365652
GNNU_A04_V01,GNN,windowed_max_dispersion,windowed_max_dispersion,0.0,0.032258,0.439516,0.413306
RL20_A01_V01,RL20,block_interleaved_quarters,block_interleaved,0.0,0.032258,0.489919,0.524377
RL20_A01_V01,RL20,center_edge_alternating,center_edge,0.0,0.0,0.497984,0.499633
RL20_A01_V01,RL20,center_out,center_out,0.032258,0.032258,0.489919,0.476356
RL20_A01_V01,RL20,edge_in,edge_in,0.032258,0.096774,0.510081,0.506415
RL20_A01_V01,RL20,edge_in_alternating_LHI,edge_in,0.032258,0.096774,0.510081,0.506415
RL20_A01_V01,RL20,UPB_A07_V01,maximin,0.096774,0.129032,0.227823,0.12555
RL20_A01_V01,RL20,greedy_maximin_distance,maximin,0.193548,0.225806,0.217742,0.131415
RL20_A01_V01,RL20,run36_greedy_maximin_distance_adjacent_swap_0002,maximin,0.096774,0.16129,0.221774,0.131965
RL20_A01_V01,RL20,run36_greedy_maximin_distance_adjacent_swap_0009,maximin,0.16129,0.16129,0.217742,0.129765
RL20_A01_V01,RL20,run36_greedy_maximin_distance_adjacent_swap_0021,maximin,0.129032,0.193548,0.221774,0.131965
RL20_A01_V01,RL20,run36_greedy_maximin_distance_adjacent_swap_0023,maximin,0.16129,0.225806,0.221774,0.132698
RL20_A01_V01,RL20,run36_greedy_maximin_distance_adjacent_swap_0029,maximin,0.129032,0.16129,0.219758,0.131965
RL20_A01_V01,RL20,run36_greedy_maximin_distance_adjacent_swap_0045,maximin,0.129032,0.16129,0.217742,0.129216
RL20_A01_V01,RL20,run36_greedy_maximin_distance_adjacent_swap_0046,maximin,0.129032,0.193548,0.221774,0.131965
RL20_A01_V01,RL20,run36_greedy_maximin_distance_adjacent_swap_0050,maximin,0.16129,0.193548,0.217742,0.130315
RL20_A01_V01,RL20,run36_greedy_maximin_distance_adjacent_swap_0054,maximin,0.225806,0.290323,0.221774,0.134531
RL20_A01_V01,RL20,run36_greedy_maximin_distance_adjacent_swap_0055,maximin,0.129032,0.16129,0.221774,0.132148
RL20_A01_V01,RL20,run36_greedy_maximin_distance_adjacent_swap_0066,maximin,0.16129,0.193548,0.221774,0.132148
RL20_A01_V01,RL20,run36_greedy_maximin_distance_adjacent_swap_0072,maximin,0.193548,0.193548,0.221774,0.132331
RL20_A01_V01,RL20,run36_greedy_maximin_distance_adjacent_swap_0073,maximin,0.16129,0.225806,0.221774,0.132331
RL20_A01_V01,RL20,run36_greedy_maximin_distance_adjacent_swap_0081,maximin,0.064516,0.16129,0.221774,0.131782
RL20_A01_V01,RL20,V02_M00_NDK_R24_V01,method_c,0.096774,0.129032,0.534274,0.562133
RL20_A01_V01,RL20,V02_M00_PGJ_V01,method_c,0.064516,0.193548,0.764113,0.869135
RL20_A01_V01,RL20,V02_M00_PGN_R24_V01,method_c,0.0,0.064516,0.756048,0.872617
