learned_strategy,learned_family,baseline_strategy,baseline_family,directed_adjacent_overlap,undirected_adjacent_overlap,kendall_distance,spearman_rank_distance
GNNU_A01_V01,GNN,block_interleaved_quarters,block_interleaved,0.032258,0.032258,0.449597,0.441899
GNNU_A01_V01,GNN,center_edge_alternating,center_edge,0.064516,0.064516,0.582661,0.621151
GNNU_A01_V01,GNN,center_out,center_out,0.0,0.0,0.558468,0.595674
GNNU_A01_V01,GNN,edge_in,edge_in,0.0,0.032258,0.449597,0.407258
GNNU_A01_V01,GNN,edge_in_alternating_LHI,edge_in,0.0,0.032258,0.449597,0.407258
GNNU_A01_V01,GNN,UPB_A07_V01,maximin,0.193548,0.258065,0.691532,0.76393
GNNU_A01_V01,GNN,greedy_maximin_distance,maximin,0.290323,0.322581,0.681452,0.762463
GNNU_A01_V01,GNN,run36_greedy_maximin_distance_adjacent_swap_0002,maximin,0.193548,0.290323,0.685484,0.76283
GNNU_A01_V01,GNN,run36_greedy_maximin_distance_adjacent_swap_0009,maximin,0.225806,0.290323,0.685484,0.763013
GNNU_A01_V01,GNN,run36_greedy_maximin_distance_adjacent_swap_0021,maximin,0.225806,0.290323,0.681452,0.761547
GNNU_A01_V01,GNN,run36_greedy_maximin_distance_adjacent_swap_0023,maximin,0.258065,0.322581,0.681452,0.761913
GNNU_A01_V01,GNN,run36_greedy_maximin_distance_adjacent_swap_0029,maximin,0.16129,0.225806,0.683468,0.766496
GNNU_A01_V01,GNN,run36_greedy_maximin_distance_adjacent_swap_0045,maximin,0.258065,0.258065,0.681452,0.763196
GNNU_A01_V01,GNN,run36_greedy_maximin_distance_adjacent_swap_0046,maximin,0.225806,0.290323,0.681452,0.76118
GNNU_A01_V01,GNN,run36_greedy_maximin_distance_adjacent_swap_0050,maximin,0.193548,0.290323,0.685484,0.76283
GNNU_A01_V01,GNN,run36_greedy_maximin_distance_adjacent_swap_0054,maximin,0.193548,0.225806,0.681452,0.760997
GNNU_A01_V01,GNN,run36_greedy_maximin_distance_adjacent_swap_0055,maximin,0.225806,0.258065,0.685484,0.765213
GNNU_A01_V01,GNN,run36_greedy_maximin_distance_adjacent_swap_0066,maximin,0.225806,0.290323,0.685484,0.763013
GNNU_A01_V01,GNN,run36_greedy_maximin_distance_adjacent_swap_0072,maximin,0.290323,0.322581,0.681452,0.76173
GNNU_A01_V01,GNN,run36_greedy_maximin_distance_adjacent_swap_0073,maximin,0.290323,0.322581,0.677419,0.759531
GNNU_A01_V01,GNN,run36_greedy_maximin_distance_adjacent_swap_0081,maximin,0.16129,0.225806,0.685484,0.765029
GNNU_A01_V01,GNN,V02_M00_NDK_R24_V01,method_c,0.096774,0.129032,0.514113,0.489003
GNNU_A01_V01,GNN,V02_M00_PGJ_V01,method_c,0.096774,0.129032,0.27621,0.19923
GNNU_A01_V01,GNN,V02_M00_PGN_R24_V01,method_c,0.0,0.0,0.252016,0.158174
GNNU_A01_V01,GNN,V02_M00_PGR_R24_V01,method_c,0.032258,0.032258,0.296371,0.19923
GNNU_A01_V01,GNN,mc_cand_001,method_c,0.612903,0.612903,0.159274,0.114003
GNNU_A01_V01,GNN,mc_cand_002,method_c,0.516129,0.548387,0.16129,0.114186
GNNU_A01_V01,GNN,mc_cand_004,method_c,0.645161,0.677419,0.147177,0.110704
GNNU_A01_V01,GNN,mc_cand_006,method_c,0.612903,0.612903,0.189516,0.143328
GNNU_A01_V01,GNN,mc_cand_066,method_c,0.16129,0.16129,0.506048,0.524927
GNNU_A01_V01,GNN,mc_cand_067,method_c,0.064516,0.16129,0.502016,0.496151
GNNU_A01_V01,GNN,mc_cand_121,method_c,0.0,0.032258,0.542339,0.578996
GNNU_A01_V01,GNN,mc_cand_129,method_c,0.0,0.0,0.4375,0.407808
GNNU_A01_V01,GNN,mc_extra_001,method_c,0.741935,0.741935,0.145161,0.110521
GNNU_A01_V01,GNN,mc_extra_002,method_c,0.580645,0.580645,0.233871,0.209861
GNNU_A01_V01,GNN,mc_extra_003,method_c,0.516129,0.548387,0.191532,0.143512
GNNU_A01_V01,GNN,mc_extra_004,method_c,0.483871,0.548387,0.207661,0.147727
GNNU_A01_V01,GNN,mc_extra_005,method_c,0.354839,0.483871,0.72379,0.841642
GNNU_A01_V01,GNN,mc_extra_006,method_c,0.483871,0.516129,0.139113,0.090726
GNNU_A01_V01,GNN,mc_extra_007,method_c,0.419355,0.483871,0.201613,0.127016
GNNU_A01_V01,GNN,mc_extra_008,method_c,0.677419,0.677419,0.165323,0.12335
GNNU_A01_V01,GNN,mc_extra_009,method_c,0.483871,0.580645,0.199597,0.130865
GNNU_A01_V01,GNN,mc_extra_010,method_c,0.580645,0.612903,0.167339,0.123534
GNNU_A01_V01,GNN,mc_extra_011,method_c,0.032258,0.096774,0.413306,0.373534
GNNU_A01_V01,GNN,mc_extra_012,method_c,0.16129,0.290323,0.354839,0.299304
GNNU_A01_V01,GNN,mc_extra_013,method_c,0.032258,0.064516,0.429435,0.407258
GNNU_A01_V01,GNN,mc_extra_014,method_c,0.032258,0.032258,0.453629,0.427969
GNNU_A01_V01,GNN,mc_extra_015,method_c,0.032258,0.032258,0.391129,0.355022
