strategy_name,block_interleaved_quarters,center_edge_alternating,center_out,edge_in,edge_in_alternating_LHI,UPB_A07_V01,greedy_maximin_distance,run36_greedy_maximin_distance_adjacent_swap_0002,run36_greedy_maximin_distance_adjacent_swap_0009,run36_greedy_maximin_distance_adjacent_swap_0021,run36_greedy_maximin_distance_adjacent_swap_0023,run36_greedy_maximin_distance_adjacent_swap_0029,run36_greedy_maximin_distance_adjacent_swap_0045,run36_greedy_maximin_distance_adjacent_swap_0046,run36_greedy_maximin_distance_adjacent_swap_0050,run36_greedy_maximin_distance_adjacent_swap_0054,run36_greedy_maximin_distance_adjacent_swap_0055,run36_greedy_maximin_distance_adjacent_swap_0066,run36_greedy_maximin_distance_adjacent_swap_0072,run36_greedy_maximin_distance_adjacent_swap_0073,run36_greedy_maximin_distance_adjacent_swap_0081,V02_M00_NDK_R24_V01,V02_M00_PGJ_V01,V02_M00_PGN_R24_V01,V02_M00_PGR_R24_V01,mc_cand_001,mc_cand_002,mc_cand_004,mc_cand_006,mc_cand_066,mc_cand_067,mc_cand_121,mc_cand_129,mc_extra_001,mc_extra_002,mc_extra_003,mc_extra_004,mc_extra_005,mc_extra_006,mc_extra_007,mc_extra_008,mc_extra_009,mc_extra_010,mc_extra_011,mc_extra_012,mc_extra_013,mc_extra_014,mc_extra_015,mc_extra_016,mc_extra_017,mc_extra_018,mc_extra_019,mc_extra_020,multi_lag_regular_jump,UPB_A03_V01,odd_even_interlaced,formal_raster_left_to_right,smartscan_proxy_variance,raster_left_to_right,windowed_max_dispersion,GNNU_A01_V01,GNNU_A02_V01,GNNU_A03_V01,GNNU_A04_V01,RL20_A01_V01,RL20_A02_V01,RL20_A03_V01,RL20_A04_V01,RL20_A05_V01,RL20_A06_V01,RL20_A07_V01,RL20_A08_V01,RL20_A09_V01,RL20_A10_V01,RL20_A11_V01,RL20_A12_V01,RL20_A13_V01,RL20_A14_V01,RL20_A15_V01,RL20_A16_V01,RL20_A17_V01,RL20_A18_V01,RL20_A19_V01,RL20_A20_V01,RLU2_A01_V01,RLU2_A02_V01,RLU2_A03_V01,RLU2_A04_V01,RLU2_A05_V01,RLU2_A06_V01,RLU2_A07_V01,RLU2_A08_V01,RLU2_A09_V01,RLU2_A10_V01,RLU2_A11_V01,RLU2_A12_V01,RLU2_A13_V01,RLU2_A14_V01,RLU2_A15_V01,RLU2_A16_V01,RLU2_A17_V01,RLU2_A18_V01,RLU2_A19_V01,RLU2_A20_V01,RLU2M_A01_V01,RLU2M_A02_V01,RLU2M_A03_V01,RLU2M_A04_V01,RLU2M_A05_V01,RLU2M_A06_V01,RLU2M_A07_V01,RLU2M_A08_V01,RLU2M_A09_V01,RLU2M_A10_V01,RLU2M_A11_V01,RLU2M_A12_V01,RLU2M_A13_V01,RLU2M_A14_V01,RLU2M_A15_V01,RLU2M_A16_V01,RLU2M_A17_V01,RLU2M_A18_V01,RLU2M_A19_V01,RLU2M_A20_V01,RLU2M_A21_V01,RLU2M_A22_V01,RLU2M_A23_V01,RLU2M_A24_V01,RLU2M_A25_V01,RLU2M_A26_V01,RLU2M_A27_V01,RLU2M_A28_V01,RLU2M_A29_V01,RLU2M_A30_V01,RLU2M_A31_V01,RLU2M_A32_V01,RLU2M_A33_V01,RLU2M_A34_V01,RLU2M_A35_V01,RLU2M_A36_V01,RLU2M_A37_V01,RLU2M_A38_V01,RLU2M_A39_V01,RLU2M_A40_V01,RLV2C_A01_V01,RLV2C_A02_V01,RLV2C_A03_V01,RLV2C_A04_V01,RLV2C_A05_V01,RLV2C_A06_V01,RLV2C_A07_V01,RLV2C_A08_V01,RLV2C_A09_V01,RLV2C_A10_V01,RLV2C_A11_V01,RLV2C_A12_V01,RLV2C_A13_V01,RLV2C_A14_V01,RLV2C_A15_V01,RLV2C_A16_V01,RLV2C_A17_V01,RLV2C_A18_V01,RLV2C_A19_V01,RLV2C_A20_V01,RLV2C_A21_V01,RLV2C_A22_V01,RLV2C_A23_V01,RLV2C_A24_V01,RLV2C_A25_V01,RLV2C_A26_V01,RLV2C_A27_V01,RLV2C_A28_V01,RLV2C_A29_V01,RLV2C_A30_V01,RLV2O_A001_V01,RLV2O_A002_V01,RLV2O_A003_V01,RLV2O_A004_V01,RLV2O_A005_V01,RLV2O_A006_V01
block_interleaved_quarters,0.0,0.483871,0.5,0.5,0.5,0.528226,0.534274,0.538306,0.534274,0.534274,0.538306,0.540323,0.530242,0.538306,0.538306,0.538306,0.530242,0.530242,0.530242,0.538306,0.534274,0.46371,0.439516,0.439516,0.451613,0.387097,0.385081,0.346774,0.336694,0.516129,0.435484,0.524194,0.447581,0.34879,0.385081,0.334677,0.443548,0.612903,0.362903,0.417339,0.336694,0.407258,0.334677,0.391129,0.538306,0.435484,0.467742,0.453629,0.522177,0.399194,0.576613,0.518145,0.495968,0.584677,0.362903,0.33871,0.33871,0.574597,0.33871,0.546371,0.449597,0.379032,0.385081,0.397177,0.489919,0.520161,0.514113,0.489919,0.479839,0.483871,0.510081,0.479839,0.485887,0.479839,0.514113,0.477823,0.483871,0.52621,0.465726,0.510081,0.491935,0.487903,0.534274,0.469758,0.393145,0.399194,0.403226,0.399194,0.397177,0.395161,0.397177,0.340726,0.362903,0.336694,0.344758,0.344758,0.344758,0.344758,0.40121,0.389113,0.405242,0.387097,0.560484,0.465726,0.395161,0.393145,0.395161,0.391129,0.395161,0.389113,0.391129,0.391129,0.391129,0.399194,0.399194,0.403226,0.395161,0.391129,0.395161,0.391129,0.395161,0.395161,0.395161,0.393145,0.385081,0.395161,0.393145,0.393145,0.403226,0.356855,0.403226,0.477823,0.360887,0.409274,0.397177,0.391129,0.413306,0.318548,0.403226,0.570565,0.516129,0.433468,0.485887,0.443548,0.530242,0.578629,0.58871,0.489919,0.481855,0.407258,0.495968,0.487903,0.493952,0.53629,0.504032,0.399194,0.502016,0.497984,0.399194,0.497984,0.528226,0.465726,0.550403,0.578629,0.481855,0.556452,0.497984,0.46371,0.510081,0.445565,0.481855,0.53629,0.518145,0.534274,0.574597,0.491935,0.582661,0.514113,0.459677,0.5
center_edge_alternating,0.483871,0.0,0.467742,0.5,0.5,0.467742,0.461694,0.461694,0.465726,0.461694,0.465726,0.46371,0.457661,0.465726,0.465726,0.457661,0.465726,0.465726,0.461694,0.465726,0.465726,0.5,0.528226,0.467742,0.487903,0.504032,0.506048,0.532258,0.530242,0.479839,0.491935,0.467742,0.387097,0.530242,0.550403,0.532258,0.504032,0.487903,0.520161,0.522177,0.534274,0.532258,0.53629,0.447581,0.534274,0.459677,0.495968,0.461694,0.457661,0.504032,0.475806,0.485887,0.576613,0.495968,0.516129,0.483871,0.467742,0.441532,0.467742,0.481855,0.582661,0.584677,0.614919,0.590726,0.497984,0.504032,0.502016,0.506048,0.508065,0.504032,0.506048,0.508065,0.506048,0.504032,0.510081,0.506048,0.504032,0.493952,0.518145,0.497984,0.504032,0.495968,0.493952,0.493952,0.590726,0.592742,0.592742,0.592742,0.594758,0.592742,0.59879,0.485887,0.491935,0.481855,0.477823,0.477823,0.489919,0.477823,0.586694,0.586694,0.582661,0.58871,0.5,0.47379,0.592742,0.586694,0.592742,0.58871,0.58871,0.59879,0.592742,0.592742,0.592742,0.596774,0.584677,0.604839,0.58871,0.58871,0.592742,0.592742,0.592742,0.592742,0.592742,0.590726,0.594758,0.600806,0.590726,0.586694,0.58871,0.489919,0.580645,0.477823,0.497984,0.582661,0.594758,0.580645,0.546371,0.508065,0.556452,0.506048,0.467742,0.530242,0.497984,0.419355,0.570565,0.530242,0.548387,0.566532,0.542339,0.633065,0.576613,0.419355,0.522177,0.475806,0.491935,0.495968,0.5625,0.59879,0.467742,0.659274,0.487903,0.465726,0.566532,0.534274,0.586694,0.625,0.574597,0.467742,0.534274,0.703629,0.542339,0.572581,0.421371,0.449597,0.578629,0.544355,0.558468,0.530242,0.520161,0.540323
center_out,0.5,0.467742,0.0,0.967742,0.967742,0.471774,0.522177,0.522177,0.522177,0.518145,0.522177,0.524194,0.522177,0.52621,0.522177,0.522177,0.522177,0.52621,0.522177,0.522177,0.522177,0.358871,0.358871,0.612903,0.447581,0.53629,0.534274,0.528226,0.510081,0.383065,0.53629,0.451613,0.5,0.530242,0.477823,0.508065,0.508065,0.358871,0.53629,0.514113,0.52621,0.504032,0.524194,0.447581,0.409274,0.487903,0.407258,0.441532,0.340726,0.431452,0.314516,0.510081,0.508065,0.528226,0.520161,0.5,0.483871,0.522177,0.483871,0.493952,0.558468,0.516129,0.465726,0.518145,0.489919,0.495968,0.510081,0.485887,0.483871,0.491935,0.493952,0.491935,0.485887,0.487903,0.489919,0.493952,0.487903,0.497984,0.489919,0.514113,0.483871,0.491935,0.514113,0.497984,0.514113,0.520161,0.516129,0.516129,0.522177,0.512097,0.506048,0.502016,0.443548,0.506048,0.493952,0.506048,0.493952,0.506048,0.514113,0.510081,0.510081,0.524194,0.540323,0.453629,0.512097,0.518145,0.516129,0.516129,0.516129,0.502016,0.520161,0.520161,0.520161,0.508065,0.524194,0.504032,0.512097,0.512097,0.516129,0.512097,0.516129,0.512097,0.516129,0.510081,0.502016,0.508065,0.510081,0.510081,0.508065,0.481855,0.508065,0.510081,0.52621,0.497984,0.52621,0.504032,0.52621,0.532258,0.479839,0.534274,0.508065,0.465726,0.522177,0.459677,0.570565,0.405242,0.572581,0.518145,0.518145,0.5,0.427419,0.564516,0.356855,0.375,0.580645,0.540323,0.477823,0.514113,0.53629,0.542339,0.524194,0.538306,0.296371,0.332661,0.328629,0.375,0.40121,0.483871,0.606855,0.457661,0.389113,0.366935,0.506048,0.534274,0.393145,0.479839,0.413306,0.441532,0.532258,0.512097
edge_in,0.5,0.5,0.967742,0.0,0.0,0.524194,0.47379,0.47379,0.47379,0.477823,0.47379,0.475806,0.47379,0.469758,0.47379,0.47379,0.47379,0.469758,0.47379,0.47379,0.47379,0.645161,0.641129,0.387097,0.552419,0.46371,0.465726,0.471774,0.489919,0.620968,0.467742,0.552419,0.495968,0.469758,0.522177,0.491935,0.483871,0.641129,0.46371,0.47379,0.47379,0.483871,0.475806,0.552419,0.594758,0.516129,0.600806,0.566532,0.659274,0.568548,0.685484,0.493952,0.5,0.479839,0.479839,0.5,0.483871,0.47379,0.483871,0.510081,0.449597,0.487903,0.538306,0.493952,0.510081,0.504032,0.489919,0.514113,0.516129,0.508065,0.506048,0.508065,0.514113,0.512097,0.510081,0.506048,0.512097,0.502016,0.510081,0.485887,0.516129,0.508065,0.485887,0.502016,0.493952,0.491935,0.495968,0.495968,0.489919,0.5,0.506048,0.497984,0.556452,0.493952,0.506048,0.493952,0.506048,0.493952,0.497984,0.502016,0.502016,0.487903,0.455645,0.550403,0.495968,0.489919,0.491935,0.491935,0.491935,0.502016,0.487903,0.487903,0.487903,0.5,0.487903,0.508065,0.495968,0.495968,0.491935,0.495968,0.491935,0.495968,0.491935,0.497984,0.502016,0.504032,0.497984,0.497984,0.504032,0.518145,0.5,0.489919,0.47379,0.510081,0.481855,0.504032,0.47379,0.46371,0.528226,0.47379,0.508065,0.534274,0.469758,0.53629,0.433468,0.590726,0.431452,0.489919,0.481855,0.495968,0.580645,0.447581,0.643145,0.629032,0.435484,0.46371,0.52621,0.489919,0.46371,0.465726,0.471774,0.457661,0.6875,0.655242,0.6875,0.629032,0.602823,0.524194,0.385081,0.542339,0.610887,0.620968,0.477823,0.461694,0.618952,0.520161,0.594758,0.558468,0.467742,0.487903
edge_in_alternating_LHI,0.5,0.5,0.967742,0.0,0.0,0.524194,0.47379,0.47379,0.47379,0.477823,0.47379,0.475806,0.47379,0.469758,0.47379,0.47379,0.47379,0.469758,0.47379,0.47379,0.47379,0.645161,0.641129,0.387097,0.552419,0.46371,0.465726,0.471774,0.489919,0.620968,0.467742,0.552419,0.495968,0.469758,0.522177,0.491935,0.483871,0.641129,0.46371,0.47379,0.47379,0.483871,0.475806,0.552419,0.594758,0.516129,0.600806,0.566532,0.659274,0.568548,0.685484,0.493952,0.5,0.479839,0.479839,0.5,0.483871,0.47379,0.483871,0.510081,0.449597,0.487903,0.538306,0.493952,0.510081,0.504032,0.489919,0.514113,0.516129,0.508065,0.506048,0.508065,0.514113,0.512097,0.510081,0.506048,0.512097,0.502016,0.510081,0.485887,0.516129,0.508065,0.485887,0.502016,0.493952,0.491935,0.495968,0.495968,0.489919,0.5,0.506048,0.497984,0.556452,0.493952,0.506048,0.493952,0.506048,0.493952,0.497984,0.502016,0.502016,0.487903,0.455645,0.550403,0.495968,0.489919,0.491935,0.491935,0.491935,0.502016,0.487903,0.487903,0.487903,0.5,0.487903,0.508065,0.495968,0.495968,0.491935,0.495968,0.491935,0.495968,0.491935,0.497984,0.502016,0.504032,0.497984,0.497984,0.504032,0.518145,0.5,0.489919,0.47379,0.510081,0.481855,0.504032,0.47379,0.46371,0.528226,0.47379,0.508065,0.534274,0.469758,0.53629,0.433468,0.590726,0.431452,0.489919,0.481855,0.495968,0.580645,0.447581,0.643145,0.629032,0.435484,0.46371,0.52621,0.489919,0.46371,0.465726,0.471774,0.457661,0.6875,0.655242,0.6875,0.629032,0.602823,0.524194,0.385081,0.542339,0.610887,0.620968,0.477823,0.461694,0.618952,0.520161,0.594758,0.558468,0.467742,0.487903
UPB_A07_V01,0.528226,0.467742,0.471774,0.524194,0.524194,0.0,0.078629,0.082661,0.074597,0.078629,0.082661,0.084677,0.074597,0.082661,0.078629,0.082661,0.078629,0.078629,0.078629,0.082661,0.082661,0.495968,0.673387,0.770161,0.689516,0.693548,0.695565,0.689516,0.663306,0.495968,0.479839,0.366935,0.479839,0.6875,0.59879,0.665323,0.669355,0.266129,0.697581,0.639113,0.679435,0.641129,0.681452,0.5,0.618952,0.459677,0.471774,0.522177,0.179435,0.645161,0.225806,0.457661,0.552419,0.552419,0.665323,0.657258,0.415323,0.171371,0.415323,0.538306,0.691532,0.556452,0.59879,0.570565,0.227823,0.254032,0.268145,0.22379,0.225806,0.225806,0.260081,0.221774,0.227823,0.225806,0.256048,0.219758,0.225806,0.264113,0.215726,0.272177,0.225806,0.225806,0.288306,0.227823,0.566532,0.568548,0.568548,0.568548,0.574597,0.572581,0.574597,0.655242,0.66129,0.663306,0.655242,0.663306,0.655242,0.655242,0.578629,0.574597,0.578629,0.564516,0.516129,0.4375,0.568548,0.566532,0.564516,0.564516,0.568548,0.558468,0.564516,0.564516,0.564516,0.564516,0.568548,0.564516,0.564516,0.568548,0.564516,0.568548,0.564516,0.564516,0.564516,0.5625,0.5625,0.568548,0.5625,0.566532,0.572581,0.647177,0.568548,0.219758,0.663306,0.550403,0.582661,0.564516,0.631048,0.600806,0.564516,0.558468,0.5,0.703629,0.489919,0.310484,0.554435,0.336694,0.455645,0.457661,0.570565,0.556452,0.399194,0.491935,0.510081,0.516129,0.524194,0.483871,0.506048,0.530242,0.512097,0.582661,0.487903,0.506048,0.530242,0.497984,0.489919,0.516129,0.514113,0.495968,0.489919,0.558468,0.566532,0.495968,0.502016,0.469758,0.481855,0.540323,0.356855,0.332661,0.548387,0.568548
greedy_maximin_distance,0.534274,0.461694,0.522177,0.47379,0.47379,0.078629,0.0,0.004032,0.004032,0.004032,0.004032,0.006048,0.004032,0.004032,0.004032,0.004032,0.004032,0.004032,0.004032,0.004032,0.004032,0.502016,0.707661,0.752016,0.711694,0.667339,0.669355,0.655242,0.620968,0.510081,0.457661,0.393145,0.493952,0.653226,0.620968,0.622984,0.683468,0.308468,0.671371,0.649194,0.645161,0.655242,0.647177,0.506048,0.645161,0.469758,0.493952,0.560484,0.229839,0.594758,0.268145,0.467742,0.554435,0.5625,0.627016,0.606855,0.364919,0.173387,0.364919,0.568548,0.681452,0.52621,0.612903,0.540323,0.217742,0.211694,0.21371,0.221774,0.215726,0.215726,0.209677,0.203629,0.217742,0.215726,0.21371,0.201613,0.215726,0.21371,0.197581,0.225806,0.22379,0.215726,0.245968,0.205645,0.53629,0.538306,0.538306,0.542339,0.544355,0.542339,0.544355,0.604839,0.610887,0.612903,0.604839,0.612903,0.604839,0.604839,0.548387,0.544355,0.548387,0.538306,0.489919,0.459677,0.538306,0.53629,0.534274,0.534274,0.538306,0.528226,0.538306,0.538306,0.538306,0.534274,0.538306,0.534274,0.534274,0.538306,0.538306,0.538306,0.538306,0.534274,0.538306,0.532258,0.532258,0.538306,0.540323,0.53629,0.542339,0.596774,0.538306,0.165323,0.612903,0.520161,0.552419,0.546371,0.616935,0.574597,0.558468,0.592742,0.522177,0.685484,0.5,0.316532,0.520161,0.322581,0.417339,0.455645,0.58871,0.554435,0.40121,0.481855,0.520161,0.546371,0.546371,0.485887,0.495968,0.5,0.522177,0.568548,0.510081,0.520161,0.516129,0.483871,0.508065,0.514113,0.53629,0.522177,0.467742,0.556452,0.580645,0.506048,0.5,0.483871,0.491935,0.554435,0.366935,0.350806,0.546371,0.590726
run36_greedy_maximin_distance_adjacent_swap_0002,0.538306,0.461694,0.522177,0.47379,0.47379,0.082661,0.004032,0.0,0.008065,0.008065,0.008065,0.010081,0.008065,0.004032,0.008065,0.008065,0.008065,0.008065,0.008065,0.008065,0.004032,0.506048,0.711694,0.752016,0.711694,0.671371,0.673387,0.659274,0.625,0.510081,0.457661,0.393145,0.489919,0.657258,0.625,0.627016,0.683468,0.308468,0.675403,0.649194,0.649194,0.655242,0.65121,0.510081,0.645161,0.469758,0.493952,0.560484,0.229839,0.59879,0.268145,0.46371,0.558468,0.558468,0.631048,0.610887,0.368952,0.173387,0.368952,0.568548,0.685484,0.530242,0.616935,0.544355,0.221774,0.215726,0.217742,0.225806,0.215726,0.219758,0.21371,0.207661,0.217742,0.215726,0.217742,0.205645,0.215726,0.217742,0.201613,0.229839,0.227823,0.219758,0.25,0.209677,0.540323,0.542339,0.542339,0.546371,0.548387,0.546371,0.548387,0.608871,0.614919,0.616935,0.608871,0.616935,0.608871,0.608871,0.548387,0.548387,0.552419,0.542339,0.485887,0.455645,0.542339,0.540323,0.538306,0.538306,0.542339,0.532258,0.542339,0.542339,0.542339,0.538306,0.542339,0.538306,0.538306,0.542339,0.542339,0.542339,0.542339,0.538306,0.542339,0.53629,0.53629,0.542339,0.544355,0.540323,0.546371,0.600806,0.542339,0.169355,0.616935,0.524194,0.552419,0.550403,0.620968,0.578629,0.5625,0.592742,0.52621,0.685484,0.504032,0.320565,0.520161,0.322581,0.417339,0.459677,0.58871,0.558468,0.40121,0.481855,0.516129,0.550403,0.550403,0.485887,0.491935,0.5,0.52621,0.568548,0.514113,0.524194,0.516129,0.487903,0.512097,0.514113,0.53629,0.522177,0.46371,0.560484,0.576613,0.502016,0.5,0.483871,0.487903,0.554435,0.370968,0.350806,0.550403,0.590726
run36_greedy_maximin_distance_adjacent_swap_0009,0.534274,0.465726,0.522177,0.47379,0.47379,0.074597,0.004032,0.008065,0.0,0.008065,0.008065,0.010081,0.008065,0.008065,0.004032,0.008065,0.004032,0.004032,0.004032,0.008065,0.008065,0.497984,0.711694,0.752016,0.711694,0.671371,0.673387,0.659274,0.625,0.514113,0.457661,0.393145,0.489919,0.657258,0.625,0.627016,0.6875,0.308468,0.675403,0.653226,0.649194,0.659274,0.65121,0.510081,0.645161,0.469758,0.497984,0.564516,0.229839,0.59879,0.268145,0.467742,0.554435,0.5625,0.631048,0.610887,0.368952,0.169355,0.368952,0.564516,0.685484,0.530242,0.612903,0.544355,0.217742,0.211694,0.217742,0.221774,0.215726,0.215726,0.21371,0.203629,0.217742,0.215726,0.21371,0.201613,0.215726,0.217742,0.197581,0.229839,0.22379,0.215726,0.25,0.209677,0.540323,0.542339,0.542339,0.542339,0.548387,0.546371,0.548387,0.608871,0.614919,0.616935,0.608871,0.616935,0.608871,0.608871,0.552419,0.548387,0.552419,0.538306,0.489919,0.459677,0.542339,0.540323,0.538306,0.538306,0.542339,0.532258,0.538306,0.538306,0.538306,0.538306,0.542339,0.538306,0.538306,0.542339,0.542339,0.542339,0.542339,0.538306,0.542339,0.53629,0.53629,0.542339,0.544355,0.540323,0.546371,0.600806,0.542339,0.169355,0.616935,0.524194,0.556452,0.550403,0.616935,0.574597,0.5625,0.58871,0.522177,0.685484,0.5,0.320565,0.524194,0.318548,0.413306,0.455645,0.584677,0.550403,0.397177,0.481855,0.520161,0.550403,0.542339,0.481855,0.491935,0.5,0.522177,0.568548,0.510081,0.516129,0.520161,0.483871,0.508065,0.514113,0.540323,0.52621,0.471774,0.560484,0.580645,0.506048,0.5,0.483871,0.495968,0.550403,0.362903,0.346774,0.550403,0.586694
run36_greedy_maximin_distance_adjacent_swap_0021,0.534274,0.461694,0.518145,0.477823,0.477823,0.078629,0.004032,0.008065,0.008065,0.0,0.008065,0.010081,0.008065,0.008065,0.008065,0.008065,0.008065,0.008065,0.004032,0.008065,0.008065,0.502016,0.707661,0.756048,0.715726,0.667339,0.669355,0.655242,0.620968,0.510081,0.461694,0.393145,0.493952,0.653226,0.616935,0.622984,0.683468,0.304435,0.671371,0.649194,0.645161,0.655242,0.647177,0.506048,0.641129,0.465726,0.497984,0.560484,0.225806,0.594758,0.264113,0.467742,0.550403,0.5625,0.631048,0.610887,0.368952,0.173387,0.368952,0.572581,0.681452,0.530242,0.608871,0.544355,0.221774,0.215726,0.217742,0.221774,0.219758,0.219758,0.21371,0.207661,0.221774,0.219758,0.217742,0.205645,0.219758,0.217742,0.201613,0.229839,0.22379,0.219758,0.25,0.205645,0.540323,0.542339,0.542339,0.546371,0.548387,0.546371,0.548387,0.608871,0.610887,0.616935,0.608871,0.616935,0.608871,0.608871,0.552419,0.548387,0.552419,0.542339,0.489919,0.46371,0.542339,0.540323,0.538306,0.538306,0.542339,0.532258,0.542339,0.542339,0.542339,0.538306,0.542339,0.538306,0.538306,0.542339,0.542339,0.542339,0.542339,0.538306,0.542339,0.53629,0.53629,0.542339,0.540323,0.540323,0.546371,0.600806,0.542339,0.169355,0.616935,0.524194,0.556452,0.550403,0.616935,0.578629,0.5625,0.58871,0.522177,0.685484,0.504032,0.316532,0.524194,0.322581,0.417339,0.451613,0.592742,0.558468,0.405242,0.481855,0.516129,0.546371,0.546371,0.485887,0.495968,0.5,0.518145,0.564516,0.506048,0.520161,0.512097,0.479839,0.508065,0.514113,0.53629,0.518145,0.467742,0.552419,0.584677,0.506048,0.495968,0.479839,0.491935,0.554435,0.362903,0.350806,0.542339,0.590726
