n,leaderboard,position,strategy_name,dataset_source,value,combined_reward_rank
24,top5_u2,1,N24_A04_method_c_u2_first_engineering,probe60_run08,5.621172385872342e-05,1
24,top5_u2,2,S3B20_N24_B04_surrogate_top,batch20_run14,5.741682798543479e-05,2
24,top5_u2,3,S3B20_N24_B02_diversity_top,batch20_run14,7.592932161060162e-05,3
24,top5_u2,4,S3B20_N24_B01_surrogate_top,batch20_run14,7.634673784195911e-05,7
24,top5_u2,5,N24_A02_odd_even_interlaced,probe60_run08,8.360300034837564e-05,6
24,top5_peeq,1,S3B20_N24_B05_surrogate_top,batch20_run14,0.15368027985095978,4
24,top5_peeq,2,N24_A10_graph_pointer_policy_zero_shot_or_proxy_best,probe60_run08,0.15415936708450317,5
24,top5_peeq,3,N24_A04_method_c_u2_first_engineering,probe60_run08,0.15437763929367065,1
24,top5_peeq,4,N24_A08_block_interleaved_quarters,probe60_run08,0.15462736785411835,16
24,top5_peeq,5,N24_A02_odd_even_interlaced,probe60_run08,0.15498611330986023,6
24,top5_surfaceT,1,N24_A13_graph_pointer_policy_anti_odd_even_novelty,probe60_run08,581204672.0,8
24,top5_surfaceT,2,S3B20_N24_B04_surrogate_top,batch20_run14,581725376.0,2
24,top5_surfaceT,3,N24_A04_method_c_u2_first_engineering,probe60_run08,581727232.0,1
24,top5_surfaceT,4,S3B20_N24_B05_surrogate_top,batch20_run14,581741824.0,4
24,top5_surfaceT,5,N24_A09_center_edge_alternating,probe60_run08,581775744.0,18
24,top5_mises,1,N24_A06_edge_in_alternating,probe60_run08,579942784.0,17
24,top5_mises,2,N24_A07_regular_jump_coprime,probe60_run08,579943104.0,9
24,top5_mises,3,N24_A10_graph_pointer_policy_zero_shot_or_proxy_best,probe60_run08,579943360.0,5
24,top5_mises,4,N24_A08_block_interleaved_quarters,probe60_run08,579943744.0,16
24,top5_mises,5,N24_A09_center_edge_alternating,probe60_run08,579943744.0,18
24,top5_combined_reward,1,N24_A04_method_c_u2_first_engineering,probe60_run08,0.9263157894736843,1
24,top5_combined_reward,2,S3B20_N24_B04_surrogate_top,batch20_run14,0.8473684210526315,2
24,top5_combined_reward,3,S3B20_N24_B02_diversity_top,batch20_run14,0.8210526315789475,3
24,top5_combined_reward,4,S3B20_N24_B05_surrogate_top,batch20_run14,0.7710526315789475,4
24,top5_combined_reward,5,N24_A10_graph_pointer_policy_zero_shot_or_proxy_best,probe60_run08,0.7315789473684212,5
24,worst3_u2,1,N24_A05_center_out,probe60_run08,0.0006265991143266092,20
24,worst3_u2,2,N24_A08_block_interleaved_quarters,probe60_run08,0.0006247397857350734,16
24,worst3_u2,3,N24_A09_center_edge_alternating,probe60_run08,0.0005546370016418223,18
24,worst3_peeq,1,N24_A01_raster_left_to_right,probe60_run08,0.18925029039382935,19
24,worst3_peeq,2,N24_A06_edge_in_alternating,probe60_run08,0.18484757840633392,17
24,worst3_peeq,3,N24_A09_center_edge_alternating,probe60_run08,0.17539091408252716,18
24,worst3_surfaceT,1,N24_A06_edge_in_alternating,probe60_run08,590591168.0,17
24,worst3_surfaceT,2,N24_A11_graph_pointer_policy_diverse_01,probe60_run08,589194880.0,10
24,worst3_surfaceT,3,N24_A05_center_out,probe60_run08,588072192.0,20
40,top5_u2,1,S3B20_N40_B02_diversity_top,batch20_run14,8.922922461351845e-05,2
40,top5_u2,2,N40_A04_method_c_u2_first_engineering,probe60_run08,0.0001108189990191022,1
40,top5_u2,3,S3B20_N40_B05_surrogate_top,batch20_run14,0.00011205847840756178,3
40,top5_u2,4,S3B20_N40_B01_surrogate_top,batch20_run14,0.00011389043356757611,5
40,top5_u2,5,N40_A02_odd_even_interlaced,probe60_run08,0.00015956887364154682,6
40,top5_peeq,1,N40_A04_method_c_u2_first_engineering,probe60_run08,0.15395095944404602,1
40,top5_peeq,2,S3B20_N40_B04_surrogate_top,batch20_run14,0.15405847132205963,4
40,top5_peeq,3,S3B20_N40_B02_diversity_top,batch20_run14,0.15504635870456696,2
40,top5_peeq,4,N40_A10_graph_pointer_policy_zero_shot_or_proxy_best,probe60_run08,0.15650783479213715,8
40,top5_peeq,5,N40_A08_block_interleaved_quarters,probe60_run08,0.1575537621974945,16
40,top5_surfaceT,1,N40_A13_graph_pointer_policy_anti_odd_even_novelty,probe60_run08,581541824.0,7
40,top5_surfaceT,2,N40_A04_method_c_u2_first_engineering,probe60_run08,582221504.0,1
40,top5_surfaceT,3,S3B20_N40_B04_surrogate_top,batch20_run14,582236352.0,4
40,top5_surfaceT,4,S3B20_N40_B05_surrogate_top,batch20_run14,582652032.0,3
40,top5_surfaceT,5,S3B20_N40_B01_surrogate_top,batch20_run14,582971072.0,5
40,top5_mises,1,N40_A07_regular_jump_coprime,probe60_run08,579924032.0,20
40,top5_mises,2,N40_A09_center_edge_alternating,probe60_run08,579924096.0,18
40,top5_mises,3,N40_A08_block_interleaved_quarters,probe60_run08,579924416.0,16
40,top5_mises,4,N40_A12_graph_pointer_policy_diverse_02,probe60_run08,579924800.0,13
40,top5_mises,5,N40_A05_center_out,probe60_run08,579925632.0,19
40,top5_combined_reward,1,N40_A04_method_c_u2_first_engineering,probe60_run08,0.9315789473684212,1
40,top5_combined_reward,2,S3B20_N40_B02_diversity_top,batch20_run14,0.9210526315789473,2
40,top5_combined_reward,3,S3B20_N40_B05_surrogate_top,batch20_run14,0.8105263157894738,3
40,top5_combined_reward,4,S3B20_N40_B04_surrogate_top,batch20_run14,0.7815789473684212,4
40,top5_combined_reward,5,S3B20_N40_B01_surrogate_top,batch20_run14,0.7473684210526317,5
40,worst3_u2,1,N40_A07_regular_jump_coprime,probe60_run08,0.002076672622933984,20
40,worst3_u2,2,N40_A08_block_interleaved_quarters,probe60_run08,0.0020561176352202892,16
40,worst3_u2,3,N40_A09_center_edge_alternating,probe60_run08,0.0018988421652466059,18
40,worst3_peeq,1,N40_A06_edge_in_alternating,probe60_run08,0.20056912302970886,17
40,worst3_peeq,2,N40_A01_raster_left_to_right,probe60_run08,0.20001305639743805,14
40,worst3_peeq,3,N40_A05_center_out,probe60_run08,0.17962194979190826,19
40,worst3_surfaceT,1,N40_A07_regular_jump_coprime,probe60_run08,595582528.0,20
40,worst3_surfaceT,2,N40_A06_edge_in_alternating,probe60_run08,595556480.0,17
40,worst3_surfaceT,3,N40_A08_block_interleaved_quarters,probe60_run08,594139136.0,16
