n,strategy_name,dataset_source,order_json,candidate_family,selection_bucket,u2_range,peeq_max,surface_t_proxy,mises_max,u2_rank_combined80_within_n,peeq_rank_combined80_within_n,surfaceT_rank_combined80_within_n,mises_rank_combined80_within_n,u2_cost_minmax_combined80_within_n,peeq_cost_minmax_combined80_within_n,surfaceT_cost_minmax_combined80_within_n,mises_cost_minmax_combined80_within_n,reward_combined80_u2_primary,combined80_constrained_rank_within_n,combined80_pareto_flag_u2_peeq,combined80_pareto_flag_u2_peeq_surfaceT_mises,teacher_validation_status,target_reward_combined80_u2_primary,target_u2_score_combined80_rank,target_peeq_score_combined80_rank,target_surfaceT_score_combined80_rank,target_mises_score_combined80_rank,target_combined80_constrained_rank_within_n
12,N12_A12_graph_pointer_policy_diverse_02,probe60_run08,"[4,7,3,8,2,9,1,10,0,11,5,6]",graph_pointer_proxy,,0.00013954683527117595,0.16334585845470428,581337984.0,579938048.0,19.0,16.0,6.0,2.5,0.8606806894276917,0.6577448024731195,0.11301048155839019,0.04,0.19605263157894742,19,False,True,PASS_ODB_EXTRACTED,0.19605263157894742,0.052631578947368474,0.21052631578947367,0.736842105263158,0.9210526315789473,19
12,N12_A13_graph_pointer_policy_anti_odd_even_novelty,probe60_run08,"[1,10,3,8,5,6,7,4,9,2,11,0]",graph_pointer_proxy,,7.77201084929402e-05,0.14032196998596191,581967424.0,579939328.0,11.0,1.0,10.0,11.0,0.40271161218411067,0.0,0.2345743102936814,0.84,0.5842105263157895,8,True,True,PASS_ODB_EXTRACTED,0.5842105263157895,0.4736842105263158,1.0,0.5263157894736843,0.4736842105263158,8
12,N12_A14_graph_pointer_policy_u2first_proxy,probe60_run08,"[0,5,2,6,4,7,8,3,10,1,9,11]",graph_pointer_proxy,,0.00010109988033946138,0.15888875722885132,581829312.0,579938368.0,15.0,12.0,8.0,8.5,0.5758925825615675,0.530414652773107,0.20790072184317215,0.24,0.34868421052631576,14,False,False,PASS_ODB_EXTRACTED,0.34868421052631576,0.26315789473684215,0.42105263157894735,0.631578947368421,0.6052631578947368,14
12,N12_A15_graph_pointer_policy_balanced_dispersion_proxy,probe60_run08,"[0,5,11,6,4,8,7,2,3,1,9,10]",graph_pointer_proxy,,9.216308080794988e-05,0.1593673974275589,581069312.0,579938240.0,14.0,13.0,4.0,4.0,0.5096950325984676,0.5440884118074256,0.06112182339562939,0.16,0.4052631578947368,13,False,True,PASS_ODB_EXTRACTED,0.4052631578947368,0.3157894736842105,0.368421052631579,0.8421052631578947,0.8421052631578947,13
16,N16_A01_raster_left_to_right,probe60_run08,"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15]",raster,,0.00024349282352886803,0.17520761489868164,587841664.0,579948288.0,18.0,19.0,20.0,16.5,0.847256453741858,0.8525228565562386,1.0,0.96,0.08815789473684213,20,False,False,PASS_ODB_EXTRACTED,0.08815789473684213,0.10526315789473684,0.052631578947368474,0.0,0.1842105263157895,20
16,N16_A02_odd_even_interlaced,probe60_run08,"[0,2,4,6,8,10,12,14,1,3,5,7,9,11,13,15]",odd_even,,4.9715717977960594e-05,0.15370793640613556,585719808.0,579947520.0,4.0,8.0,19.0,8.0,0.01563810605994577,0.15550042874913947,0.6943458499663498,0.48,0.7105263157894738,6,False,True,PASS_ODB_EXTRACTED,0.7105263157894738,0.8421052631578947,0.631578947368421,0.052631578947368474,0.631578947368421,6
16,N16_A03_greedy_maximin_distance,probe60_run08,"[0,15,7,11,3,5,9,13,1,2,4,6,8,10,12,14]",maximin,,4.607185064742225e-05,0.1532730907201767,582927360.0,579948160.0,1.0,7.0,16.0,13.5,0.0,0.1414026739453375,0.29209267163890146,0.88,0.825,2,True,True,PASS_ODB_EXTRACTED,0.825,1.0,0.6842105263157895,0.21052631578947367,0.3421052631578947,2
16,N16_A04_method_c_u2_first_engineering,probe60_run08,"[0,2,4,6,8,10,12,14,7,5,3,1,9,11,13,15]",method_c,,5.043179316999158e-05,0.15182757377624512,581727104.0,579948352.0,5.0,5.0,8.0,19.5,0.018711231062612146,0.09453882293264411,0.1191953461357623,1.0,0.7355263157894737,5,False,False,PASS_ODB_EXTRACTED,0.7355263157894737,0.7894736842105263,0.7894736842105263,0.631578947368421,0.02631578947368418,5
16,N16_A05_center_out,probe60_run08,"[7,8,6,9,5,10,4,11,3,12,2,13,1,14,0,15]",center_out,,0.00027908391211894923,0.16641919314861298,582182080.0,579946816.0,20.0,15.0,11.0,2.5,1.0,0.5676010579837921,0.18473480902377637,0.04,0.14605263157894738,19,False,False,PASS_ODB_EXTRACTED,0.14605263157894738,0.0,0.26315789473684215,0.4736842105263158,0.9210526315789473,19
16,N16_A06_edge_in_alternating,probe60_run08,"[0,15,1,14,2,13,3,12,4,11,5,10,6,9,7,8]",edge_in,,0.00020532089024527522,0.1797565519809723,581764096.0,579947776.0,15.0,20.0,9.0,9.0,0.6834368941768815,1.0,0.12452405756483419,0.64,0.2578947368421053,17,False,True,PASS_ODB_EXTRACTED,0.2578947368421053,0.26315789473684215,0.0,0.5789473684210527,0.5789473684210527,17
16,N16_A07_regular_jump_coprime,probe60_run08,"[0,5,10,15,4,9,14,3,8,13,2,7,12,1,6,11]",regular_jump,,0.0002763091160886688,0.16533087193965912,581433216.0,579946752.0,19.0,14.0,4.0,1.0,0.9880916206107233,0.532317540066909,0.07686066986881045,0.0,0.2315789473684211,18,False,True,PASS_ODB_EXTRACTED,0.2315789473684211,0.052631578947368474,0.3157894736842105,0.8421052631578947,1.0,18
16,N16_A08_block_interleaved_quarters,probe60_run08,"[0,4,8,12,1,5,9,13,2,6,10,14,3,7,11,15]",block_interleaved,,0.00016068820355030766,0.1505546271800995,582573376.0,579948160.0,12.0,4.0,14.0,13.5,0.4918902145196076,0.05326972547977633,0.2411011441056892,0.88,0.49078947368421055,11,False,True,PASS_ODB_EXTRACTED,0.49078947368421055,0.42105263157894735,0.8421052631578947,0.3157894736842105,0.3421052631578947,11
16,N16_A09_center_edge_alternating,probe60_run08,"[7,0,8,15,6,1,9,14,5,2,10,13,4,3,11,12]",center_edge,,0.00021473178685482708,0.17430327832698822,580899648.0,579946944.0,16.0,17.0,1.0,4.5,0.7238249176556653,0.8232041449775963,0.0,0.12,0.30921052631578955,15,False,True,PASS_ODB_EXTRACTED,0.30921052631578955,0.21052631578947367,0.1578947368421053,1.0,0.8157894736842105,15
16,N16_A10_graph_pointer_policy_zero_shot_or_proxy_best,probe60_run08,"[0,15,2,7,4,11,6,3,8,5,10,9,12,13,14,1]",graph_pointer_proxy,,0.0001204781697197177,0.1701684147119522,581290304.0,579948096.0,10.0,16.0,2.0,12.0,0.31932389509110265,0.6891513182526359,0.05627414284265551,0.84,0.5000000000000001,10,False,True,PASS_ODB_EXTRACTED,0.5000000000000001,0.5263157894736843,0.21052631578947367,0.9473684210526316,0.42105263157894735,10
16,N16_A11_graph_pointer_policy_diverse_01,probe60_run08,"[0,5,15,10,1,14,4,2,9,13,3,12,8,11,7,6]",graph_pointer_proxy,,0.00018299555517842236,0.17434175312519073,582880128.0,579946944.0,14.0,18.0,15.0,4.5,0.5876249652755918,0.8244515030374763,0.28528888438171274,0.12,0.29342105263157897,16,False,True,PASS_ODB_EXTRACTED,0.29342105263157897,0.3157894736842105,0.10526315789473684,0.26315789473684215,0.8157894736842105,16
16,N16_A12_graph_pointer_policy_diverse_02,probe60_run08,"[9,5,10,4,11,3,12,2,13,1,14,0,15,7,8,6]",graph_pointer_proxy,,0.00023973382963049517,0.16137175261974335,581517248.0,579946816.0,17.0,10.0,6.0,2.5,0.8311242678170869,0.40396236669524993,0.08896551088329384,0.04,0.3276315789473685,14,False,True,PASS_ODB_EXTRACTED,0.3276315789473685,0.1578947368421053,0.5263157894736843,0.736842105263158,0.9210526315789473,14
16,N16_A13_graph_pointer_policy_anti_odd_even_novelty,probe60_run08,"[1,14,3,12,5,10,7,8,9,6,11,4,13,2,15,0]",graph_pointer_proxy,,0.00011749031591534731,0.15198101103305817,581337280.0,579948288.0,9.0,6.0,3.0,16.5,0.3065011519871561,0.0995132791458834,0.06304105320414127,0.96,0.6223684210526316,7,False,True,PASS_ODB_EXTRACTED,0.6223684210526316,0.5789473684210527,0.736842105263158,0.8947368421052632,0.1842105263157895,7
16,N16_A14_graph_pointer_policy_u2first_proxy,probe60_run08,"[0,7,2,8,4,6,9,5,10,12,14,11,1,3,13,15]",graph_pointer_proxy,,0.00015728273911008728,0.1641508787870407,582433856.0,579947264.0,11.0,12.0,13.0,7.0,0.4772752438665262,0.49406200557977753,0.22100323594759794,0.32,0.4631578947368421,12,False,False,PASS_ODB_EXTRACTED,0.4631578947368421,0.4736842105263158,0.42105263157894735,0.368421052631579,0.6842105263157895,12
16,N16_A15_graph_pointer_policy_balanced_dispersion_proxy,probe60_run08,"[0,7,15,8,6,11,9,3,5,10,4,13,1,2,12,14]",graph_pointer_proxy,,0.0001736121434987581,0.16458375751972198,582198912.0,579947904.0,13.0,13.0,12.0,10.0,0.5473548967632333,0.5080959914974819,0.18715946491624336,0.72,0.38157894736842113,13,False,False,PASS_ODB_EXTRACTED,0.38157894736842113,0.368421052631579,0.368421052631579,0.42105263157894735,0.5263157894736843,13
24,N24_A01_raster_left_to_right,probe60_run08,"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23]",raster,,0.0005523721708868834,0.18925029039382935,587159872.0,579944256.0,17.0,20.0,17.0,11.5,0.8698657356733678,1.0,0.6344433535155185,0.71875,0.14078947368421058,19,False,False,PASS_ODB_EXTRACTED,0.14078947368421058,0.1578947368421053,0.0,0.1578947368421053,0.4473684210526315,19
24,N24_A02_odd_even_interlaced,probe60_run08,"[0,2,4,6,8,10,12,14,16,18,20,22,1,3,5,7,9,11,13,15,17,19,21,23]",odd_even,,8.360300034837564e-05,0.15498611330986023,586226112.0,579943936.0,5.0,5.0,15.0,7.0,0.0480222335686336,0.03671164104173204,0.5349642720776742,0.5625,0.7315789473684211,6,False,True,PASS_ODB_EXTRACTED,0.7315789473684211,0.7894736842105263,0.7894736842105263,0.26315789473684215,0.6842105263157895,6
24,N24_A03_greedy_maximin_distance,probe60_run08,"[0,23,11,17,5,8,14,20,2,1,3,4,6,7,9,10,12,13,15,16,18,19,21,22]",maximin,,0.0002935029126547306,0.16460579633712769,584637632.0,579944576.0,12.0,14.0,12.0,14.5,0.4160175921865287,0.3071552782645452,0.36573392243495334,0.875,0.393421052631579,13,False,False,PASS_ODB_EXTRACTED,0.393421052631579,0.42105263157894735,0.3157894736842105,0.42105263157894735,0.2894736842105263,13
