dataset_source,n,strategy_name,handoff_strategy_name,job_name,candidate_id,candidate_family,selection_bucket,predicted_reward_mean_all,predicted_rank_within_n,predicted_uncertainty_std,novelty_distance_to_teacher,nearest_existing_teacher_strategy,order_json,u2_range,peeq_max,surface_t_proxy,surface_t_proxy_mpa,mises_max,teacher_validation_status,final_step,final_frame_time,extracted_fields,previous_reward_mean_all,u2_rank_combined80_within_n,u2_score_combined80_rank,u2_cost_minmax_combined80_within_n,peeq_rank_combined80_within_n,peeq_score_combined80_rank,peeq_cost_minmax_combined80_within_n,surfaceT_rank_combined80_within_n,surfaceT_score_combined80_rank,surfaceT_cost_minmax_combined80_within_n,mises_rank_combined80_within_n,mises_score_combined80_rank,mises_cost_minmax_combined80_within_n,reward_combined80_u2_primary,combined80_constrained_rank_within_n,combined80_pareto_flag_u2_peeq,combined80_pareto_flag_u2_peeq_surfaceT_mises,is_new_best_u2_within_n,is_new_best_peeq_within_n,is_new_best_surfaceT_within_n,is_new_best_combined_reward_within_n,original_run12_candidate_id,u2_rank_batch20_within_n,u2_cost_minmax_batch20_within_n,u2_score_batch20_rank,peeq_rank_batch20_within_n,peeq_cost_minmax_batch20_within_n,peeq_score_batch20_rank,surfaceT_rank_batch20_within_n,surfaceT_cost_minmax_batch20_within_n,surfaceT_score_batch20_rank,mises_rank_batch20_within_n,mises_cost_minmax_batch20_within_n,mises_score_batch20_rank,reward_batch20_u2_primary,batch20_constrained_rank_within_n,batch20_pareto_flag_u2_peeq,batch20_pareto_flag_u2_peeq_surfaceT_mises
probe60_run08,12,N12_A11_graph_pointer_policy_diverse_01,,J2D_N12_N12_A11_graph_pointer_policy_diverse_01,N12_A11,graph_pointer_proxy,,nan,nan,nan,nan,,"[0,5,11,10,1,3,8,2,9,6,4,7]",7.328880428758566e-05,0.1638757288455963,582071168.0,582.071168,579939392.0,PASS_ODB_EXTRACTED,step_final_cooling,1200.0,,0.4985714285714285,10.0,0.5263157894736843,0.3698876151255084,17.0,0.1578947368421053,0.6728821019812711,11.0,0.4736842105263158,0.2546104024522891,12.0,0.42105263157894735,0.88,0.44210526315789483,12,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
probe60_run08,12,N12_A12_graph_pointer_policy_diverse_02,,J2D_N12_N12_A12_graph_pointer_policy_diverse_02,N12_A12,graph_pointer_proxy,,nan,nan,nan,nan,,"[4,7,3,8,2,9,1,10,0,11,5,6]",0.00013954683527117595,0.16334585845470428,581337984.0,581.337984,579938048.0,PASS_ODB_EXTRACTED,step_final_cooling,1200.0,,0.1407142857142857,19.0,0.052631578947368474,0.8606806894276917,16.0,0.21052631578947367,0.6577448024731195,6.0,0.736842105263158,0.11301048155839019,2.5,0.9210526315789473,0.04,0.19605263157894742,19,False,True,False,False,False,False,,,,,,,,,,,,,,,,,
probe60_run08,12,N12_A13_graph_pointer_policy_anti_odd_even_novelty,,J2D_N12_N12_A13_graph_pointer_policy_anti_odd_even_novelty,N12_A13,graph_pointer_proxy,,nan,nan,nan,nan,,"[1,10,3,8,5,6,7,4,9,2,11,0]",7.77201084929402e-05,0.14032196998596191,581967424.0,581.967424,579939328.0,PASS_ODB_EXTRACTED,step_final_cooling,1200.0,,0.6428571428571428,11.0,0.4736842105263158,0.40271161218411067,1.0,1.0,0.0,10.0,0.5263157894736843,0.2345743102936814,11.0,0.4736842105263158,0.84,0.5842105263157895,8,True,True,False,False,False,False,,,,,,,,,,,,,,,,,
probe60_run08,12,N12_A14_graph_pointer_policy_u2first_proxy,,J2D_N12_N12_A14_graph_pointer_policy_u2first_proxy,N12_A14,graph_pointer_proxy,,nan,nan,nan,nan,,"[0,5,2,6,4,7,8,3,10,1,9,11]",0.00010109988033946138,0.15888875722885132,581829312.0,581.829312,579938368.0,PASS_ODB_EXTRACTED,step_final_cooling,1200.0,,0.42142857142857143,15.0,0.26315789473684215,0.5758925825615675,12.0,0.42105263157894735,0.530414652773107,8.0,0.631578947368421,0.20790072184317215,8.5,0.6052631578947368,0.24,0.34868421052631576,14,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
probe60_run08,12,N12_A15_graph_pointer_policy_balanced_dispersion_proxy,,J2D_N12_N12_A15_graph_pointer_policy_balanced_dispersion_proxy,N12_A15,graph_pointer_proxy,,nan,nan,nan,nan,,"[0,5,11,6,4,8,7,2,3,1,9,10]",9.216308080794988e-05,0.1593673974275589,581069312.0,581.069312,579938240.0,PASS_ODB_EXTRACTED,step_final_cooling,1200.0,,0.47857142857142854,14.0,0.3157894736842105,0.5096950325984676,13.0,0.368421052631579,0.5440884118074256,4.0,0.8421052631578947,0.06112182339562939,4.0,0.8421052631578947,0.16,0.4052631578947368,13,False,True,False,False,False,False,,,,,,,,,,,,,,,,,
probe60_run08,16,N16_A01_raster_left_to_right,,J2D_N16_N16_A01_raster_left_to_right,N16_A01,raster,,nan,nan,nan,nan,,"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15]",0.00024349282352886803,0.17520761489868164,587841664.0,587.841664,579948288.0,PASS_ODB_EXTRACTED,step_final_cooling,1200.0,,0.09214285714285717,18.0,0.10526315789473684,0.847256453741858,19.0,0.052631578947368474,0.8525228565562386,20.0,0.0,1.0,16.5,0.1842105263157895,0.96,0.08815789473684213,20,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
probe60_run08,16,N16_A02_odd_even_interlaced,,J2D_N16_N16_A02_odd_even_interlaced,N16_A02,odd_even,,nan,nan,nan,nan,,"[0,2,4,6,8,10,12,14,1,3,5,7,9,11,13,15]",4.9715717977960594e-05,0.15370793640613556,585719808.0,585.719808,579947520.0,PASS_ODB_EXTRACTED,step_final_cooling,1200.0,,0.79,4.0,0.8421052631578947,0.01563810605994577,8.0,0.631578947368421,0.15550042874913947,19.0,0.052631578947368474,0.6943458499663498,8.0,0.631578947368421,0.48,0.7105263157894738,6,False,True,False,False,False,False,,,,,,,,,,,,,,,,,
probe60_run08,16,N16_A03_greedy_maximin_distance,,J2D_N16_N16_A03_greedy_maximin_distance,N16_A03,maximin,,nan,nan,nan,nan,,"[0,15,7,11,3,5,9,13,1,2,4,6,8,10,12,14]",4.607185064742225e-05,0.1532730907201767,582927360.0,582.92736,579948160.0,PASS_ODB_EXTRACTED,step_final_cooling,1200.0,,0.8614285714285714,1.0,1.0,0.0,7.0,0.6842105263157895,0.1414026739453375,16.0,0.21052631578947367,0.29209267163890146,13.5,0.3421052631578947,0.88,0.825,2,True,True,False,False,False,False,,,,,,,,,,,,,,,,,
probe60_run08,16,N16_A04_method_c_u2_first_engineering,,J2D_N16_N16_A04_method_c_u2_first_engineering,N16_A04,method_c,,nan,nan,nan,nan,,"[0,2,4,6,8,10,12,14,7,5,3,1,9,11,13,15]",5.043179316999158e-05,0.15182757377624512,581727104.0,581.727104,579948352.0,PASS_ODB_EXTRACTED,step_final_cooling,1200.0,,0.85,5.0,0.7894736842105263,0.018711231062612146,5.0,0.7894736842105263,0.09453882293264411,8.0,0.631578947368421,0.1191953461357623,19.5,0.02631578947368418,1.0,0.7355263157894737,5,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
probe60_run08,16,N16_A05_center_out,,J2D_N16_N16_A05_center_out,N16_A05,center_out,,nan,nan,nan,nan,,"[7,8,6,9,5,10,4,11,3,12,2,13,1,14,0,15]",0.00027908391211894923,0.16641919314861298,582182080.0,582.18208,579946816.0,PASS_ODB_EXTRACTED,step_final_cooling,1200.0,,0.09357142857142857,20.0,0.0,1.0,15.0,0.26315789473684215,0.5676010579837921,11.0,0.4736842105263158,0.18473480902377637,2.5,0.9210526315789473,0.04,0.14605263157894738,19,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
