check,status,details
scan_order_json_matches:PPOV02K2_N40_B02_top_reward,PASS,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v02_targeted_N24_N40\stageK2_n40_completion\selected_batch32_K2\scan_orders\scan_order_PPOV02K2_N40_B02_top_reward.json; json_exists=True; json_match=True; legal=True
scan_order_json_matches:PPOV02K2_N40_B03_top_reward,PASS,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v02_targeted_N24_N40\stageK2_n40_completion\selected_batch32_K2\scan_orders\scan_order_PPOV02K2_N40_B03_top_reward.json; json_exists=True; json_match=True; legal=True
scan_order_json_matches:PPOV02K2_N40_B04_top_reward,PASS,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v02_targeted_N24_N40\stageK2_n40_completion\selected_batch32_K2\scan_orders\scan_order_PPOV02K2_N40_B04_top_reward.json; json_exists=True; json_match=True; legal=True
scan_order_json_matches:PPOV02K2_N40_B05_top_reward,PASS,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v02_targeted_N24_N40\stageK2_n40_completion\selected_batch32_K2\scan_orders\scan_order_PPOV02K2_N40_B05_top_reward.json; json_exists=True; json_match=True; legal=True
scan_order_json_matches:PPOV02K2_N40_B06_top_reward,PASS,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v02_targeted_N24_N40\stageK2_n40_completion\selected_batch32_K2\scan_orders\scan_order_PPOV02K2_N40_B06_top_reward.json; json_exists=True; json_match=True; legal=True
scan_order_json_matches:PPOV02K2_N40_B07_top_reward,PASS,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v02_targeted_N24_N40\stageK2_n40_completion\selected_batch32_K2\scan_orders\scan_order_PPOV02K2_N40_B07_top_reward.json; json_exists=True; json_match=True; legal=True
scan_order_json_matches:PPOV02K2_N40_B08_top_reward,PASS,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v02_targeted_N24_N40\stageK2_n40_completion\selected_batch32_K2\scan_orders\scan_order_PPOV02K2_N40_B08_top_reward.json; json_exists=True; json_match=True; legal=True
scan_order_json_matches:PPOV02K2_N40_B09_diverse_tophalf,PASS,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v02_targeted_N24_N40\stageK2_n40_completion\selected_batch32_K2\scan_orders\scan_order_PPOV02K2_N40_B09_diverse_tophalf.json; json_exists=True; json_match=True; legal=True
scan_order_json_matches:PPOV02K2_N40_B10_diverse_tophalf,PASS,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v02_targeted_N24_N40\stageK2_n40_completion\selected_batch32_K2\scan_orders\scan_order_PPOV02K2_N40_B10_diverse_tophalf.json; json_exists=True; json_match=True; legal=True
scan_order_json_matches:PPOV02K2_N40_B11_diverse_tophalf,PASS,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v02_targeted_N24_N40\stageK2_n40_completion\selected_batch32_K2\scan_orders\scan_order_PPOV02K2_N40_B11_diverse_tophalf.json; json_exists=True; json_match=True; legal=True
scan_order_json_matches:PPOV02K2_N40_B12_diverse_tophalf,PASS,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v02_targeted_N24_N40\stageK2_n40_completion\selected_batch32_K2\scan_orders\scan_order_PPOV02K2_N40_B12_diverse_tophalf.json; json_exists=True; json_match=True; legal=True
scan_order_json_matches:PPOV02K2_N40_B13_diverse_tophalf,PASS,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v02_targeted_N24_N40\stageK2_n40_completion\selected_batch32_K2\scan_orders\scan_order_PPOV02K2_N40_B13_diverse_tophalf.json; json_exists=True; json_match=True; legal=True
scan_order_json_matches:PPOV02K2_N40_B14_novelty_tophalf,PASS,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v02_targeted_N24_N40\stageK2_n40_completion\selected_batch32_K2\scan_orders\scan_order_PPOV02K2_N40_B14_novelty_tophalf.json; json_exists=True; json_match=True; legal=True
scan_order_json_matches:PPOV02K2_N40_B15_novelty_tophalf,PASS,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v02_targeted_N24_N40\stageK2_n40_completion\selected_batch32_K2\scan_orders\scan_order_PPOV02K2_N40_B15_novelty_tophalf.json; json_exists=True; json_match=True; legal=True
scan_order_json_matches:PPOV02K2_N40_B16_novelty_tophalf,PASS,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v02_targeted_N24_N40\stageK2_n40_completion\selected_batch32_K2\scan_orders\scan_order_PPOV02K2_N40_B16_novelty_tophalf.json; json_exists=True; json_match=True; legal=True
base_cae_exists_N24,PASS,E:\Projects\RL-LAM-ScanOpt\cae_model\24track_full\sanity_base\24track_sanity_base.cae
base_cae_exists_N40,PASS,E:\Projects\RL-LAM-ScanOpt\cae_model\40track_full\sanity_base\40track_sanity_base.cae
case_root_no_active_lck,PASS,
case_root_no_solver_outputs,PASS,
case_root_existing_generation_files,PASS,existing CAE/INP/JNL count=0
