comparison,n,metric,combined432_best_strategy,combined432_best_value,run66_best_strategy,run66_best_value,run66_beats_baseline,absolute_improvement,relative_improvement_pct,combined480_new_best_strategy,combined480_new_best_source
Run66_vs_combined432,12,U2,S3B20_N12_B02_diversity_top,2.3353248252533376e-05,S3R64VNR_N12_B06_n12_anchor_top,2.3353248252533376e-05,False,0.0,0.0,S3B20_N12_B02_diversity_top,batch20_run14
Run66_vs_combined432,12,PEEQ,N12_A13_graph_pointer_policy_anti_odd_even_novelty,0.1403219699859619,S3R64VNR_N12_B07_n12_anchor_top,0.1438055485486984,False,-0.0034835785627365112,-2.482561043780255,N12_A13_graph_pointer_policy_anti_odd_even_novelty,probe60_run08
Run66_vs_combined432,12,SurfaceT,N12_A09_center_edge_alternating,580752832.0,S3R64VNR_N12_B11_n12_u2_safe,580957120.0,False,-204288.0,-0.03517641046991916,N12_A09_center_edge_alternating,probe60_run08
Run66_vs_combined432,12,Mises,N12_A06_edge_in_alternating,579937984.0,S3R64VNR_N12_B01_n12_diversity,579938432.0,False,-448.0,-7.724963916141765e-05,N12_A06_edge_in_alternating,probe60_run08
Run66_vs_combined432,12,u2_primary,S3B20_N12_B02_diversity_top,0.8531914893617021,S3R64VNR_N12_B05_n12_anchor_local,0.8643617021276595,True,0.011170212765957421,1.3092269326683261,S3R64VNR_N12_B05_n12_anchor_local,run66_variable_N_recovery_anchor_batch48
Run66_vs_combined432,12,constrained_u2_reward_balanced,S3R19B28_N12_B01_surrogate_top,0.7946808510638298,S3R64VNR_N12_B05_n12_anchor_local,0.8234042553191488,True,0.02872340425531905,3.6144578313252893,S3R64VNR_N12_B05_n12_anchor_local,run66_variable_N_recovery_anchor_batch48
Run66_vs_combined432,12,strict_penalty_guard,S3R19B28_N12_B01_surrogate_top,0.7936170212765957,S3R64VNR_N12_B05_n12_anchor_local,0.8095744680851064,True,0.015957446808510634,2.010723860589812,S3R64VNR_N12_B05_n12_anchor_local,run66_variable_N_recovery_anchor_batch48
Run66_vs_combined432,12,penalty_repair,S3R19B28_N12_B01_surrogate_top,0.7904255319148935,S3R64VNR_N12_B12_n12_uncertainty,0.7904255319148935,False,0.0,0.0,S3R64VNR_N12_B12_n12_uncertainty,run66_variable_N_recovery_anchor_batch48
Run66_vs_combined432,16,U2,S3R24L64_N16_B02_top_region,4.0733349123911466e-05,S3R64VNR_N16_B06_n16_anchor_top,3.5666283110913355e-05,True,5.0670660129981115e-06,12.439600774255071,S3R64VNR_N16_B06_n16_anchor_top,run66_variable_N_recovery_anchor_batch48
Run66_vs_combined432,16,PEEQ,S3B20_N16_B04_surrogate_top,0.1489115208387375,S3R64VNR_N16_B02_n16_penalty,0.1477783918380737,True,0.001133129000663785,0.7609411241531122,S3R64VNR_N16_B02_n16_penalty,run66_variable_N_recovery_anchor_batch48
Run66_vs_combined432,16,SurfaceT,N16_A09_center_edge_alternating,580899648.0,S3R64VNR_N16_B12_n16_uncertainty,581026496.0,False,-126848.0,-0.021836473896434516,N16_A09_center_edge_alternating,probe60_run08
Run66_vs_combined432,16,Mises,N16_A07_regular_jump_coprime,579946752.0,S3R64VNR_N16_B10_n16_u2_safe,579947520.0,False,-768.0,-0.0001324259507190067,N16_A07_regular_jump_coprime,probe60_run08
Run66_vs_combined432,16,u2_primary,S3R24L64_N16_B02_top_region,0.7984042553191489,S3R64VNR_N16_B12_n16_uncertainty,0.9367021276595746,True,0.13829787234042568,17.32178547634912,S3R64VNR_N16_B12_n16_uncertainty,run66_variable_N_recovery_anchor_batch48
Run66_vs_combined432,16,constrained_u2_reward_balanced,S3B20_N16_B04_surrogate_top,0.7531914893617021,S3R64VNR_N16_B12_n16_uncertainty,0.924468085106383,True,0.1712765957446809,22.74011299435029,S3R64VNR_N16_B12_n16_uncertainty,run66_variable_N_recovery_anchor_batch48
Run66_vs_combined432,16,strict_penalty_guard,S3B20_N16_B04_surrogate_top,0.7670212765957447,S3R64VNR_N16_B12_n16_uncertainty,0.9223404255319149,True,0.15531914893617016,20.24965325936199,S3R64VNR_N16_B12_n16_uncertainty,run66_variable_N_recovery_anchor_batch48
Run66_vs_combined432,16,penalty_repair,S3B20_N16_B04_surrogate_top,0.7515957446808511,S3R64VNR_N16_B12_n16_uncertainty,0.9132978723404255,True,0.16170212765957437,21.514508138711946,S3R64VNR_N16_B12_n16_uncertainty,run66_variable_N_recovery_anchor_batch48
Run66_vs_combined432,24,U2,S3R49SCN_N24_B09_median_guard,2.9523077955673216e-05,S3R64VNR_N24_B07_n24_uncertainty,4.171763998783717e-05,False,-1.2194562032163951e-05,-41.305185219756595,S3R49SCN_N24_B09_median_guard,run51_stricter_constrained_N24_N40_batch32
Run66_vs_combined432,24,PEEQ,S3R59N40PR40_N24_B09_n24_diversity,0.1492166519165039,S3R64VNR_N24_B01_n24_diversity,0.1511800736188888,False,-0.0019634217023848932,-1.3158194324608967,S3R59N40PR40_N24_B09_n24_diversity,run61_custom_N40_focused_batch40
Run66_vs_combined432,24,SurfaceT,S3R24L64_N24_B06_model_disagreement,580875968.0,S3R64VNR_N24_B08_n24_uncertainty,581858048.0,False,-982080.0,-0.16906879507881448,S3R24L64_N24_B06_model_disagreement,shortlist64_run27
Run66_vs_combined432,24,Mises,N24_A06_edge_in_alternating,579942784.0,S3R64VNR_N24_B04_n24_frozen_ref,579943552.0,False,-768.0,-0.0001324268567845479,N24_A06_edge_in_alternating,probe60_run08
Run66_vs_combined432,24,u2_primary,S3R44CNS_N24_B16_uncertainty,0.8718579234972679,S3R64VNR_N24_B07_n24_uncertainty,0.7862021857923498,False,-0.08565573770491808,-9.824506424318399,S3R44CNS_N24_B16_uncertainty,run46_constrained_N24_N40_batch32
Run66_vs_combined432,24,constrained_u2_reward_balanced,S3R44CNS_N24_B16_uncertainty,0.8573770491803279,S3R64VNR_N24_B04_n24_frozen_ref,0.7546448087431694,False,-0.10273224043715845,-11.982154238368386,S3R44CNS_N24_B16_uncertainty,run46_constrained_N24_N40_batch32
Run66_vs_combined432,24,strict_penalty_guard,S3R44CNS_N24_B16_uncertainty,0.8530054644808744,S3R64VNR_N24_B04_n24_frozen_ref,0.7308743169398907,False,-0.12213114754098375,-14.31774503523384,S3R44CNS_N24_B16_uncertainty,run46_constrained_N24_N40_batch32
Run66_vs_combined432,24,penalty_repair,S3R44CNS_N24_B16_uncertainty,0.8385245901639344,S3R64VNR_N24_B08_n24_uncertainty,0.7260928961748633,False,-0.11243169398907116,-13.408276311502132,S3R44CNS_N24_B16_uncertainty,run46_constrained_N24_N40_batch32
Run66_vs_combined432,40,U2,S3R59N40PR40_N40_B17_n40_two_stage,5.130235695105512e-05,S3R64VNR_N40_B15_n40_u2ret_anchor,4.5779268475598656e-05,True,5.523088475456461e-06,10.765759711051384,S3R64VNR_N40_B15_n40_u2ret_anchor,run66_variable_N_recovery_anchor_batch48
Run66_vs_combined432,40,PEEQ,S3R39N2440B60_N40_B10_surrogate_top,0.1440253555774688,S3R64VNR_N40_B12_n40_u2ret_anchor,0.1525734812021255,False,-0.008548125624656705,-5.935153286296741,S3R39N2440B60_N40_B10_surrogate_top,run41_native_N24_N40_focused_batch60
Run66_vs_combined432,40,SurfaceT,S3R19B28_N40_B06_uncertainty_calibration,581119040.0,S3R64VNR_N40_B07_n40_penalty_anchor,581830016.0,False,-710976.0,-0.12234601709143793,S3R19B28_N40_B06_uncertainty_calibration,batch28_run20
Run66_vs_combined432,40,Mises,N40_A07_regular_jump_coprime,579924032.0,S3R64VNR_N40_B16_n40_u2ret_anchor,579926336.0,False,-2304.0,-0.00039729341652804616,N40_A07_regular_jump_coprime,probe60_run08
Run66_vs_combined432,40,u2_primary,S3R59N40PR40_N40_B17_n40_two_stage,0.9141959798994975,S3R64VNR_N40_B03_n40_penalty_anchor,0.9404522613065326,True,0.026256281407035065,2.8720626631853663,S3R64VNR_N40_B03_n40_penalty_anchor,run66_variable_N_recovery_anchor_batch48
Run66_vs_combined432,40,constrained_u2_reward_balanced,S3R59N40PR40_N40_B17_n40_two_stage,0.8645728643216081,S3R64VNR_N40_B03_n40_penalty_anchor,0.9108040201005025,True,0.04623115577889447,5.347282766637605,S3R64VNR_N40_B03_n40_penalty_anchor,run66_variable_N_recovery_anchor_batch48
Run66_vs_combined432,40,strict_penalty_guard,S3R59N40PR40_N40_B17_n40_two_stage,0.8525125628140704,S3R64VNR_N40_B03_n40_penalty_anchor,0.8999999999999999,True,0.047487437185929515,5.570291777188313,S3R64VNR_N40_B03_n40_penalty_anchor,run66_variable_N_recovery_anchor_batch48
Run66_vs_combined432,40,penalty_repair,S3R54CAL64_N40_B11_penalty_repair,0.8374371859296481,S3R64VNR_N40_B03_n40_penalty_anchor,0.8773869346733668,True,0.039949748743718705,4.770477047704785,S3R64VNR_N40_B03_n40_penalty_anchor,run66_variable_N_recovery_anchor_batch48
