record_set,dataset_source,n,count,best_U2_strategy,best_U2_value,best_PEEQ_strategy,best_PEEQ_value,best_SurfaceT_strategy,best_SurfaceT_value,best_Mises_strategy,best_Mises_value,best_target_reward_combined480_u2_primary_strategy,best_target_reward_combined480_u2_primary_value,best_target_reward_combined480_constrained_u2_reward_balanced_strategy,best_target_reward_combined480_constrained_u2_reward_balanced_value,best_target_reward_combined480_strict_penalty_guard_strategy,best_target_reward_combined480_strict_penalty_guard_value,best_target_reward_combined480_penalty_repair_strategy,best_target_reward_combined480_penalty_repair_value,top5_reward_entries_in_combined480,top10_reward_entries_in_combined480
Run46,run46_constrained_N24_N40_batch32,24,16,S3R44CNS_N24_B14_hybrid_disagree,3.166340729876538e-05,S3R44CNS_N24_B16_uncertainty,0.1528085321187973,S3R44CNS_N24_B07_surfacet_guarded,581497728.0,S3R44CNS_N24_B03_constr_surrogate,579943360.0,S3R44CNS_N24_B16_uncertainty,0.8718579234972679,S3R44CNS_N24_B16_uncertainty,0.8573770491803279,S3R44CNS_N24_B16_uncertainty,0.8530054644808744,S3R44CNS_N24_B16_uncertainty,0.8385245901639344,1,2
Run41,run41_native_N24_N40_focused_batch60,24,30,S3R39N2440B60_N24_B08_n24_u2_near,3.7988751273587695e-05,S3R39N2440B60_N24_B12_surrogate_top,0.1496064215898513,S3R39N2440B60_N24_B17_diversity,581337792.0,S3R39N2440B60_N24_B17_diversity,579942848.0,S3R39N2440B60_N24_B07_n24_u2_near,0.7639344262295082,S3R39N2440B60_N24_B07_n24_u2_near,0.7210382513661202,S3R39N2440B60_N24_B07_n24_u2_near,0.7185792349726776,S3R39N2440B60_N24_B15_surrogate_top,0.6846994535519126,0,0
Run36,run36_N32_informed_native_batch32,24,12,S3R34N32INF_N24_B10_n24_calibration,3.273940910730744e-05,S3R34N32INF_N24_B02_surrogate_top,0.1497802585363388,S3R34N32INF_N24_B01_graph_pointer,581126080.0,S3R34N32INF_N24_B05_uncertainty,579943296.0,S3R34N32INF_N24_B10_n24_calibration,0.7831967213114756,S3R34N32INF_N24_B11_n24_calibration,0.7207650273224044,S3R34N32INF_N24_B01_graph_pointer,0.6836065573770491,S3R34N32INF_N24_B01_graph_pointer,0.6898907103825136,0,0
Run27,shortlist64_run27,24,24,S3R24L64_N24_B20_tradeoff_probe,5.346994021238061e-05,S3R24L64_N24_B22_sentinel_control,0.1525747328996658,S3R24L64_N24_B06_model_disagreement,580875968.0,S3R24L64_N24_B18_tradeoff_probe,579943168.0,S3R24L64_N24_B03_top_region,0.6669398907103825,S3R24L64_N24_B07_model_disagreement,0.6584699453551912,S3R24L64_N24_B07_model_disagreement,0.6890710382513662,S3R24L64_N24_B11_uncertainty_calibration,0.7028688524590164,0,0
Run66,run66_variable_N_recovery_anchor_batch48,40,16,S3R64VNR_N40_B15_n40_u2ret_anchor,4.5779268475598656e-05,S3R64VNR_N40_B12_n40_u2ret_anchor,0.1525734812021255,S3R64VNR_N40_B07_n40_penalty_anchor,581830016.0,S3R64VNR_N40_B16_n40_u2ret_anchor,579926336.0,S3R64VNR_N40_B03_n40_penalty_anchor,0.9404522613065326,S3R64VNR_N40_B03_n40_penalty_anchor,0.9108040201005025,S3R64VNR_N40_B03_n40_penalty_anchor,0.8999999999999999,S3R64VNR_N40_B03_n40_penalty_anchor,0.8773869346733668,4,7
Run61,run61_custom_N40_focused_batch40,40,24,S3R59N40PR40_N40_B17_n40_two_stage,5.130235695105512e-05,S3R59N40PR40_N40_B06_n40_no_median,0.1516209989786148,S3R59N40PR40_N40_B09_n40_penalty_repair,582004416.0,S3R59N40PR40_N40_B02_n40_peeq_repair,579926528.0,S3R59N40PR40_N40_B17_n40_two_stage,0.9141959798994975,S3R59N40PR40_N40_B17_n40_two_stage,0.8645728643216081,S3R59N40PR40_N40_B17_n40_two_stage,0.8525125628140704,S3R59N40PR40_N40_B08_n40_penalty_repair,0.8369346733668341,1,2
Run56,run56_calibrated_N24_N40_batch64,40,32,S3R54CAL64_N40_B12_penalty_repair,5.201993008085992e-05,S3R54CAL64_N40_B32_diversity,0.1480723470449447,S3R54CAL64_N40_B14_penalty_repair,582003392.0,S3R54CAL64_N40_B21_median_guard,579925888.0,S3R54CAL64_N40_B11_penalty_repair,0.8680904522613067,S3R54CAL64_N40_B11_penalty_repair,0.853391959798995,S3R54CAL64_N40_B11_penalty_repair,0.8520100502512563,S3R54CAL64_N40_B11_penalty_repair,0.8374371859296481,0,1
Run51,run51_stricter_constrained_N24_N40_batch32,40,16,S3R49SCN_N40_B04_strict_guard,6.170961933094077e-05,S3R49SCN_N40_B09_median_guard,0.1534324586391449,S3R49SCN_N40_B05_two_stage,581980672.0,S3R49SCN_N40_B11_peeq_repair,579926528.0,S3R49SCN_N40_B09_median_guard,0.8216080402010051,S3R49SCN_N40_B09_median_guard,0.8100502512562813,S3R49SCN_N40_B09_median_guard,0.8095477386934673,S3R49SCN_N40_B09_median_guard,0.800753768844221,0,0
Run46,run46_constrained_N24_N40_batch32,40,16,S3R44CNS_N40_B01_reward_balanced,5.7689914683578536e-05,S3R44CNS_N40_B08_surfacet_guarded,0.1534235626459121,S3R44CNS_N40_B05_peeq_guarded,581921728.0,S3R44CNS_N40_B04_constr_surrogate,579926528.0,S3R44CNS_N40_B05_peeq_guarded,0.8280150753768845,S3R44CNS_N40_B05_peeq_guarded,0.778643216080402,S3R44CNS_N40_B08_surfacet_guarded,0.7660804020100503,S3R44CNS_N40_B08_surfacet_guarded,0.7428391959798996,0,0
Run41,run41_native_N24_N40_focused_batch60,40,30,S3R39N2440B60_N40_B04_n40_u2_near,6.792713247705251e-05,S3R39N2440B60_N40_B10_surrogate_top,0.1440253555774688,S3R39N2440B60_N40_B01_n40_u2_near,581616832.0,S3R39N2440B60_N40_B25_diversity,579924352.0,S3R39N2440B60_N40_B04_n40_u2_near,0.8030150753768844,S3R39N2440B60_N40_B04_n40_u2_near,0.778391959798995,S3R39N2440B60_N40_B02_n40_u2_near,0.7846733668341709,S3R39N2440B60_N40_B02_n40_u2_near,0.7865577889447235,0,0
Run36,run36_N32_informed_native_batch32,40,12,S3R34N32INF_N40_B08_n40_best_near,5.696606240235269e-05,S3R34N32INF_N40_B06_diversity,0.1472502499818802,S3R34N32INF_N40_B10_n40_best_near,581764736.0,S3R34N32INF_N40_B06_diversity,579925120.0,S3R34N32INF_N40_B08_n40_best_near,0.8087939698492462,S3R34N32INF_N40_B08_n40_best_near,0.7565326633165829,S3R34N32INF_N40_B10_n40_best_near,0.728391959798995,S3R34N32INF_N40_B10_n40_best_near,0.6971105527638192,0,0
Run27,shortlist64_run27,40,24,S3R24L64_N40_B23_exploitation_reference,5.95808796788333e-05,S3R24L64_N40_B24_exploitation_reference,0.1537862718105316,S3R24L64_N40_B01_top_region,581591424.0,S3R24L64_N40_B21_sentinel_control,579924800.0,S3R24L64_N40_B23_exploitation_reference,0.8305276381909548,S3R24L64_N40_B23_exploitation_reference,0.785427135678392,S3R24L64_N40_B23_exploitation_reference,0.7741206030150753,S3R24L64_N40_B23_exploitation_reference,0.7428391959798994,0,0
