n,order_json,order_compact,order_hash,ppo_checkpoint,ppo_seed,rollout_seed,ppo_generation_mode,predicted_reward,mean_pred_reward,std_pred_reward,conservative_reward,duplicate_vs_combined552_plus_v01_training,duplicate_vs_stageK_N40_selected,minimum_hamming_to_training_reference,minimum_hamming_to_stageK_N40,candidate_source,teacher_validated,abaqus_validated,mean_abs_jump,max_abs_jump,adjacent_fraction,parity_switch_fraction,early_center_bias,early_edge_bias,early_spread_proxy
40,"[37,35,29,20,24,26,30,25,23,19,17,13,11,9,5,3,1,7,2,0,4,6,8,10,14,16,18,12,15,21,22,28,32,38,36,34,33,31,27,39]","37,35,29,20,24,26,30,25,23,19,17,13,11,9,5,3,1,7,2,0,4,6,8,10,14,16,18,12,15,21,22,28,32,38,36,34,33,31,27,39",6a727a4b019215c2,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v02_targeted_N24_N40\stageK2_n40_completion\checkpoints\N40_seed20260624_maskable_ppo_v02_K2.zip,20260624,40521261,stochastic,0.5546898865414712,0.6513820862593782,0.06393132515731931,0.6194164236807186,False,False,32,32,PPO_v02K2_checkpoint_inference,False,False,3.641025641025641,12.0,0.05128205128205128,0.15384615384615385,0.37948717948717947,0.6205128205128205,0.46153846153846156
40,"[37,35,29,20,24,26,30,25,23,19,17,13,11,9,7,5,1,3,0,2,4,6,8,10,12,16,18,14,15,21,22,28,32,36,38,34,27,31,33,39]","37,35,29,20,24,26,30,25,23,19,17,13,11,9,7,5,1,3,0,2,4,6,8,10,12,16,18,14,15,21,22,28,32,36,38,34,27,31,33,39",6ef3341e209aaeb8,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v02_targeted_N24_N40\stageK2_n40_completion\checkpoints\N40_seed20260624_maskable_ppo_v02_K2.zip,20260624,40521262,stochastic,0.5541806240219092,0.6370250724681229,0.049785026588522706,0.6121325591738616,False,False,34,33,PPO_v02K2_checkpoint_inference,False,False,3.3333333333333335,9.0,0.05128205128205128,0.15384615384615385,0.37948717948717947,0.6205128205128205,0.46153846153846156
40,"[37,35,29,20,24,26,30,25,23,19,17,13,9,11,7,5,3,1,0,2,4,6,8,10,16,18,12,14,15,21,22,28,32,38,36,34,27,31,39,33]","37,35,29,20,24,26,30,25,23,19,17,13,9,11,7,5,3,1,0,2,4,6,8,10,16,18,12,14,15,21,22,28,32,38,36,34,27,31,39,33",6e363138b8981378,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v02_targeted_N24_N40\stageK2_n40_completion\checkpoints\N40_seed20260624_maskable_ppo_v02_K2.zip,20260624,40521263,stochastic,0.547649559859155,0.6318498477933749,0.051012515737951854,0.606343589924399,False,False,33,31,PPO_v02K2_checkpoint_inference,False,False,3.58974358974359,9.0,0.07692307692307693,0.15384615384615385,0.37948717948717947,0.6205128205128205,0.46153846153846156
40,"[37,29,35,30,24,20,26,23,25,19,17,13,11,9,7,5,3,1,6,0,2,4,8,10,14,16,18,12,15,21,22,28,32,34,38,36,31,27,33,39]","37,29,35,30,24,20,26,23,25,19,17,13,11,9,7,5,3,1,6,0,2,4,8,10,14,16,18,12,15,21,22,28,32,34,38,36,31,27,33,39",002c2a71871fdb1d,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v02_targeted_N24_N40\stageK2_n40_completion\checkpoints\N40_seed20260624_maskable_ppo_v02_K2.zip,20260624,40521264,stochastic,0.5196539514866979,0.6436849619540201,0.0765606426939772,0.6054046406070316,False,False,31,35,PPO_v02K2_checkpoint_inference,False,False,3.7948717948717947,8.0,0.02564102564102564,0.15384615384615385,0.37948717948717947,0.6205128205128205,0.46153846153846156
40,"[37,35,29,24,20,30,26,25,23,19,17,13,11,9,7,5,3,1,2,4,0,6,10,8,14,18,16,12,15,21,22,28,34,38,36,32,31,27,33,39]","37,35,29,24,20,30,26,25,23,19,17,13,11,9,7,5,3,1,2,4,0,6,10,8,14,18,16,12,15,21,22,28,34,38,36,32,31,27,33,39",0cfb601ba3eb2f69,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v02_targeted_N24_N40\stageK2_n40_completion\checkpoints\N40_seed20260624_maskable_ppo_v02_K2.zip,20260624,40521265,stochastic,0.5307297828638498,0.6340356670776643,0.0600005883953065,0.6040353728800111,False,False,33,32,PPO_v02K2_checkpoint_inference,False,False,3.58974358974359,10.0,0.10256410256410256,0.15384615384615385,0.3794871794871794,0.6205128205128204,0.46153846153846156
40,"[37,35,29,24,20,26,30,25,23,19,17,13,11,9,7,5,3,1,2,0,4,10,6,8,14,16,18,12,15,21,22,28,32,36,38,34,39,33,31,27]","37,35,29,24,20,26,30,25,23,19,17,13,11,9,7,5,3,1,2,0,4,10,6,8,14,16,18,12,15,21,22,28,32,36,38,34,39,33,31,27",2385f64a2da69d79,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v02_targeted_N24_N40\stageK2_n40_completion\checkpoints\N40_seed20260624_maskable_ppo_v02_K2.zip,20260624,40521266,stochastic,0.5262556924882628,0.6277335393648077,0.05901105996818272,0.5982280093807163,False,False,33,32,PPO_v02K2_checkpoint_inference,False,False,3.5384615384615383,6.0,0.05128205128205128,0.15384615384615385,0.3794871794871794,0.6205128205128204,0.46153846153846156
40,"[37,35,29,20,26,24,30,25,23,19,17,13,11,9,7,5,3,1,2,8,0,4,10,6,14,16,18,12,21,15,22,28,38,36,34,32,27,31,33,39]","37,35,29,20,26,24,30,25,23,19,17,13,11,9,7,5,3,1,2,8,0,4,10,6,14,16,18,12,21,15,22,28,38,36,34,32,27,31,33,39",e52d2594422688e9,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v02_targeted_N24_N40\stageK2_n40_completion\checkpoints\N40_seed20260624_maskable_ppo_v02_K2.zip,20260624,40521267,stochastic,0.48933135758998403,0.5790249687066099,0.05306048814476335,0.5524947246342282,False,False,32,34,PPO_v02K2_checkpoint_inference,False,False,4.3076923076923075,10.0,0.02564102564102564,0.15384615384615385,0.37948717948717947,0.6205128205128205,0.46153846153846156
40,"[37,35,29,24,20,26,30,25,19,23,17,13,11,9,5,7,1,3,0,2,4,10,6,8,18,16,14,12,15,21,22,28,38,36,34,32,27,31,33,39]","37,35,29,24,20,26,30,25,19,23,17,13,11,9,5,7,1,3,0,2,4,10,6,8,18,16,14,12,15,21,22,28,38,36,34,32,27,31,33,39",627abc5da9bfbe5f,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v02_targeted_N24_N40\stageK2_n40_completion\checkpoints\N40_seed20260624_maskable_ppo_v02_K2.zip,20260624,40521268,stochastic,0.5125893485915493,0.6272844538413724,0.06691006351378204,0.5938294220844814,False,False,35,33,PPO_v02K2_checkpoint_inference,False,False,3.948717948717949,10.0,0.02564102564102564,0.15384615384615385,0.3794871794871794,0.6205128205128204,0.46153846153846156
40,"[37,35,29,26,20,24,30,18,25,23,19,17,11,13,9,7,1,3,5,0,2,4,6,8,10,14,16,12,15,21,22,28,32,38,36,34,27,31,39,33]","37,35,29,26,20,24,30,18,25,23,19,17,11,13,9,7,1,3,5,0,2,4,6,8,10,14,16,12,15,21,22,28,32,38,36,34,27,31,39,33",2b17e146fa1fdfa0,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v02_targeted_N24_N40\stageK2_n40_completion\checkpoints\N40_seed20260624_maskable_ppo_v02_K2.zip,20260624,40521269,stochastic,0.5007986502347418,0.5965546359700309,0.059999088815316924,0.5665550915623724,False,False,35,32,PPO_v02K2_checkpoint_inference,False,False,4.051282051282051,12.0,0.02564102564102564,0.15384615384615385,0.3846153846153846,0.6153846153846153,0.48717948717948717
40,"[37,35,29,20,24,30,26,23,25,19,17,13,11,9,7,5,3,10,1,0,2,4,14,6,8,16,18,12,15,21,22,28,34,36,38,39,32,31,27,33]","37,35,29,20,24,30,26,23,25,19,17,13,11,9,7,5,3,10,1,0,2,4,14,6,8,16,18,12,15,21,22,28,34,36,38,39,32,31,27,33",7b661824f3666182,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v02_targeted_N24_N40\stageK2_n40_completion\checkpoints\N40_seed20260624_maskable_ppo_v02_K2.zip,20260624,40521270,stochastic,0.44041654929577456,0.5155111920686524,0.05009150605066021,0.49046543904332224,False,False,35,32,PPO_v02K2_checkpoint_inference,False,False,4.102564102564102,10.0,0.10256410256410256,0.2564102564102564,0.37948717948717947,0.6205128205128205,0.46153846153846156
