candidate_id,strategy_name,n,candidate_source,generation_method,selection_bucket,priority_role,surrogate_prediction,predicted_u2_guarded_score,predicted_peeq_guarded_score,predicted_surfaceT_guarded_score,gnn_reward_prediction,graph_pointer_policy_score,hybrid_score,constrained_score,uncertainty_score,gnn_vs_surrogate_disagreement,novelty_distance,nearest_existing_teacher_strategy,order_json,order_compact,order_hash,first_track_norm,last_track_norm,normalized_mean_jump,normalized_max_jump,adjacent_jump_count,long_jump_count,parity_switch_rate,monotonicity_fraction,direction_reversal_count,odd_even_transition_count,mean_signed_jump,jump_std_norm,edge_visit_early_fraction,center_visit_early_fraction,pred_rank_constrained_within_n,batch_option,handoff_strategy_name,teacher_validated,teacher_validation_status
R43_N24_C00253,N24_R43_N24_C00253_SurfaceT_guarded_candidates,24.0,SurfaceT_guarded_candidates,offline_mutation_or_pointer_proxy,SurfaceT_guarded_candidates,constrained_reward_balance,0.8386842105263131,0.8391378967266911,0.8161842105263132,0.8386842105263131,0.8068759725400432,0.8374291115311909,0.8365703163864264,0.8299036497197597,0.03154309696608941,0.03180823798626997,0.08333333333333333,S3R34N32INF_N24_B11_n24_calibration,"[22,11,5,3,1,7,9,13,15,17,19,21,23,0,2,4,6,8,10,12,14,16,18,20]",22-11-5-3-1-7-9-13-15-17-19-21-23-0-2-4-6-8-10-12-14-16-18-20,bdb39323d541aaf9,0.9565217391304348,0.8695652173913043,0.16257088846880907,1.0,0.0,1.0,0.08695652173913043,0.0,3.0,2.0,-0.003780718336483932,0.20036023746292783,0.0,0.16666666666666666,10.0,constrained_N24_N40_batch60,S3R43CB_N24_B11_SurfaceT_guarded,False,NOT_RUN
R43_N24_C02113,N24_R43_N24_C02113_SurfaceT_guarded_candidates,24.0,SurfaceT_guarded_candidates,offline_mutation_or_pointer_proxy,SurfaceT_guarded_candidates,constrained_reward_balance,0.8213298872180443,0.823295860753016,0.8213298872180443,0.8213298872180443,0.7902158221641051,0.8752362948960303,0.8219196792785357,0.8219196792785357,0.002466163719988588,0.03111406505393921,0.4166666666666667,S3R34N32INF_N24_B11_n24_calibration,"[22,11,23,21,19,17,15,13,9,7,5,3,1,0,2,4,6,8,10,12,14,16,18,20]",22-11-23-21-19-17-15-13-9-7-5-3-1-0-2-4-6-8-10-12-14-16-18-20,925b574ff581751b,0.9565217391304348,0.8695652173913043,0.12476370510396975,0.5217391304347826,1.0,1.0,0.08695652173913043,0.043478260869565216,3.0,2.0,-0.003780718336483932,0.11771945162147646,0.16666666666666666,0.16666666666666666,14.0,constrained_N24_N40_batch60,S3R43CB_N24_B12_SurfaceT_guarded,False,NOT_RUN
R43_N24_C01271,N24_R43_N24_C01271_U2_guarded_local_search,24.0,U2_guarded_local_search,offline_mutation_or_pointer_proxy,U2_guarded_local_search,constrained_reward_balance,0.825526315789474,0.825980001989852,0.803026315789474,0.825526315789474,0.7942443935926776,0.8374291115311909,0.8234124216495874,0.8234124216495874,0.03346718752510765,0.031281922196796375,0.16666666666666666,S3R34N32INF_N24_B10_n24_calibration,"[20,22,11,7,5,3,1,9,13,15,17,19,21,23,0,2,4,6,8,10,12,14,16,18]",20-22-11-7-5-3-1-9-13-15-17-19-21-23-0-2-4-6-8-10-12-14-16-18,22a6b4960952d7f0,0.8695652173913043,0.782608695652174,0.16257088846880907,1.0,0.0,1.0,0.08695652173913043,0.0,4.0,2.0,-0.003780718336483932,0.20199440831031143,0.0,0.16666666666666666,13.0,constrained_N24_N40_batch60,S3R43CB_N24_B13_U2_guarded,False,NOT_RUN
R43_N24_C01942,N24_R43_N24_C01942_U2_guarded_local_search,24.0,U2_guarded_local_search,offline_mutation_or_pointer_proxy,U2_guarded_local_search,constrained_reward_balance,0.8235593280075193,0.8237105567409786,0.8010593280075193,0.8235593280075193,0.7923560853220011,0.829867674858223,0.8213546966275571,0.8213546966275571,0.031917509983396083,0.031203242685518218,0.75,S3R34N32INF_N24_B07_sentinel,"[20,16,14,12,10,8,6,4,2,0,23,21,19,17,15,13,9,7,5,3,1,11,22,18]",20-16-14-12-10-8-6-4-2-0-23-21-19-17-15-13-9-7-5-3-1-11-22-18,1e362efc7d9e4c81,0.8695652173913043,0.782608695652174,0.17013232514177695,1.0,0.0,1.0,0.08695652173913043,0.0,4.0,2.0,-0.003780718336483932,0.2055021267593487,0.0,0.16666666666666666,16.0,constrained_N24_N40_batch60,S3R43CB_N24_B14_U2_guarded,False,NOT_RUN
R43_N24_C00163,N24_R43_N24_C00163_U2_guarded_local_search,24.0,U2_guarded_local_search,offline_mutation_or_pointer_proxy,U2_guarded_local_search,constrained_reward_balance,0.8177254464285724,0.817574217695113,0.7952254464285724,0.8177254464285724,0.786755559006212,0.8223062381852552,0.8154300778085345,0.8154300778085345,0.04212397611803144,0.030969887422360398,0.8333333333333334,S3R34N32INF_N24_B10_n24_calibration,"[20,14,12,10,8,6,4,2,0,23,21,19,17,15,13,9,7,5,3,1,11,22,16,18]",20-14-12-10-8-6-4-2-0-23-21-19-17-15-13-9-7-5-3-1-11-22-16-18,9478753360ef512d,0.8695652173913043,0.782608695652174,0.1776937618147448,1.0,0.0,1.0,0.08695652173913043,0.0,5.0,2.0,-0.003780718336483932,0.20709572746690694,0.0,0.16666666666666666,22.0,constrained_N24_N40_batch60,S3R43CB_N24_B15_U2_guarded,False,NOT_RUN
R43_N24_C02584,N24_R43_N24_C02584_hybrid_agreement,24.0,hybrid_agreement,offline_mutation_or_pointer_proxy,hybrid_agreement,constrained_reward_balance,0.8386842105263131,0.8391378967266911,0.8161842105263132,0.8386842105263131,0.8068759725400432,0.8374291115311909,0.8365703163864264,0.8215703163864264,0.026365031404369813,0.03180823798626997,0.0,S3R34N32INF_N24_B11_n24_calibration,"[22,11,1,3,5,7,9,13,15,17,19,21,23,0,2,4,6,8,10,12,14,16,18,20]",22-11-1-3-5-7-9-13-15-17-19-21-23-0-2-4-6-8-10-12-14-16-18-20,ef5b52a6c4974983,0.9565217391304348,0.8695652173913043,0.16257088846880907,1.0,0.0,1.0,0.08695652173913043,0.0,3.0,2.0,-0.003780718336483932,0.20681946157440984,0.0,0.16666666666666666,15.0,constrained_N24_N40_batch60,S3R43CB_N24_B16_hybrid_agreement,False,NOT_RUN
R43_N24_C00157,N24_R43_N24_C00157_hybrid_agreement,24.0,hybrid_agreement,offline_mutation_or_pointer_proxy,hybrid_agreement,constrained_reward_balance,0.81592105263158,0.8154673664312019,0.79342105263158,0.81592105263158,0.7850233409610994,0.8147448015122873,0.8135349467714665,0.8135349467714665,0.026476668854057035,0.03089771167048061,0.16666666666666666,S3R34N32INF_N24_B11_n24_calibration,"[22,11,1,3,5,7,9,13,15,17,19,21,23,0,2,4,6,8,14,16,10,12,18,20]",22-11-1-3-5-7-9-13-15-17-19-21-23-0-2-4-6-8-14-16-10-12-18-20,ab0e387202f74240,0.9565217391304348,0.8695652173913043,0.18525519848771269,1.0,0.0,1.0,0.08695652173913043,0.0,5.0,2.0,-0.003780718336483932,0.20681946157440984,0.0,0.16666666666666666,27.0,constrained_N24_N40_batch60,S3R43CB_N24_B17_hybrid_agreement,False,NOT_RUN
R43_N24_C01818,N24_R43_N24_C01818_hybrid_agreement,24.0,hybrid_agreement,offline_mutation_or_pointer_proxy,hybrid_agreement,constrained_reward_balance,0.81592105263158,0.8154673664312019,0.79342105263158,0.81592105263158,0.7850233409610994,0.8147448015122873,0.8135349467714665,0.8135349467714665,0.04056983443877672,0.03089771167048061,0.16666666666666666,S3R34N32INF_N24_B11_n24_calibration,"[22,11,1,3,5,7,9,13,21,19,17,15,23,0,2,4,6,8,10,12,14,16,18,20]",22-11-1-3-5-7-9-13-21-19-17-15-23-0-2-4-6-8-10-12-14-16-18-20,eb0d864e4674fa96,0.9565217391304348,0.8695652173913043,0.18525519848771269,1.0,0.0,1.0,0.08695652173913043,0.0,5.0,2.0,-0.003780718336483932,0.21153448509220607,0.0,0.16666666666666666,38.0,constrained_N24_N40_batch60,S3R43CB_N24_B18_hybrid_agreement,False,NOT_RUN
R43_N24_C02425,N24_R43_N24_C02425_hybrid_disagreement,24.0,hybrid_disagreement,offline_mutation_or_pointer_proxy,hybrid_disagreement,constrained_reward_balance,0.8161147791353391,0.8159635504018797,0.7936147791353392,0.8161147791353391,0.7852093184047081,0.8223062381852552,0.8138194105153014,0.8138194105153014,0.03949835986207008,0.03090546073063105,0.16666666666666666,S3R34N32INF_N24_B11_n24_calibration,"[22,11,3,1,5,7,9,13,15,17,19,21,23,0,2,4,10,8,6,12,14,16,18,20]",22-11-3-1-5-7-9-13-15-17-19-21-23-0-2-4-10-8-6-12-14-16-18-20,c1332fba36b90abd,0.9565217391304348,0.8695652173913043,0.1776937618147448,1.0,0.0,1.0,0.08695652173913043,0.0,5.0,2.0,-0.003780718336483932,0.20227726426306897,0.0,0.16666666666666666,25.0,constrained_N24_N40_batch60,S3R43CB_N24_B19_hybrid_disagreement,False,NOT_RUN
R43_N24_C00035,N24_R43_N24_C00035_hybrid_disagreement,24.0,hybrid_disagreement,offline_mutation_or_pointer_proxy,hybrid_disagreement,constrained_reward_balance,0.81592105263158,0.8154673664312019,0.79342105263158,0.81592105263158,0.7850233409610994,0.8147448015122873,0.8135349467714665,0.8135349467714665,0.03286878589438297,0.03089771167048061,0.16666666666666666,S3R34N32INF_N24_B11_n24_calibration,"[22,11,1,3,5,7,9,17,19,13,15,21,23,0,2,4,6,8,10,12,14,16,18,20]",22-11-1-3-5-7-9-17-19-13-15-21-23-0-2-4-6-8-10-12-14-16-18-20,d63892d73d8f6895,0.9565217391304348,0.8695652173913043,0.18525519848771269,1.0,0.0,1.0,0.08695652173913043,0.0,5.0,2.0,-0.003780718336483932,0.20997457501038733,0.0,0.16666666666666666,26.0,constrained_N24_N40_batch60,S3R43CB_N24_B20_hybrid_disagreement,False,NOT_RUN
R43_N24_C00257,N24_R43_N24_C00257_hybrid_disagreement,24.0,hybrid_disagreement,offline_mutation_or_pointer_proxy,hybrid_disagreement,constrained_reward_balance,0.81592105263158,0.8154673664312019,0.79342105263158,0.81592105263158,0.7850233409610994,0.8147448015122873,0.8135349467714665,0.8135349467714665,0.028485750555191397,0.03089771167048061,0.16666666666666666,S3R34N32INF_N24_B11_n24_calibration,"[22,11,1,3,5,7,9,13,15,17,19,21,23,0,2,4,6,8,10,16,18,12,14,20]",22-11-1-3-5-7-9-13-15-17-19-21-23-0-2-4-6-8-10-16-18-12-14-20,93d579061c1946d0,0.9565217391304348,0.8695652173913043,0.18525519848771269,1.0,0.0,1.0,0.08695652173913043,0.0,5.0,2.0,-0.003780718336483932,0.20681946157440984,0.0,0.16666666666666666,30.0,constrained_N24_N40_batch60,S3R43CB_N24_B21_hybrid_disagreement,False,NOT_RUN
R43_N24_C01327,N24_R43_N24_C01327_uncertainty_calibration,24.0,uncertainty_calibration,offline_mutation_or_pointer_proxy,uncertainty_calibration,constrained_reward_balance,0.8386842105263131,0.8391378967266911,0.8161842105263132,0.8386842105263131,0.8068759725400432,0.8374291115311909,0.8365703163864264,0.8365703163864264,0.029359868913547544,0.03180823798626997,0.8333333333333334,S3R34N32INF_N24_B11_n24_calibration,"[22,14,12,10,8,6,4,2,0,23,21,19,17,15,13,9,7,5,3,1,11,16,18,20]",22-14-12-10-8-6-4-2-0-23-21-19-17-15-13-9-7-5-3-1-11-16-18-20,fdc5cd1a38164304,0.9565217391304348,0.8695652173913043,0.16257088846880907,1.0,0.0,1.0,0.08695652173913043,0.0,3.0,2.0,-0.003780718336483932,0.19953813329783565,0.0,0.16666666666666666,9.0,constrained_N24_N40_batch60,S3R43CB_N24_B22_uncertainty_calibration,False,NOT_RUN
R43_N24_C01074,N24_R43_N24_C01074_uncertainty_calibration,24.0,uncertainty_calibration,offline_mutation_or_pointer_proxy,uncertainty_calibration,constrained_reward_balance,0.8386842105263131,0.8391378967266911,0.8161842105263132,0.8386842105263131,0.8068759725400432,0.8374291115311909,0.8365703163864264,0.8365703163864264,0.025986759701142975,0.03180823798626997,0.3333333333333333,S3R34N32INF_N24_B11_n24_calibration,"[22,17,15,13,9,7,5,3,1,11,19,21,23,0,2,4,6,8,10,12,14,16,18,20]",22-17-15-13-9-7-5-3-1-11-19-21-23-0-2-4-6-8-10-12-14-16-18-20,e72abd003436348f,0.9565217391304348,0.8695652173913043,0.16257088846880907,1.0,0.0,1.0,0.08695652173913043,0.0,3.0,2.0,-0.003780718336483932,0.19953813329783565,0.0,0.0,7.0,constrained_N24_N40_batch60,S3R43CB_N24_B23_uncertainty_calibration,False,NOT_RUN
R43_N24_C00182,N24_R43_N24_C00182_uncertainty_calibration,24.0,uncertainty_calibration,offline_mutation_or_pointer_proxy,uncertainty_calibration,constrained_reward_balance,0.81592105263158,0.8154673664312019,0.79342105263158,0.81592105263158,0.7850233409610994,0.8147448015122873,0.8135349467714665,0.8135349467714665,0.04133776012255272,0.03089771167048061,0.16666666666666666,S3R34N32INF_N24_B11_n24_calibration,"[22,11,1,3,5,7,9,13,15,17,19,21,23,0,6,8,2,4,10,12,14,16,18,20]",22-11-1-3-5-7-9-13-15-17-19-21-23-0-6-8-2-4-10-12-14-16-18-20,09828a78a6366210,0.9565217391304348,0.8695652173913043,0.18525519848771269,1.0,0.0,1.0,0.08695652173913043,0.0,5.0,2.0,-0.003780718336483932,0.20681946157440984,0.0,0.16666666666666666,28.0,constrained_N24_N40_batch60,S3R43CB_N24_B24_uncertainty_calibration,False,NOT_RUN
