N_label,case_count,U2_norm_min,U2_norm_q25,U2_norm_median,U2_norm_q75,U2_norm_max,PEEQ_norm_min,PEEQ_norm_q25,PEEQ_norm_median,PEEQ_norm_q75,PEEQ_norm_max,SurfaceT_norm_min,SurfaceT_norm_q25,SurfaceT_norm_median,SurfaceT_norm_q75,SurfaceT_norm_max,Mises_norm_min,Mises_norm_q25,Mises_norm_median,Mises_norm_q75,Mises_norm_max
N12,78,0.0,0.08361145204519062,0.12846100507193706,0.23836610262576335,1.0,0.0,0.1853621049441104,0.23393298193604461,0.38881008795716593,1.0,0.0,0.05145913675466592,0.10445095421733709,0.3694780233362937,1.0,0.0,0.4137931034657015,0.8275862069007761,0.8620689654961194,1.0
N16,78,0.0,0.04907839721048876,0.08110602593826324,0.20486140071851577,1.0,0.0,0.11808259433035379,0.18236324204438592,0.30578843751315943,1.0,0.0,0.020245522978670202,0.08727200780373581,0.18212688421402068,1.0,0.0,0.40833333337428823,0.8000000000355272,0.833333333343202,1.0
N24,190,0.0,0.04017708129854228,0.08614931393359793,0.2685346440942157,1.0,0.0,0.1263134964399595,0.20179522501634944,0.29870019172739587,1.0,0.0,0.09119232644166472,0.15149829380896884,0.2338126917672715,1.0,0.0,0.3636363636314701,0.6363636363685299,0.7878787878771567,1.0
N40,206,0.0,0.015302707886187598,0.05122532749748941,0.3056642398712286,1.0,0.0,0.16714838343451394,0.2382693457102598,0.326743180023761,1.0,0.0,0.05639584022341878,0.12347040017638626,0.22830724286186488,1.0,0.0,0.4044943820231447,0.528089887649644,0.6179775280925788,1.0
