N_label,case_count,median_U2,q25_U2,q75_U2,min_U2,max_U2,available_count_U2,median_PEEQ,q25_PEEQ,q75_PEEQ,min_PEEQ,max_PEEQ,available_count_PEEQ,median_SurfaceT,q25_SurfaceT,q75_SurfaceT,min_SurfaceT,max_SurfaceT,available_count_SurfaceT,median_Mises,q25_Mises,q75_Mises,min_Mises,max_Mises,available_count_Mises
N12,78,3.9525062220491236e-05,3.341004116919066e-05,5.451009417356545e-05,2.20100214392005e-05,0.0001583552163992,78,0.14851062744855875,0.14681043848395345,0.15393199026584625,0.1403219699859619,0.175326257944107,78,581.293664,581.01928,582.665936,580.752832,585.930688,78,579.93952,579.938752,579.939584,579.937984,579.93984,78
N16,78,4.9522939889357076e-05,4.152169731241884e-05,8.043989544148644e-05,2.926077831943985e-05,0.0002790839121189,78,0.15198192000389094,0.14979834482073784,0.15617460012435908,0.1457871496677398,0.1797565519809723,78,581.493984,581.02784,582.153664,580.88704,587.841664,78,579.948288,579.947536,579.948352,579.946752,579.948672,78
N24,190,8.096076885522052e-05,5.351185041035933e-05,0.000189858678879725,2.9523077955673216e-05,0.0006265991143266,190,0.15729529410600662,0.15427346900105474,0.16117477416992182,0.1492166519165039,0.1892505139112472,190,582.566592,581.8936160000001,583.4851679999999,580.875968,592.035328,190,579.944128,579.943552,579.944448,579.942784,579.944896,190
N40,206,0.0001498124456702,7.685743622687369e-05,0.000666550741925625,4.5779268475598656e-05,0.0020766726229339,206,0.1574980020523071,0.1534765549004078,0.16250064596533773,0.1440253555774688,0.2005691230297088,206,583.26944,582.1012479999999,585.0953119999999,581.11904,598.53536,206,579.92704,579.926336,579.927552,579.924032,579.929728,206
