N_label,native_pool,ppo_candidates,topk_competitive,best_rank,best_rank_percentile,best_rank_percentile_pct
N12,78,8,5,6,0.07692307692307693,7.6923076923076925
N16,78,8,4,2,0.02564102564102564,2.564102564102564
N24,190,8,3,134,0.7052631578947368,70.52631578947368
N40,206,8,0,147,0.7135922330097088,71.35922330097088
