N_label,scope,strategy_id,U2,PEEQ,SurfaceT,Mises,include_in_u2_panel,include_in_peeq_panel,include_in_surfacet_panel,include_in_mises_panel,stress_semantics_note,U2_within_N_minmax_cost,PEEQ_within_N_minmax_cost,SurfaceT_within_N_minmax_cost,Mises_within_N_minmax_cost
N12,native_stage3_combined552,S3R24L64_N12_B01_top_region,3.981756117354962e-05,0.147611990571022,581.054144,579.93856,True,True,True,True,native Stage 3 MPa-scale stress definitions,0.13060628751584125,0.20826078775768417,0.05819242559081168,0.31034482760310445
N12,native_stage3_combined552,S3R24L64_N12_B02_top_region,4.743445606436581e-05,0.1485111713409423,583.104,579.939584,True,True,True,True,native Stage 3 MPa-scale stress definitions,0.18647107169874413,0.23394851981483816,0.45408138040146745,0.8620689654961194
N12,native_stage3_combined552,S3R24L64_N12_B03_model_disagreement,4.803386900675832e-05,0.148449420928955,581.267264,579.939776,True,True,True,True,native Stage 3 MPa-scale stress definitions,0.19086736115044328,0.23218443845254508,0.09935231879757578,0.9655172414046567
N12,native_stage3_combined552,S3R24L64_N12_B04_uncertainty_calibration,4.548148990579648e-05,0.1537710577249527,581.128832,579.93952,True,True,True,True,native Stage 3 MPa-scale stress definitions,0.17214738277708988,0.38421257861528235,0.07261692870562157,0.8275862069007761
N12,native_stage3_combined552,S3R24L64_N12_B05_diversity_coverage,3.9774539800419006e-05,0.1521858870983123,583.00064,579.939584,True,True,True,True,native Stage 3 MPa-scale stress definitions,0.130290754774528,0.33892753729303626,0.43411945021258896,0.8620689654961194
N12,native_stage3_combined552,S3R24L64_N12_B06_tradeoff_probe,0.0001155623961039,0.1631104797124862,582.663488,579.938304,True,True,True,True,native Stage 3 MPa-scale stress definitions,0.6861435395075388,0.651020519365305,0.369005240779197,0.1724137930992239
N12,native_stage3_combined552,S3R24L64_N12_B07_sentinel_control,8.973477179097245e-05,0.1636441349983215,582.725376,579.938304,True,True,True,True,native Stage 3 MPa-scale stress definitions,0.49671534351937235,0.6662659454820536,0.38095767823592686,0.1724137930992239
N12,native_stage3_combined552,S3R24L64_N12_B08_exploitation_reference,4.415783655531413e-05,0.1451154500246048,581.017728,579.939456,True,True,True,True,native Stage 3 MPa-scale stress definitions,0.16243927864572918,0.13693979561516895,0.05115939879363593,0.7931034482441791
N12,native_stage3_combined552,S3R34N32INF_N12_B01_graph_pointer,5.744353620684706e-05,0.1684480607509613,582.666752,579.939584,True,True,True,True,native Stage 3 MPa-scale stress definitions,0.2598809204683885,0.8035041535091356,0.3696356175219926,0.8620689654961194
N12,native_stage3_combined552,S3R34N32INF_N12_B02_surrogate_top,3.5468697433316265e-05,0.1539434939622879,581.848896,579.93856,True,True,True,True,native Stage 3 MPa-scale stress definitions,0.09871030657196411,0.3891387247360487,0.21168298230000054,0.31034482760310445
N12,native_stage3_combined552,S3R34N32INF_N12_B03_hybrid_agree,5.269739813229535e-05,0.1545384377241134,581.436224,579.93952,True,True,True,True,native Stage 3 MPa-scale stress definitions,0.2250712003609501,0.4061350356604956,0.13198358548403502,0.8275862069007761
N12,native_stage3_combined552,S3R34N32INF_N12_B04_hybrid_disagree,5.994689445287804e-05,0.1500022262334823,581.437888,579.938432,True,True,True,True,native Stage 3 MPa-scale stress definitions,0.27824136394984317,0.27654486956269964,0.1323049540195843,0.24137931035116417
N12,native_stage3_combined552,S3R64VNR_N12_B01_n12_diversity,6.379491514962865e-05,0.1535141170024871,581.880128,579.938432,True,True,True,True,native Stage 3 MPa-scale stress definitions,0.30646399913606687,0.3768723143947153,0.21771482250568513,0.24137931035116417
N12,native_stage3_combined552,S3R64VNR_N12_B02_n12_penalty,4.408235781738768e-05,0.1478625386953354,581.030976,579.93856,True,True,True,True,native Stage 3 MPa-scale stress definitions,0.16188569303570025,0.2154184286905026,0.05371798674972739,0.31034482760310445
N12,native_stage3_combined552,S3R64VNR_N12_B03_n12_anchor_local,3.5103737900499254e-05,0.1520085632801056,583.759616,579.93856,True,True,True,True,native Stage 3 MPa-scale stress definitions,0.0960335746715544,0.33386176311077803,0.5807005834075005,0.31034482760310445
N12,native_stage3_combined552,S3R64VNR_N12_B04_n12_anchor_local,4.209233884466812e-05,0.1484188884496688,582.993408,579.93952,True,True,True,True,native Stage 3 MPa-scale stress definitions,0.14729024672530122,0.23131218876351547,0.43272273311579623,0.8275862069007761
N12,native_stage3_combined552,S3R64VNR_N12_B05_n12_anchor_local,3.254793091400643e-05,0.1469618827104568,581.04512,579.93952,True,True,True,True,native Stage 3 MPa-scale stress definitions,0.07728845507095065,0.1896885527977115,0.056449619301885544,0.8275862069007761
N12,native_stage3_combined552,S3R64VNR_N12_B06_n12_anchor_top,2.3353248252533376e-05,0.1469611227512359,582.776448,579.93952,True,True,True,True,native Stage 3 MPa-scale stress definitions,0.009851662273297916,0.18966684233693037,0.39082122021159715,0.8275862069007761
N12,native_stage3_combined552,S3R64VNR_N12_B07_n12_anchor_top,4.7157466724456754e-05,0.1438055485486984,581.349824,579.939648,True,True,True,True,native Stage 3 MPa-scale stress definitions,0.1844395418014836,0.0995186237440925,0.11529714229209888,0.8965517241527164
N12,native_stage3_combined552,S3R64VNR_N12_B08_n12_anchor_top,3.971927708334988e-05,0.1505984514951706,582.831104,579.93952,True,True,True,True,native Stage 3 MPa-scale stress definitions,0.1298854400358213,0.293577790283761,0.4013769405715342,0.8275862069007761
N12,native_stage3_combined552,S3R64VNR_N12_B09_n12_anchor_top,3.798802094934217e-05,0.1497074365615844,582.938496,579.939776,True,True,True,True,native Stage 3 MPa-scale stress definitions,0.11718784453554996,0.2681233392561727,0.42211757144269096,0.9655172414046567
N12,native_stage3_combined552,S3R64VNR_N12_B10_n12_u2_safe,4.140971304877894e-05,0.1501847505569458,581.70816,579.93952,True,True,True,True,native Stage 3 MPa-scale stress definitions,0.14228364714480668,0.2817592114079542,0.1845026203895985,0.8275862069007761
N12,native_stage3_combined552,S3R64VNR_N12_B11_n12_u2_safe,4.911627866022173e-05,0.1459944397211074,580.95712,579.93952,True,True,True,True,native Stage 3 MPa-scale stress definitions,0.1988061055541677,0.16205071052803952,0.039454167902703126,0.8275862069007761
N12,native_stage3_combined552,S3R64VNR_N12_B12_n12_uncertainty,3.746341781152296e-05,0.1469832807779312,581.02144,579.938496,True,True,True,True,native Stage 3 MPa-scale stress definitions,0.11334023451912717,0.19029985126205984,0.051876297834464874,0.2758620689465075
N12,native_stage3_combined552,S3R69SNR_N12_B01_n12_run66_local,2.7269628844806e-05,0.1481368690729141,583.111104,579.93952,True,True,True,True,native Stage 3 MPa-scale stress definitions,0.038575671164272025,0.22325547933717554,0.4554533768416761,0.8275862069007761
N12,native_stage3_combined552,S3R69SNR_N12_B02_n12_run66_local,3.780453721446975e-05,0.1452908664941787,581.116416,579.93952,True,True,True,True,native Stage 3 MPa-scale stress definitions,0.11584211515413499,0.14195108079781965,0.0702190250172938,0.8275862069007761
N12,native_stage3_combined552,S3R69SNR_N12_B03_n12_run66_local,2.8717314307868943e-05,0.1526945084333419,580.993088,579.939776,True,True,True,True,native Stage 3 MPa-scale stress definitions,0.04919346714518401,0.35345779528993554,0.046400672401845526,0.9655172414046567
N12,native_stage3_combined552,S3R69SNR_N12_B04_n12_diversity,2.8240926894795848e-05,0.1448713839054107,580.975168,579.939584,True,True,True,True,native Stage 3 MPa-scale stress definitions,0.045699486934052576,0.12996733214195338,0.04293978048057735,0.8620689654961194
N12,native_stage3_combined552,S3R69SNR_N12_B05_n12_penalty,3.951015060010832e-05,0.1438886523246765,581.077632,579.939584,True,True,True,True,native Stage 3 MPa-scale stress definitions,0.12835163839871255,0.10189272648480482,0.06272866607336719,0.8620689654961194
N12,native_stage3_combined552,S3R69SNR_N12_B06_n12_penalty,3.3854955745482584e-05,0.1467602103948593,581.397376,579.939584,True,True,True,True,native Stage 3 MPa-scale stress definitions,0.08687460023623944,0.18392719247983708,0.12448086621180539,0.8620689654961194
N12,native_stage3_combined552,S3R69SNR_N12_B07_n12_reward_bal,3.42248022207059e-05,0.1485162526369094,581.308096,579.93952,True,True,True,True,native Stage 3 MPa-scale stress definitions,0.08958717456151594,0.23409368191535504,0.10723820824680398,0.8275862069007761
N12,native_stage3_combined552,S3R69SNR_N12_B08_n12_reward_bal,4.585568694892572e-05,0.1547912508249282,581.781312,579.939712,True,True,True,True,native Stage 3 MPa-scale stress definitions,0.1748918655822157,0.41335738228034635,0.19863047562542124,0.9310344827480597
N12,native_stage3_combined552,S3R69SNR_N12_B09_n12_recovery_top,3.0538531063939445e-05,0.1553616970777511,581.836736,579.939712,True,True,True,True,native Stage 3 MPa-scale stress definitions,0.06255086310332396,0.42965385011608664,0.20933451992484095,0.9310344827480597
N12,native_stage3_combined552,S3R69SNR_N12_B10_n12_recovery_top,3.37775782099925e-05,0.1460967510938644,581.126592,579.939584,True,True,True,True,native Stage 3 MPa-scale stress definitions,0.08630708822737997,0.16497353452261265,0.07218431721545482,0.8620689654961194
N12,native_stage3_combined552,S3R69SNR_N12_B11_n12_recovery_top,3.338143415021477e-05,0.1538974791765213,580.981824,579.93984,True,True,True,True,native Stage 3 MPa-scale stress definitions,0.08340163886487074,0.3878241776205176,0.04422525462275263,1.0
N12,native_stage3_combined552,S3R69SNR_N12_B12_n12_recovery_top,3.4878033147833776e-05,0.147205114364624,580.948992,579.93952,True,True,True,True,native Stage 3 MPa-scale stress definitions,0.09437818261515157,0.19663717733359798,0.03788440620982173,0.8275862069007761
N12,native_stage3_combined552,S3R69SNR_N12_B13_n12_u2_safe,5.511432618732215e-05,0.1478563249111175,580.840256,579.939712,True,True,True,True,native Stage 3 MPa-scale stress definitions,0.24279773671403443,0.21524091374646717,0.016884208444564976,0.9310344827480597
N12,native_stage3_combined552,S3R69SNR_N12_B14_n12_u2_safe,3.27797893078241e-05,0.1477580964565277,581.153088,579.93952,True,True,True,True,native Stage 3 MPa-scale stress definitions,0.07898897993275966,0.21243473026668205,0.0773014931276597,0.8275862069007761
N12,native_stage3_combined552,S3R69SNR_N12_B15_n12_u2_safe,4.401078331284225e-05,0.1430467814207077,580.873152,579.939456,True,True,True,True,native Stage 3 MPa-scale stress definitions,0.16136074234296457,0.07784221858773112,0.023237417185798904,0.7931034482441791
N12,native_stage3_combined552,S3R69SNR_N12_B16_n12_uncertainty,2.20100214392005e-05,0.1474265903234481,580.977664,579.93952,True,True,True,True,native Stage 3 MPa-scale stress definitions,0.0,0.20296428671770894,0.043421833283890335,0.8275862069007761
N12,native_stage3_combined552,S3R74FSD_N12_B01_n12_penalty,2.7831204988615355e-05,0.1452231556177139,580.966464,579.93952,True,True,True,True,native Stage 3 MPa-scale stress definitions,0.04269445323043951,0.14001672131175466,0.04125877583307851,0.8275862069007761
N12,native_stage3_combined552,S3R74FSD_N12_B02_n12_penalty,2.502332336007385e-05,0.1451048254966735,580.95648,579.939584,True,True,True,True,native Stage 3 MPa-scale stress definitions,0.022100536229071967,0.13663627485954036,0.03933056461980461,0.8620689654961194
N12,native_stage3_combined552,S3R74FSD_N12_B03_n12_reward_bal,3.3495862226118334e-05,0.1519414186477661,580.952448,579.93984,True,True,True,True,native Stage 3 MPa-scale stress definitions,0.08424089158615022,0.33194358004646995,0.03855186393750445,1.0
N12,native_stage3_combined552,S3R74FSD_N12_B04_n12_reward_bal,2.704449070733972e-05,0.1459793299436569,581.01856,579.939584,True,True,True,True,native Stage 3 MPa-scale stress definitions,0.0369244348480063,0.16161905548427538,0.0513200830613996,0.8620689654961194
N12,native_stage3_combined552,S3R74FSD_N12_B05_n12_final_top,2.811319745887885e-05,0.1472236961126327,580.991104,579.939584,True,True,True,True,native Stage 3 MPa-scale stress definitions,0.04476267771276341,0.19716801938446096,0.04601750222484696,0.8620689654961194
N12,native_stage3_combined552,S3R74FSD_N12_B06_n12_final_top,2.8934185138496105e-05,0.1512420028448104,581.187008,579.939776,True,True,True,True,native Stage 3 MPa-scale stress definitions,0.050784068344520636,0.3119627193075797,0.08385246712152246,0.9655172414046567
N12,native_stage3_combined552,S3R74FSD_N12_B07_n12_final_top,3.5088440199615434e-05,0.154764711856842,581.279232,579.939712,True,True,True,True,native Stage 3 MPa-scale stress definitions,0.09592137635838092,0.41259921893424656,0.1016637001878702,0.9310344827480597
N12,native_stage3_combined552,S3R74FSD_N12_B08_n12_final_top,2.6060608433908783e-05,0.1501481384038925,581.001856,579.939584,True,True,True,True,native Stage 3 MPa-scale stress definitions,0.029708322291054193,0.2807132780326749,0.04809403737762543,0.8620689654961194
N12,native_stage3_combined552,S3R74FSD_N12_B09_n12_u2_safe,2.4175786620617146e-05,0.1465401947498321,581.169408,579.939584,True,True,True,True,native Stage 3 MPa-scale stress definitions,0.015884426158560488,0.17764180123604825,0.08045337684168159,0.8620689654961194
N12,native_stage3_combined552,S3R74FSD_N12_B10_n12_u2_safe,3.326550358906388e-05,0.1476702839136123,581.07808,579.93952,True,True,True,True,native Stage 3 MPa-scale stress definitions,0.08255136642817137,0.20992610780818788,0.06281518837140054,0.8275862069007761
N12,native_stage3_combined552,S3R74FSD_N12_B11_n12_u2_safe,3.356847309987643e-05,0.1537109613418579,580.913536,579.93952,True,True,True,True,native Stage 3 MPa-scale stress definitions,0.0847734433477242,0.3824957494323364,0.03103678433699375,0.8275862069007761
N12,native_stage3_combined552,S3R74FSD_N12_B12_n12_run71_local,3.698998170875712e-05,0.1539746969938278,583.311936,579.939712,True,True,True,True,native Stage 3 MPa-scale stress definitions,0.10986790017757056,0.390030130714002,0.4942400870166965,0.9310344827480597
N12,native_stage3_combined552,S3R74FSD_N12_B13_n12_run71_local,3.953997384087416e-05,0.1531052887439727,581.007104,579.939456,True,True,True,True,native Stage 3 MPa-scale stress definitions,0.12857037174516156,0.3651929378850933,0.04910758429744155,0.7931034482441791
N12,native_stage3_combined552,S3R74FSD_N12_B14_n12_run71_local,3.756570663426828e-05,0.1448495686054229,581.167168,579.93952,True,True,True,True,native Stage 3 MPa-scale stress definitions,0.11409045400999615,0.1293441142089417,0.08002076535151482,0.8275862069007761
N16,native_stage3_combined552,N16_A01_raster_left_to_right,0.0002434928235288,0.1752076148986816,587.841664,579.948288,True,True,True,True,native Stage 3 MPa-scale stress definitions,0.8575348565650852,0.8660872204831617,1.0,0.8000000000355272
