n,ppo_version,mean_abs_jump,mean_abs_jump,mean_abs_jump,mean_abs_jump,mean_abs_jump,max_abs_jump,max_abs_jump,max_abs_jump,max_abs_jump,max_abs_jump,long_jump_count,long_jump_count,long_jump_count,long_jump_count,long_jump_count,adjacent_fraction,adjacent_fraction,adjacent_fraction,adjacent_fraction,adjacent_fraction,total_travel_proxy,total_travel_proxy,total_travel_proxy,total_travel_proxy,total_travel_proxy,jump_variance,jump_variance,jump_variance,jump_variance,jump_variance,local_continuity_score,local_continuity_score,local_continuity_score,local_continuity_score,local_continuity_score,path_complexity_score,path_complexity_score,path_complexity_score,path_complexity_score,path_complexity_score
,,count,mean,median,min,max,count,mean,median,min,max,count,mean,median,min,max,count,mean,median,min,max,count,mean,median,min,max,count,mean,median,min,max,count,mean,median,min,max,count,mean,median,min,max
12,final_expansion,32,3.636364,3.636364,3.363636,4.272727,32,9.4375,10.0,8.0,10.0,32,4.25,4.0,2.0,6.0,32,0.045455,0.0,0.0,0.181818,32,40.0,40.0,37.0,47.0,32,6.406508,6.214876,4.231405,8.809917,32,-0.285124,-0.330579,-0.38843,-0.123967,32,0.355977,0.352816,0.315273,0.413718
16,final_expansion,32,3.8625,3.8,3.533333,4.866667,32,13.0,14.0,10.0,14.0,32,2.9375,3.0,2.0,5.0,32,0.03125,0.0,0.0,0.133333,32,57.9375,57.0,53.0,73.0,32,10.528056,10.515556,7.688889,14.782222,32,-0.22625,-0.253333,-0.324444,-0.102222,32,0.288198,0.282656,0.258088,0.369865
24,final_expansion,80,4.238043,4.217391,2.173913,7.0,80,12.5375,12.0,4.0,23.0,80,3.975,4.0,0.0,10.0,80,0.07663,0.0,0.0,0.478261,80,97.475,97.0,50.0,161.0,80,9.851087,9.032136,1.013233,30.173913,80,-0.107632,-0.175803,-0.304348,0.374291,80,0.195207,0.192155,0.092495,0.348706
40,final_expansion,80,6.801923,7.410256,3.128205,12.692308,80,21.0375,22.0,6.0,38.0,80,4.7,5.0,0.0,15.0,80,0.026923,0.0,0.0,0.128205,80,265.275,289.0,122.0,495.0,80,27.126414,25.672584,2.433925,88.059172,80,-0.147485,-0.190007,-0.325444,0.047995,80,0.187883,0.20321,0.079964,0.375203
