n,v01_candidate_count,v02K2_candidate_count,v01_best_lex_rank,v02K2_best_lex_rank,known_v01_best_lex_rank_from_stageH,v01_topk_count,v02K2_topk_count,known_v01_topk_count_from_stageH,v02K2_improves_v01_best_lex_rank,v02K2_improves_known_v01_best_lex_rank,v02K2_improves_v01_topk_count,v02K2_improves_known_v01_topk_count,v01_best_u2_range,v02K2_best_u2_range,v01_median_u2_range,v02K2_median_u2_range,v02K2_best_improves_v01_u2_range,v02K2_median_improves_v01_u2_range,v01_best_peeq_max,v02K2_best_peeq_max,v01_median_peeq_max,v02K2_median_peeq_max,v02K2_best_improves_v01_peeq_max,v02K2_median_improves_v01_peeq_max,v01_best_surface_t_proxy,v02K2_best_surface_t_proxy,v01_median_surface_t_proxy,v02K2_median_surface_t_proxy,v02K2_best_improves_v01_surface_t_proxy,v02K2_median_improves_v01_surface_t_proxy,v01_best_mises_max,v02K2_best_mises_max,v01_median_mises_max,v02K2_median_mises_max,v02K2_best_improves_v01_mises_max,v02K2_median_improves_v01_mises_max,interpretation
24,8,16,134,114,134,3,0,3,True,True,False,False,0.0001286480594444,9.453498660150216e-05,0.00015391524516409998,0.00014045583725415,True,True,0.1512520015239715,0.1558585613965988,0.1567566394805908,0.1570346280932426,False,False,584139200.0,582223488.0,585510784.0,582460832.0,True,True,579943488.0,579943296.0,579944288.0,579944192.0,True,True,v02K2 partially improves v01
40,8,16,147,147,147,0,16,0,False,False,True,True,0.000474216584962,0.0004007218865353,0.00054483493306625,0.00045678247636254997,True,True,0.1537813395261764,0.1641117632389068,0.154441587626934,0.1695306897163391,False,False,582664128.0,581153472.0,584015104.0,581623392.0,True,True,579925504.0,579926912.0,579926560.0,579926976.0,False,False,v02K2 partially improves v01
