n,trials,v01_best_lex_rank,known_v01_best_lex_rank_from_stageH,expected_v02K2_best_lex_rank_equal8_mean,expected_v02K2_best_lex_rank_equal8_median,expected_v02K2_best_lex_rank_equal8_q05,expected_v02K2_best_lex_rank_equal8_q95,prob_v02K2_subsample_beats_v01_best_lex_rank,prob_v02K2_subsample_beats_known_v01_best_lex_rank,v01_topk_count,known_v01_topk_count_from_stageH,expected_v02K2_topk_count_equal8_mean,expected_v02K2_topk_count_equal8_median,expected_v02K2_topk_count_equal8_q05,expected_v02K2_topk_count_equal8_q95,prob_v02K2_subsample_beats_v01_topk_count,prob_v02K2_subsample_beats_known_v01_topk_count
24,10000,134,134,123.4603,114.0,114.0,134.0,0.7715,0.7715,3,3,0.0,0.0,0.0,0.0,0.0,0.0
40,10000,147,147,147.0,147.0,147.0,147.0,0.0,0.0,0,0,8.0,8.0,8.0,8.0,1.0,1.0
