n,order_json,order_compact,order_hash,ppo_v02_checkpoint,ppo_seed,rollout_seed,ppo_generation_mode,predicted_reward,mean_pred_reward,std_pred_reward,conservative_reward,duplicate_vs_training_reference,minimum_hamming_distance_to_training_reference,mean_hamming_distance_to_training_reference,candidate_source,teacher_validated,abaqus_validated,mean_abs_jump,max_abs_jump,adjacent_fraction,parity_switch_fraction,early_center_bias,early_edge_bias,early_spread_proxy
24,"[21,17,7,3,9,13,11,5,1,15,23,19,0,2,18,8,20,22,4,10,12,14,6,16]","21,17,7,3,9,13,11,5,1,15,23,19,0,2,18,8,20,22,4,10,12,14,6,16",c06a4421d435f78e,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v02_targeted_N24_N40\ppo_training_v02\checkpoints\N24_seed20260624_maskable_ppo_v02.zip,20260624,22660633,stochastic,0.6580966550954821,0.6353047330538187,0.028297076068675955,0.6211561950194807,False,19,22.616161616161616,PPO_v02_checkpoint_inference,False,False,7.521739130434782,19.0,0.0,0.043478260869565216,0.46376811594202905,0.5362318840579711,0.782608695652174
24,"[21,17,3,7,13,9,5,1,11,15,19,23,0,2,18,4,20,22,8,10,12,14,6,16]","21,17,3,7,13,9,5,1,11,15,19,23,0,2,18,4,20,22,8,10,12,14,6,16",b8ea5013e936d6ed,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v02_targeted_N24_N40\ppo_training_v02\checkpoints\N24_seed20260624_maskable_ppo_v02.zip,20260624,22660634,stochastic,0.6600199010313651,0.6469221259819602,0.024597296107490025,0.6346234779282152,False,18,22.373737373737374,PPO_v02_checkpoint_inference,False,False,7.521739130434782,23.0,0.0,0.043478260869565216,0.46376811594202905,0.5362318840579711,0.782608695652174
24,"[21,3,17,7,9,13,5,1,15,11,23,19,0,2,18,20,22,4,8,10,12,14,6,16]","21,3,17,7,9,13,5,1,15,11,23,19,0,2,18,20,22,4,8,10,12,14,6,16",41e57a8a32ad500a,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v02_targeted_N24_N40\ppo_training_v02\checkpoints\N24_seed20260624_maskable_ppo_v02.zip,20260624,22660635,stochastic,0.6538127335762672,0.6432305252215949,0.022161941441026838,0.6321495545010815,False,18,22.585858585858585,PPO_v02_checkpoint_inference,False,False,7.869565217391305,19.0,0.0,0.043478260869565216,0.463768115942029,0.5362318840579711,0.782608695652174
24,"[21,17,3,7,13,9,5,15,11,1,19,23,0,2,18,20,22,4,8,10,12,6,14,16]","21,17,3,7,13,9,5,15,11,1,19,23,0,2,18,20,22,4,8,10,12,6,14,16",38895d86ced3c653,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v02_targeted_N24_N40\ppo_training_v02\checkpoints\N24_seed20260624_maskable_ppo_v02.zip,20260624,22660636,stochastic,0.6554263196367985,0.6394522801236202,0.021717963206784933,0.6285932985202277,False,20,22.72222222222222,PPO_v02_checkpoint_inference,False,False,7.3478260869565215,23.0,0.0,0.043478260869565216,0.46376811594202905,0.5362318840579711,0.782608695652174
24,"[21,17,3,7,13,9,5,11,1,15,19,23,20,18,0,2,22,4,8,10,12,6,14,16]","21,17,3,7,13,9,5,11,1,15,19,23,20,18,0,2,22,4,8,10,12,6,14,16",56f972fafbaf6f61,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v02_targeted_N24_N40\ppo_training_v02\checkpoints\N24_seed20260624_maskable_ppo_v02.zip,20260624,22660637,stochastic,0.6448652209151055,0.6244219869602965,0.02550457859096336,0.6116696976648148,False,17,22.585858585858585,PPO_v02_checkpoint_inference,False,False,7.0,20.0,0.0,0.043478260869565216,0.46376811594202905,0.5362318840579711,0.782608695652174
24,"[21,17,3,7,9,13,5,11,15,1,19,23,0,2,18,20,22,4,8,10,12,14,6,16]","21,17,3,7,9,13,5,11,15,1,19,23,0,2,18,20,22,4,8,10,12,14,6,16",64f682f82ce18d1c,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v02_targeted_N24_N40\ppo_training_v02\checkpoints\N24_seed20260624_maskable_ppo_v02.zip,20260624,22660638,stochastic,0.6572670080521144,0.644797247079769,0.02361703007616912,0.6329887320416845,False,19,22.45959595959596,PPO_v02_checkpoint_inference,False,False,7.521739130434782,23.0,0.0,0.043478260869565216,0.46376811594202905,0.5362318840579711,0.782608695652174
24,"[21,17,3,7,9,13,5,11,1,15,19,23,0,2,18,22,20,4,8,10,12,6,14,16]","21,17,3,7,9,13,5,11,1,15,19,23,0,2,18,22,20,4,8,10,12,6,14,16",75da70e4494e48d3,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v02_targeted_N24_N40\ppo_training_v02\checkpoints\N24_seed20260624_maskable_ppo_v02.zip,20260624,22660639,stochastic,0.6549937951091864,0.6431057673773347,0.02427226465167789,0.6309696350514957,False,18,22.318181818181817,PPO_v02_checkpoint_inference,False,False,7.0,23.0,0.0,0.043478260869565216,0.46376811594202905,0.5362318840579711,0.782608695652174
24,"[21,17,3,7,13,9,1,5,11,15,19,23,0,2,18,20,22,4,8,10,12,14,16,6]","21,17,3,7,13,9,1,5,11,15,19,23,0,2,18,20,22,4,8,10,12,14,16,6",63aa66ededd22b2a,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v02_targeted_N24_N40\ppo_training_v02\checkpoints\N24_seed20260624_maskable_ppo_v02.zip,20260624,22660640,stochastic,0.6618605894466809,0.6448171701136377,0.03202225587064583,0.6288060421783148,False,16,22.848484848484848,PPO_v02_checkpoint_inference,False,False,6.391304347826087,23.0,0.0,0.043478260869565216,0.46376811594202905,0.5362318840579711,0.782608695652174
24,"[21,3,7,17,13,9,5,1,19,11,23,15,0,18,2,20,22,4,8,10,12,14,6,16]","21,3,7,17,13,9,5,1,19,11,23,15,0,18,2,20,22,4,8,10,12,14,6,16",e075782e3fc0c44c,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v02_targeted_N24_N40\ppo_training_v02\checkpoints\N24_seed20260624_maskable_ppo_v02.zip,20260624,22660641,stochastic,0.656106951316526,0.6287759160441837,0.03032595466858237,0.6136129387098925,False,19,22.42929292929293,PPO_v02_checkpoint_inference,False,False,9.08695652173913,18.0,0.0,0.043478260869565216,0.463768115942029,0.536231884057971,0.782608695652174
24,"[21,3,17,7,13,9,1,5,11,15,23,19,0,2,18,20,22,4,8,10,12,14,16,6]","21,3,17,7,13,9,1,5,11,15,23,19,0,2,18,20,22,4,8,10,12,14,16,6",20a2653ea40e0c4a,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v02_targeted_N24_N40\ppo_training_v02\checkpoints\N24_seed20260624_maskable_ppo_v02.zip,20260624,22660642,stochastic,0.6533802090486551,0.6370469519369603,0.02483590623458693,0.6246289988196668,False,15,23.19191919191919,PPO_v02_checkpoint_inference,False,False,7.260869565217392,19.0,0.0,0.043478260869565216,0.463768115942029,0.5362318840579711,0.782608695652174
