n,order_json,order_compact,order_hash,generation_mode,seed,attempt_kind,predicted_surrogate_reward_lex,candidate_source,ppo_checkpoint,teacher_validated,abaqus_validated,legal_order,legality,predicted_reward_u2_primary,predicted_cost_u2_norm,predicted_cost_peeq_norm,predicted_cost_surfacet_norm,predicted_cost_mises_norm,mean_abs_jump,max_abs_jump,adjacent_jump_fraction,parity_switch_fraction,early_center_bias,early_edge_bias,attempt_index,duplicate_order_hash_in_combined552,minimum_hamming_distance_to_sameN_combined552,mean_hamming_distance_to_sameN_combined552,maximum_hamming_distance_to_sameN_combined552,selection_tag,batch_index,strategy_name
16,"[15,11,3,1,13,9,7,5,0,2,4,6,8,10,12,14]","15,11,3,1,13,9,7,5,0,2,4,6,8,10,12,14",2241e69d0c7b020f,stochastic,21860929,stochastic,0.9131284243933823,PPO_checkpoint_inference,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v01\ppo_training\checkpoints\maskable_ppo_lam_scan_order_final.zip,False,False,True,legal_permutation,0.910959088761412,0.0660172619528352,0.19081783160332713,0.23457167520968514,0.8896009657348406,3.533333333333333,12.0,0.0,0.06666666666666667,0.7333333333333334,0.26666666666666666,306,False,7,15.435897435897436,16,surrogate_top,4,PPOV01_N16_B04_surrogate_top
16,"[11,3,1,15,13,5,9,7,0,2,4,6,8,10,12,14]","11,3,1,15,13,5,9,7,0,2,4,6,8,10,12,14",f0a3e7f21b353202,stochastic,21860639,stochastic,0.8355004799605253,PPO_checkpoint_inference,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v01\ppo_training\checkpoints\maskable_ppo_lam_scan_order_final.zip,False,False,True,legal_permutation,0.7783492417714682,0.06322321954161857,0.1633443181498916,0.2769533953798087,0.8292932787729325,4.066666666666666,14.0,0.0,0.06666666666666667,0.7333333333333334,0.26666666666666666,16,False,7,15.384615384615385,16,diverse_tophalf,5,PPOV01_N16_B05_diverse_tophalf
16,"[11,3,1,15,13,9,7,5,0,2,4,6,8,12,14,10]","11,3,1,15,13,9,7,5,0,2,4,6,8,12,14,10",450d44b1ee439317,stochastic,21860975,stochastic,0.8819670057696751,PPO_checkpoint_inference,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v01\ppo_training\checkpoints\maskable_ppo_lam_scan_order_final.zip,False,False,True,legal_permutation,0.8584094450832598,0.07640598147743646,0.1929483902417249,0.26418385716223064,0.8229443327593658,3.8,14.0,0.0,0.06666666666666667,0.7333333333333334,0.26666666666666666,352,False,11,15.58974358974359,16,diverse_tophalf,6,PPOV01_N16_B06_diverse_tophalf
16,"[11,3,1,15,13,9,7,5,0,2,4,6,8,10,14,12]","11,3,1,15,13,9,7,5,0,2,4,6,8,10,14,12",a0c36473fb84cafc,stochastic,21860641,stochastic,0.8917884200541297,PPO_checkpoint_inference,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v01\ppo_training\checkpoints\maskable_ppo_lam_scan_order_final.zip,False,False,True,legal_permutation,0.8539853141966706,0.06888742077786342,0.16267027890696545,0.281030824227853,0.7649530933052588,3.6666666666666665,14.0,0.0,0.06666666666666667,0.7333333333333334,0.26666666666666666,18,False,10,15.538461538461538,16,novelty_tophalf,7,PPOV01_N16_B07_novelty_tophalf
16,"[11,1,3,13,15,9,7,5,0,2,4,6,8,10,12,14]","11,1,3,13,15,9,7,5,0,2,4,6,8,10,12,14",0850e3362b7cf8ec,stochastic,21860647,stochastic,0.9037961437731936,PPO_checkpoint_inference,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v01\ppo_training\checkpoints\maskable_ppo_lam_scan_order_final.zip,False,False,True,legal_permutation,0.8575825125464497,0.0932933588630247,0.20921375421085509,0.3311358647637206,0.8865142685731818,3.533333333333333,10.0,0.0,0.06666666666666667,0.6666666666666667,0.3333333333333333,24,False,6,15.397435897435898,16,stochastic_highreward,8,PPOV01_N16_B08_stochastic_highreward
24,"[11,1,3,15,23,21,19,17,13,9,7,5,0,2,6,8,4,10,16,18,20,22,14,12]","11,1,3,15,23,21,19,17,13,9,7,5,0,2,6,8,4,10,16,18,20,22,14,12",df821abc1c971d88,deterministic,20500623,deterministic,0.8505618707512,PPO_checkpoint_inference,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v01\ppo_training\checkpoints\maskable_ppo_lam_scan_order_final.zip,False,False,True,legal_permutation,0.7948306716815331,0.07353679735149678,0.15719828719081888,0.3858870691230124,0.7336511269641521,4.130434782608695,12.0,0.0,0.043478260869565216,0.6376811594202899,0.36231884057971014,0,False,19,23.3,24,deterministic,1,PPOV01_N24_B01_deterministic
24,"[11,3,1,15,23,21,13,17,19,22,9,7,5,0,2,4,6,8,10,12,16,20,18,14]","11,3,1,15,23,21,13,17,19,22,9,7,5,0,2,4,6,8,10,12,16,20,18,14",439833e86223ed31,stochastic,22660847,stochastic,1.0091418759102673,PPO_checkpoint_inference,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v01\ppo_training\checkpoints\maskable_ppo_lam_scan_order_final.zip,False,False,True,legal_permutation,0.9732877712955779,0.02328660153069216,0.2798926437850554,0.4139141974722928,0.5788089641048716,4.304347826086956,14.0,0.0,0.13043478260869565,0.6376811594202899,0.36231884057971014,224,False,13,20.689473684210526,24,surrogate_top,2,PPOV01_N24_B02_surrogate_top
24,"[11,1,3,15,21,23,19,17,13,22,9,7,5,0,2,6,8,4,10,12,16,18,20,14]","11,1,3,15,21,23,19,17,13,22,9,7,5,0,2,6,8,4,10,12,16,18,20,14",6c63f73cf47f85c7,stochastic,22661132,stochastic,0.9761133439198456,PPO_checkpoint_inference,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v01\ppo_training\checkpoints\maskable_ppo_lam_scan_order_final.zip,False,False,True,legal_permutation,0.943520162220567,0.007317204977995779,0.27995479923579436,0.4077378747117616,0.676811804147552,4.6521739130434785,13.0,0.0,0.13043478260869565,0.6376811594202899,0.36231884057971014,509,False,18,22.089473684210525,24,surrogate_top,3,PPOV01_N24_B03_surrogate_top
24,"[11,3,1,15,23,21,13,17,22,19,9,7,5,0,2,6,8,4,10,12,16,18,20,14]","11,3,1,15,23,21,13,17,22,19,9,7,5,0,2,6,8,4,10,12,16,18,20,14",30e6b90605fe207b,stochastic,22660794,stochastic,0.953713022597192,PPO_checkpoint_inference,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v01\ppo_training\checkpoints\maskable_ppo_lam_scan_order_final.zip,False,False,True,legal_permutation,0.9380979453749628,0.01137043518742784,0.25842320870140895,0.38389010099609394,0.683176238496805,4.6521739130434785,14.0,0.0,0.13043478260869565,0.6376811594202899,0.36231884057971014,171,False,18,22.05263157894737,24,surrogate_top,4,PPOV01_N24_B04_surrogate_top
24,"[11,3,1,15,21,23,19,13,9,7,17,5,0,2,6,8,10,4,12,16,18,20,22,14]","11,3,1,15,21,23,19,13,9,7,17,5,0,2,6,8,10,4,12,16,18,20,22,14",a8f881f2ef3f71e2,stochastic,22660924,stochastic,0.8320582604183068,PPO_checkpoint_inference,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v01\ppo_training\checkpoints\maskable_ppo_lam_scan_order_final.zip,False,False,True,legal_permutation,0.7288817403682472,0.06966040908654156,0.14895493073217733,0.37908942202563917,0.7297725491343742,5.086956521739131,14.0,0.0,0.043478260869565216,0.6376811594202899,0.36231884057971014,301,False,16,23.18421052631579,24,diverse_tophalf,5,PPOV01_N24_B05_diverse_tophalf
