regime,target,feature_set,model,macro_spearman,macro_top5_overlap,macro_top10_overlap,mean_mae,protocols
native_combined432,target_reward_combined432_constrained_u2_reward_balanced,F07_F01_no_n,ExtraTreesRegressor,0.8075271720802665,1.5,5.25,0.10117582428894487,4
native_combined432,target_reward_combined432_N16_recovery,F07_F01_no_n,ExtraTreesRegressor,0.7849932484065073,1.0,5.0,0.10126613852954561,4
plus_N32_balanced,target_reward_combined432_plus_N32_mapped_u2_primary,F07_F01_no_n,GradientBoostingRegressor,0.7689994531218576,0.8,3.2,0.1306527718547829,5
plus_N32_balanced,target_reward_combined432_plus_N32_mapped_u2_primary,F07_F01_no_n,ExtraTreesRegressor,0.7675933244018096,0.6,3.0,0.12736271080864822,5
native_combined432,target_reward_combined432_u2_primary,F07_F01_no_n,ExtraTreesRegressor,0.7668519098863794,1.0,3.75,0.1151288782617387,4
native_combined432,target_reward_combined432_u2_primary,F01_basic_order,ExtraTreesRegressor,0.7651540289876402,0.75,3.5,0.10958145166232117,4
plus_N32_unweighted,target_reward_combined432_plus_N32_mapped_u2_primary,F01_basic_order,RandomForestRegressor,0.7647308165946214,0.8,3.4,0.13044352793032538,5
plus_N32_balanced,target_reward_combined432_plus_N32_mapped_u2_primary,F01_basic_order,RandomForestRegressor,0.7629655311089895,0.8,2.6,0.13304386252291683,5
plus_N32_balanced,target_reward_combined432_plus_N32_mapped_u2_primary,F01_basic_order,GradientBoostingRegressor,0.7623546600226991,0.8,3.4,0.13377422750849818,5
plus_N32_unweighted,target_reward_combined432_plus_N32_mapped_u2_primary,F07_F01_no_n,RandomForestRegressor,0.7600343787847432,1.0,3.8,0.12885392493365097,5
native_combined432,target_reward_combined432_N12_recovery,F01_basic_order,ExtraTreesRegressor,0.7594623814283538,0.75,3.75,0.0992512448413739,4
native_combined432,target_reward_combined432_variable_N_recovery,F07_F01_no_n,ExtraTreesRegressor,0.7575300751456656,1.5,4.25,0.09955955611952681,4
native_combined432,target_reward_combined432_u2_primary,F07_F01_no_n,RandomForestRegressor,0.757409394175699,1.0,3.75,0.11368018111139938,4
native_combined432,target_reward_combined432_N12_recovery,F07_F01_no_n,RandomForestRegressor,0.7566205437650624,1.0,4.0,0.10270449962082576,4
native_combined432,target_reward_combined432_N16_recovery,F07_F01_no_n,RandomForestRegressor,0.756609262633247,1.5,4.0,0.1028907040353818,4
plus_N32_balanced,target_reward_combined432_plus_N32_mapped_u2_primary,F01_basic_order,ExtraTreesRegressor,0.7560996286338995,1.0,2.8,0.13340265807152024,5
plus_N32_unweighted,target_reward_combined432_plus_N32_mapped_u2_primary,F07_F01_no_n,GradientBoostingRegressor,0.7559514941249545,1.0,3.2,0.1334875061037863,5
plus_N32_unweighted,target_reward_combined432_plus_N32_mapped_u2_primary,F03_family_plus_features,RandomForestRegressor,0.7559033054243849,0.6,2.6,0.12886748568530218,5
native_combined432,target_reward_combined432_u2_primary,F05_n_agnostic,ExtraTreesRegressor,0.7555463458135814,0.75,3.0,0.11293536712594379,4
plus_N32_balanced,target_reward_combined432_plus_N32_mapped_u2_primary,F07_F01_no_n,RandomForestRegressor,0.7550046198592005,0.8,2.8,0.12973411983048538,5
