"snapshot_time","n","case_dir_count","inp","cae","odb","sim","sta","dat","msg","lck"
"2026-06-23T19:37:20.1323350+08:00","12","8","8","8","0","0","0","0","0","0"
"2026-06-23T19:37:20.1423510+08:00","16","8","8","8","0","0","0","0","0","0"
"2026-06-23T19:37:20.1473528+08:00","24","8","8","8","0","0","0","0","0","0"
"2026-06-23T19:37:20.1528921+08:00","40","8","8","8","0","0","0","0","0","0"
