candidate_id,strategy_name,n,candidate_source,generation_method,selection_bucket,priority_role,surrogate_prediction,predicted_u2_guarded_score,predicted_peeq_guarded_score,predicted_surfaceT_guarded_score,predicted_mises_guarded_score,strict_penalty_guard_score,penalty_repair_score,two_stage_guarded_score,two_stage_penalty_repair_score,no_penalty_worse_than_median_score,N24_maintenance_score,N40_u2_reward_retention_score,N40_penalty_repair_score,gnn_reward_prediction,graph_pointer_policy_score,hybrid_score,constrained_score,uncertainty_score,gnn_vs_surrogate_disagreement,novelty_distance,nearest_existing_teacher_strategy,order_json,order_compact,order_hash,first_track_norm,last_track_norm,normalized_mean_jump,normalized_max_jump,adjacent_jump_count,long_jump_count,parity_switch_rate,monotonicity_fraction,direction_reversal_count,odd_even_transition_count,mean_signed_jump,jump_std_norm,edge_visit_early_fraction,center_visit_early_fraction,pred_rank_constrained_within_n,batch_option,handoff_strategy_name,teacher_validated,teacher_validation_status,source_from_original_option_A,added_as_extra_N24,custom_batch_source
R58_N24_C00493,N24_R58_N24_C00493_N24_penalty_repair_diagnostic,24.0,N24_penalty_repair_diagnostic,offline_mutation_or_pointer_proxy,N24_penalty_repair_diagnostic,constrained_reward_balance,0.7347169811320757,0.7350194385989944,0.7122169811320758,0.7347169811320757,0.7347169811320757,0.7280879641188432,0.7280577183721514,0.730327082738881,0.7289728412454973,0.7122169811320758,0.732373984912794,0.729243209865535,0.7280577183721514,0.7070674323215752,0.833648393194707,0.7325577183721513,0.7278720378428508,0.0364262207916204,0.0276495488105005,0.3333333333333333,S3R44CNS_N24_B15_uncertainty,"[22,14,12,10,8,6,4,2,0,23,21,19,11,1,3,5,7,9,13,15,17,16,18,20]",22-14-12-10-8-6-4-2-0-23-21-19-11-1-3-5-7-9-13-15-17-16-18-20,fcbafd8c402f16e8,0.9565217391304348,0.8695652173913043,0.166351606805293,1.0,1.0,1.0,0.0869565217391304,0.0434782608695652,5.0,2.0,-0.0037807183364839,0.2037908888462974,0.0,0.1666666666666666,93.0,,,,,False,True,run58_candidate_pool_extra_N24
R58_N24_C00801,N24_R58_N24_C00801_N24_uncertainty_calibration,24.0,N24_uncertainty_calibration,offline_mutation_or_pointer_proxy,N24_uncertainty_calibration,constrained_reward_balance,0.624579514824798,0.6278309325941742,0.602079514824798,0.624579514824798,0.624579514824798,0.6191300819325485,0.6188049401556109,0.6218115445979548,0.6198675110440797,0.602079514824798,0.6244010554675201,0.6205802237094862,0.6188049401556109,0.60220502988398,0.8204158790170133,0.6233049401556109,0.6190026244656298,0.0346373001307941,0.022374484940818,0.7083333333333334,S3R54CAL64_N24_B17_two_stage_repair,"[22,17,15,13,9,20,18,16,14,12,10,8,6,4,2,0,23,21,19,11,1,3,5,7]",22-17-15-13-9-20-18-16-14-12-10-8-6-4-2-0-23-21-19-11-1-3-5-7,6ed85c81881004c9,0.9565217391304348,0.3043478260869565,0.1795841209829867,1.0,0.0,1.0,0.1304347826086956,0.0,5.0,3.0,-0.0283553875236294,0.2088312208641432,0.0,0.0,294.0,,,,,False,True,run58_candidate_pool_extra_N24
R58_N24_C00517,N24_R58_N24_C00517_N24_diversity_coverage,24.0,N24_diversity_coverage,offline_mutation_or_pointer_proxy,N24_diversity_coverage,constrained_reward_balance,0.3443396226415095,0.4076288475942505,0.3348831009023791,0.3384759862778732,0.3443396226415095,0.3656456288281395,0.3590235245146836,0.1019072118985626,0.0815257695188501,0.3348831009023791,0.3891588248240151,0.372740559228552,0.3590235245146836,0.3505660377358491,0.5822306238185255,0.3617943743170551,0.3676549676320577,0.0791175654428281,0.0062264150943396,0.8333333333333334,S3R39N2440B60_N24_B16_surrogate_top,"[21,14,7,0,17,10,3,20,13,6,23,16,9,2,19,12,5,22,15,8,1,18,11,4]",21-14-7-0-17-10-3-20-13-6-23-16-9-2-19-12-5-22-15-8-1-18-11-4,c8e65c9c58288448,0.9130434782608696,0.1739130434782608,0.4177693761814744,0.7391304347826086,0.0,6.0,1.0,0.0,12.0,23.0,-0.0321361058601134,0.1909169175493776,0.1666666666666666,0.0,1809.0,,,,,False,True,run58_candidate_pool_extra_N24
R58_N24_C02514,N24_R58_N24_C02514_N24_u2_reward_maintenance,24.0,N24_u2_reward_maintenance,offline_mutation_or_pointer_proxy,N24_u2_reward_maintenance,constrained_reward_balance,0.6876242138364782,0.6873217563695595,0.6651242138364782,0.6876242138364782,0.6876242138364782,0.6807532308497107,0.6807834765964026,0.6829016122296729,0.6816683537230567,0.6651242138364782,0.6848372100557598,0.6818479851030189,0.6807834765964026,0.6618583757178016,0.8185255198487713,0.6852834765964025,0.6805191571257032,0.024258681415359,0.0257658381186766,0.7083333333333334,S3R49SCN_N24_B01_strict_guard,"[8,6,4,2,0,23,17,15,13,9,7,5,3,1,11,19,21,22,10,12,14,16,18,20]",8-6-4-2-0-23-17-15-13-9-7-5-3-1-11-19-21-22-10-12-14-16-18-20,8a0e6e8eb4faa391,0.3478260869565217,0.8695652173913043,0.1814744801512287,1.0,1.0,2.0,0.0869565217391304,0.0434782608695652,5.0,2.0,0.0226843100189035,0.2132506125931549,0.3333333333333333,0.0,144.0,,,,,False,True,run58_candidate_pool_extra_N24
R58_N24_C02112,N24_R58_N24_C02112_N24_u2_reward_maintenance,24.0,N24_u2_reward_maintenance,offline_mutation_or_pointer_proxy,N24_u2_reward_maintenance,constrained_reward_balance,0.731179245283019,0.7313304740164783,0.7086792452830191,0.731179245283019,0.731179245283019,0.7244897367764027,0.7244746139030569,0.7267061710864218,0.7253821753397298,0.7086792452830191,0.7287252471733782,0.7256298596497487,0.7244746139030569,0.7036712059064808,0.829867674858223,0.7289746139030568,0.7242692736384067,0.0252785995427073,0.0275080393765382,0.5416666666666666,S3R44CNS_N24_B02_reward_balanced,"[14,12,10,8,6,4,2,0,23,17,15,13,9,7,5,3,1,11,19,21,22,16,18,20]",14-12-10-8-6-4-2-0-23-17-15-13-9-7-5-3-1-11-19-21-22-16-18-20,44dcaacdbad42f7f,0.6086956521739131,0.8695652173913043,0.1701323251417769,1.0,1.0,1.0,0.0869565217391304,0.0434782608695652,5.0,2.0,0.0113421550094517,0.2014629830056515,0.0,0.1666666666666666,94.0,,,,,False,True,run58_candidate_pool_extra_N24
R58_N40_C00092,N40_R58_N40_C00092_N40_u2_reward_retention_top,40.0,N40_u2_reward_retention_top,existing_pool_selection,N40_u2_reward_retention_top,constrained_reward_balance,0.7202830188679245,0.7234125389205215,0.7202830188679245,0.7202830188679245,0.7202830188679245,0.7215348268889632,0.7212218748837035,0.7220042548968528,0.7213783508863334,0.7202830188679245,0.7218477788942229,0.7213783508863334,0.7210653988810737,0.6930101596516689,0.9243918474687706,0.7212218748837036,0.7083974172900152,0.0208537626946007,0.0272728592162555,0.05,S3R54CAL64_N40_B12_penalty_repair,"[4,3,5,7,9,11,13,15,17,19,24,26,28,30,32,38,36,34,22,20,18,16,14,12,10,8,6,0,2,1,21,23,25,27,29,31,33,35,37,39]",4-3-5-7-9-11-13-15-17-19-24-26-28-30-32-38-36-34-22-20-18-16-14-12-10-8-6-0-2-1-21-23-25-27-29-31-33-35-37-39,2111f63fa8a24a1f,0.1025641025641025,1.0,0.0756081525312294,0.5128205128205128,2.0,1.0,0.0769230769230769,0.0512820512820512,5.0,3.0,0.0230111768573307,0.0853283607253523,0.0,0.1,3.0,N40_focused_calibrated_penalty_repair_batch32,S3R58N40_N40_B01_n40_u2ret_top,False,NOT_RUN,True,False,run58_option_A
R58_N40_C00642,N40_R58_N40_C00642_N40_u2_reward_retention_top,40.0,N40_u2_reward_retention_top,existing_pool_selection,N40_u2_reward_retention_top,constrained_reward_balance,0.7119202044025156,0.7151023214307864,0.7119202044025156,0.7119202044025156,0.7119202044025156,0.7131930512138239,0.7128748395109968,0.7136703687680646,0.7130339453624104,0.7119202044025156,0.713511262916651,0.7130339453624104,0.7127157336595833,0.6849818577648764,0.925706771860618,0.7128748395109967,0.7000566935543894,0.0091514274602505,0.0269383466376391,0.05,S3R54CAL64_N40_B12_penalty_repair,"[0,3,5,7,9,11,13,15,17,19,22,26,28,30,32,38,36,34,24,20,18,16,14,12,10,8,6,4,2,1,21,23,25,27,29,31,33,35,37,39]",0-3-5-7-9-11-13-15-17-19-22-26-28-30-32-38-36-34-24-20-18-16-14-12-10-8-6-4-2-1-21-23-25-27-29-31-33-35-37-39,43beaa0f788be14e,0.0,1.0,0.0742932281393819,0.5128205128205128,1.0,1.0,0.0769230769230769,0.0256410256410256,2.0,3.0,0.0256410256410256,0.0804149104611211,0.1,0.1,10.0,N40_focused_calibrated_penalty_repair_batch32,S3R58N40_N40_B02_n40_u2ret_top,False,NOT_RUN,True,False,run58_option_A
R58_N40_C03888,N40_R58_N40_C03888_N40_u2_reward_retention_top,40.0,N40_u2_reward_retention_top,existing_pool_selection,N40_u2_reward_retention_top,constrained_reward_balance,0.7119202044025156,0.7151023214307864,0.7119202044025156,0.7119202044025156,0.7119202044025156,0.7131930512138239,0.7128748395109968,0.7136703687680646,0.7130339453624104,0.7119202044025156,0.713511262916651,0.7130339453624104,0.7127157336595833,0.6849818577648764,0.925706771860618,0.7128748395109967,0.7000566935543894,0.0061339542302891,0.0269383466376391,0.05,S3R54CAL64_N40_B12_penalty_repair,"[0,3,5,7,9,11,13,15,17,19,24,26,28,30,32,36,38,34,22,20,18,16,14,12,10,8,6,4,2,1,21,23,25,27,29,31,33,35,37,39]",0-3-5-7-9-11-13-15-17-19-24-26-28-30-32-36-38-34-22-20-18-16-14-12-10-8-6-4-2-1-21-23-25-27-29-31-33-35-37-39,780b3d41ea73762d,0.0,1.0,0.0742932281393819,0.5128205128205128,1.0,1.0,0.0769230769230769,0.0256410256410256,2.0,3.0,0.0256410256410256,0.0832981510307,0.1,0.1,15.0,N40_focused_calibrated_penalty_repair_batch32,S3R58N40_N40_B03_n40_u2ret_top,False,NOT_RUN,True,False,run58_option_A
R58_N40_C04562,N40_R58_N40_C04562_N40_u2_reward_retention_local_repair,40.0,N40_u2_reward_retention_local_repair,offline_mutation_or_pointer_proxy,N40_u2_reward_retention_local_repair,constrained_reward_balance,0.7119202044025157,0.7151023214307866,0.7119202044025157,0.7119202044025157,0.7119202044025157,0.713193051213824,0.712874839510997,0.7136703687680648,0.7130339453624105,0.7119202044025157,0.7135112629166511,0.7130339453624105,0.7127157336595834,0.6849818577648765,0.925706771860618,0.7128748395109968,0.7090566935543895,0.0035831804373324,0.0269383466376391,0.125,S3R49SCN_N40_B15_mises_repair,"[0,3,5,7,9,11,13,15,17,19,24,26,34,36,38,32,30,28,22,20,18,16,14,12,10,8,6,4,2,1,21,23,25,27,29,31,33,35,37,39]",0-3-5-7-9-11-13-15-17-19-24-26-34-36-38-32-30-28-22-20-18-16-14-12-10-8-6-4-2-1-21-23-25-27-29-31-33-35-37-39,338a4d92a6b93af9,0.0,1.0,0.0742932281393819,0.5128205128205128,1.0,1.0,0.0769230769230769,0.0256410256410256,2.0,3.0,0.0256410256410256,0.0791470894233382,0.1,0.1,1.0,N40_focused_calibrated_penalty_repair_batch32,S3R58N40_N40_B04_n40_u2retrepair,False,NOT_RUN,True,False,run58_option_A
R58_N40_C06313,N40_R58_N40_C06313_N40_u2_reward_retention_local_repair,40.0,N40_u2_reward_retention_local_repair,offline_mutation_or_pointer_proxy,N40_u2_reward_retention_local_repair,constrained_reward_balance,0.7119202044025157,0.7151023214307866,0.7119202044025157,0.7119202044025157,0.7119202044025157,0.713193051213824,0.712874839510997,0.7136703687680648,0.7130339453624105,0.7119202044025157,0.7135112629166511,0.7130339453624105,0.7127157336595834,0.6849818577648765,0.925706771860618,0.7128748395109968,0.7090566935543895,0.0129701358524501,0.0269383466376391,0.125,S3R44CNS_N40_B07_surfacet_guarded,"[0,3,5,7,9,11,13,15,17,19,24,34,36,38,32,30,28,26,22,20,18,16,14,12,10,8,6,4,2,1,21,23,25,27,29,31,33,35,37,39]",0-3-5-7-9-11-13-15-17-19-24-34-36-38-32-30-28-26-22-20-18-16-14-12-10-8-6-4-2-1-21-23-25-27-29-31-33-35-37-39,d97f5f24b924530b,0.0,1.0,0.0742932281393819,0.5128205128205128,1.0,1.0,0.0769230769230769,0.0256410256410256,2.0,3.0,0.0256410256410256,0.0808330986945624,0.1,0.1,2.0,N40_focused_calibrated_penalty_repair_batch32,S3R58N40_N40_B05_n40_u2retrepair,False,NOT_RUN,True,False,run58_option_A
