n,count,mean_surrogate_prediction,mean_gnn_reward_prediction,mean_hybrid_score,mean_gnn_vs_surrogate_disagreement,mean_novelty_distance_to_combined172,candidate_source_composition,selection_bucket_composition
12,4,0.5721457923967694,0.5093538997634786,0.47419509249016406,0.09548254708824545,0.22348484848484848,"{'graph_pointer_beam_search': 1, 'gnn_reward_local_search': 1, 'surrogate_known_best_local_search': 2}","{'gnn_policy_top_candidates': 1, 'hybrid_gnn_surrogate_agreement': 1, 'hybrid_gnn_surrogate_disagreement': 1, 'surrogate_known_best_local_search': 1}"
16,4,0.7987564001629478,0.663503623336796,0.6411434389346675,0.1352527768261519,0.049999999999999996,{'N16_new_best_neighborhood': 4},{'new_best_local_search': 4}
24,12,0.660755552463729,0.5442075097114284,0.5201645223686725,0.11864729331467201,0.10265700483091789,"{'graph_pointer_beam_search': 2, 'sentinel_control': 1, 'gnn_reward_local_search': 1, 'surrogate_known_best_local_search': 5, 'N24_surfaceT_best_neighborhood': 3}","{'gnn_policy_top_candidates': 2, 'hybrid_gnn_surrogate_agreement': 2, 'hybrid_gnn_surrogate_disagreement': 2, 'surrogate_known_best_local_search': 2, 'N24_surfaceT_best_neighborhood': 3, 'uncertainty_calibration': 1}"
40,12,0.7625781141410806,0.6526043656987558,0.5986348479744908,0.11573021911655983,0.03429487179487179,"{'N40_new_best_neighborhood': 4, 'graph_pointer_beam_search': 2, 'surrogate_known_best_local_search': 6}","{'new_best_local_search': 4, 'gnn_policy_top_candidates': 2, 'hybrid_gnn_surrogate_disagreement': 2, 'surrogate_known_best_local_search': 2, 'uncertainty_calibration': 2}"
