n,strategy_name,mean_jump_norm,median_jump_norm,max_jump_norm,min_jump_norm,std_jump_norm,count_jump_1,count_jump_le_2,count_jump_ge_0_25N,count_jump_ge_0_50N,edge_mean_step_norm,center_mean_step_norm,edge_before_center_score,left_right_mean_abs_imbalance,left_right_max_abs_imbalance,dispersion_score_norm,adjacent_transition_count,repeated_neighbor_transition_rate
12,N12_A01_raster_left_to_right,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.0,11,11,0,0,0.5,0.5,0.0,3.0,6,0.3939393939393939,11,1.0
12,N12_A02_odd_even_interlaced,0.23966942148760328,0.18181818181818182,0.8181818181818182,0.18181818181818182,0.18294168281965828,0,10,1,1,0.5,0.5,0.0,1.5,3,0.3939393939393939,0,0.0
12,N12_A03_greedy_maximin_distance,0.2975206611570248,0.18181818181818182,1.0,0.09090909090909091,0.27435029211070794,4,7,4,3,0.045454545454545456,0.45454545454545453,0.40909090909090906,1.5,4,0.3939393939393939,4,0.36363636363636365
12,N12_A04_method_c_u2_first_engineering,0.23966942148760328,0.18181818181818182,0.5454545454545454,0.18181818181818182,0.12424211882952817,0,9,2,1,0.5,0.4090909090909091,-0.09090909090909088,1.5,3,0.3939393939393939,0,0.0
12,N12_A05_center_out,0.5454545454545454,0.5454545454545454,1.0,0.09090909090909091,0.2874797872880345,1,2,9,6,0.9545454545454546,0.045454545454545456,-0.9090909090909092,0.5,1,0.3939393939393939,1,0.09090909090909091
12,N12_A06_edge_in_alternating,0.5454545454545454,0.5454545454545454,1.0,0.09090909090909091,0.2874797872880345,1,2,9,6,0.045454545454545456,0.9545454545454546,0.9090909090909092,0.5,1,0.3939393939393939,1,0.09090909090909091
12,N12_A07_regular_jump_coprime,0.5206611570247934,0.45454545454545453,0.6363636363636364,0.45454545454545453,0.08746285325833357,0,0,11,4,0.3181818181818182,0.3181818181818182,0.0,1.0,2,0.3939393939393939,0,0.0
12,N12_A08_block_interleaved_quarters,0.35537190082644626,0.2727272727272727,0.7272727272727273,0.2727272727272727,0.17531573087269772,0,0,11,2,0.5,0.5,0.0,1.0,2,0.3939393939393939,0,0.0
12,N12_A09_center_edge_alternating,0.4132231404958678,0.45454545454545453,0.6363636363636364,0.09090909090909091,0.19133614715355743,2,2,9,5,0.18181818181818182,0.09090909090909091,-0.09090909090909091,1.0,2,0.3939393939393939,2,0.18181818181818182
12,N12_A10_graph_pointer_policy_zero_shot_or_proxy_best,0.47107438016528924,0.36363636363636365,1.0,0.09090909090909091,0.28961017302372283,1,3,8,4,0.045454545454545456,0.4090909090909091,0.36363636363636365,1.3333333333333333,3,0.3939393939393939,1,0.09090909090909091
12,N12_A11_graph_pointer_policy_diverse_01,0.4049586776859504,0.45454545454545453,0.8181818181818182,0.09090909090909091,0.21360079311272867,1,3,8,4,0.09090909090909091,0.45454545454545453,0.36363636363636365,1.0,2,0.3939393939393939,1,0.09090909090909091
12,N12_A12_graph_pointer_policy_diverse_02,0.5785123966942148,0.5454545454545454,1.0,0.09090909090909091,0.26368687824039366,1,1,10,7,0.7727272727272727,0.9545454545454546,0.18181818181818188,0.5,1,0.3939393939393939,1,0.09090909090909091
12,N12_A13_graph_pointer_policy_anti_odd_even_novelty,0.5041322314049587,0.45454545454545453,1.0,0.09090909090909091,0.29102176630841337,2,2,9,5,0.9545454545454546,0.4090909090909091,-0.5454545454545454,0.5,1,0.3939393939393939,2,0.18181818181818182
12,N12_A14_graph_pointer_policy_u2first_proxy,0.4049586776859504,0.36363636363636365,0.8181818181818182,0.09090909090909091,0.2272351584275623,1,3,8,3,0.5,0.18181818181818182,-0.3181818181818182,1.6666666666666667,3,0.3939393939393939,1,0.09090909090909091
12,N12_A15_graph_pointer_policy_balanced_dispersion_proxy,0.3305785123966942,0.36363636363636365,0.7272727272727273,0.09090909090909091,0.20611510600561858,3,5,6,2,0.09090909090909091,0.18181818181818182,0.09090909090909091,0.8333333333333334,2,0.3939393939393939,3,0.2727272727272727
16,N16_A01_raster_left_to_right,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.0,15,15,0,0,0.5,0.5,0.0,4.0,8,0.3777777777777778,15,1.0
16,N16_A02_odd_even_interlaced,0.18222222222222223,0.13333333333333333,0.8666666666666667,0.13333333333333333,0.1829254722422816,0,14,1,1,0.5,0.5,0.0,2.0,4,0.3777777777777778,0,0.0
16,N16_A03_greedy_maximin_distance,0.3111111111111111,0.13333333333333333,1.0,0.06666666666666667,0.2707100859171744,1,8,7,4,0.4,0.4666666666666667,0.06666666666666665,1.375,4,0.3777777777777778,1,0.06666666666666667
16,N16_A04_method_c_u2_first_engineering,0.18222222222222223,0.13333333333333333,0.5333333333333333,0.13333333333333333,0.1252355804764922,0,13,2,1,0.55,0.4,-0.15000000000000002,2.0,4,0.3777777777777778,0,0.0
16,N16_A05_center_out,0.5333333333333333,0.5333333333333333,1.0,0.06666666666666667,0.28803291992923824,1,2,12,8,0.9,0.03333333333333333,-0.8666666666666667,0.5,1,0.3777777777777778,1,0.06666666666666667
16,N16_A06_edge_in_alternating,0.5333333333333333,0.5333333333333333,1.0,0.06666666666666667,0.28803291992923824,1,2,12,8,0.1,0.9666666666666667,0.8666666666666667,0.5,1,0.3777777777777778,1,0.06666666666666667
16,N16_A07_regular_jump_coprime,0.44,0.3333333333333333,0.7333333333333333,0.3333333333333333,0.17688665548562132,0,0,15,4,0.36666666666666664,0.6333333333333333,0.26666666666666666,0.75,2,0.3777777777777778,0,0.0
16,N16_A08_block_interleaved_quarters,0.36000000000000004,0.26666666666666666,0.7333333333333333,0.26666666666666666,0.18666666666666665,0,0,15,3,0.5,0.5,0.0,1.0,2,0.3777777777777778,0,0.0
16,N16_A09_center_edge_alternating,0.40444444444444444,0.4666666666666667,0.6,0.06666666666666667,0.18453812881801507,2,2,11,7,0.26666666666666666,0.06666666666666667,-0.2,1.0,2,0.3777777777777778,2,0.13333333333333333
16,N16_A10_graph_pointer_policy_zero_shot_or_proxy_best,0.3688888888888889,0.3333333333333333,1.0,0.06666666666666667,0.2940059628185107,3,3,8,3,0.5,0.36666666666666664,-0.13333333333333336,1.875,4,0.3777777777777778,3,0.2
16,N16_A11_graph_pointer_policy_diverse_01,0.4266666666666667,0.3333333333333333,0.8666666666666667,0.06666666666666667,0.22939534045447005,1,2,12,6,0.18333333333333332,0.8666666666666667,0.6833333333333333,0.875,2,0.3777777777777778,1,0.06666666666666667
16,N16_A12_graph_pointer_policy_diverse_02,0.5555555555555556,0.5333333333333333,1.0,0.06666666666666667,0.2739739556875101,1,2,13,9,0.7,0.9,0.20000000000000007,0.5,1,0.3777777777777778,1,0.06666666666666667
