n,strategy_a,strategy_b,directed_adjacent_pair_overlap,undirected_adjacent_pair_overlap,kendall_tau_normalized_distance,spearman_rank_distance,jump_profile_distance
12,N12_A01_raster_left_to_right,N12_A02_odd_even_interlaced,0.0,0.0,0.22727272727272727,0.19230769230769232,0.1487603305785124
12,N12_A01_raster_left_to_right,N12_A03_greedy_maximin_distance,0.2727272727272727,0.36363636363636365,0.3181818181818182,0.3181818181818182,0.20661157024793386
12,N12_A01_raster_left_to_right,N12_A04_method_c_u2_first_engineering,0.0,0.0,0.2727272727272727,0.2202797202797203,0.14876033057851237
12,N12_A01_raster_left_to_right,N12_A05_center_out,0.09090909090909091,0.09090909090909091,0.45454545454545453,0.4370629370629371,0.45454545454545453
12,N12_A01_raster_left_to_right,N12_A06_edge_in_alternating,0.09090909090909091,0.09090909090909091,0.45454545454545453,0.4370629370629371,0.45454545454545453
12,N12_A01_raster_left_to_right,N12_A07_regular_jump_coprime,0.0,0.0,0.42424242424242425,0.3916083916083916,0.4297520661157025
12,N12_A01_raster_left_to_right,N12_A08_block_interleaved_quarters,0.0,0.0,0.2727272727272727,0.23076923076923078,0.2644628099173553
12,N12_A01_raster_left_to_right,N12_A09_center_edge_alternating,0.09090909090909091,0.18181818181818182,0.4090909090909091,0.3741258741258741,0.32231404958677684
12,N12_A01_raster_left_to_right,N12_A10_graph_pointer_policy_zero_shot_or_proxy_best,0.0,0.09090909090909091,0.3787878787878788,0.3531468531468531,0.38016528925619836
12,N12_A01_raster_left_to_right,N12_A11_graph_pointer_policy_diverse_01,0.0,0.09090909090909091,0.45454545454545453,0.4370629370629371,0.31404958677685946
12,N12_A01_raster_left_to_right,N12_A12_graph_pointer_policy_diverse_02,0.09090909090909091,0.09090909090909091,0.45454545454545453,0.4370629370629371,0.48760330578512395
12,N12_A01_raster_left_to_right,N12_A13_graph_pointer_policy_anti_odd_even_novelty,0.18181818181818182,0.18181818181818182,0.5,0.5104895104895105,0.4132231404958677
12,N12_A01_raster_left_to_right,N12_A14_graph_pointer_policy_u2first_proxy,0.09090909090909091,0.09090909090909091,0.25757575757575757,0.2062937062937063,0.3140495867768595
12,N12_A01_raster_left_to_right,N12_A15_graph_pointer_policy_balanced_dispersion_proxy,0.18181818181818182,0.2727272727272727,0.4393939393939394,0.40559440559440557,0.23966942148760328
12,N12_A02_odd_even_interlaced,N12_A03_greedy_maximin_distance,0.2727272727272727,0.2727272727272727,0.42424242424242425,0.4090909090909091,0.23966942148760328
12,N12_A02_odd_even_interlaced,N12_A04_method_c_u2_first_engineering,0.6363636363636364,0.8181818181818182,0.045454545454545456,0.013986013986013986,0.06611570247933884
12,N12_A02_odd_even_interlaced,N12_A05_center_out,0.0,0.18181818181818182,0.5,0.46853146853146854,0.371900826446281
12,N12_A02_odd_even_interlaced,N12_A06_edge_in_alternating,0.0,0.18181818181818182,0.5,0.46853146853146854,0.371900826446281
12,N12_A02_odd_even_interlaced,N12_A07_regular_jump_coprime,0.0,0.0,0.4696969696969697,0.3881118881118881,0.3471074380165289
12,N12_A02_odd_even_interlaced,N12_A08_block_interleaved_quarters,0.0,0.0,0.4090909090909091,0.34615384615384615,0.21487603305785122
12,N12_A02_odd_even_interlaced,N12_A09_center_edge_alternating,0.0,0.0,0.45454545454545453,0.4370629370629371,0.256198347107438
12,N12_A02_odd_even_interlaced,N12_A10_graph_pointer_policy_zero_shot_or_proxy_best,0.09090909090909091,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.36363636363636365
12,N12_A02_odd_even_interlaced,N12_A11_graph_pointer_policy_diverse_01,0.18181818181818182,0.2727272727272727,0.5303030303030303,0.506993006993007,0.24793388429752064
12,N12_A02_odd_even_interlaced,N12_A12_graph_pointer_policy_diverse_02,0.0,0.09090909090909091,0.5,0.46853146853146854,0.371900826446281
12,N12_A02_odd_even_interlaced,N12_A13_graph_pointer_policy_anti_odd_even_novelty,0.0,0.09090909090909091,0.5454545454545454,0.5629370629370629,0.4132231404958678
12,N12_A02_odd_even_interlaced,N12_A14_graph_pointer_policy_u2first_proxy,0.18181818181818182,0.2727272727272727,0.21212121212121213,0.16083916083916083,0.29752066115702475
12,N12_A02_odd_even_interlaced,N12_A15_graph_pointer_policy_balanced_dispersion_proxy,0.0,0.18181818181818182,0.42424242424242425,0.3951048951048951,0.256198347107438
12,N12_A03_greedy_maximin_distance,N12_A04_method_c_u2_first_engineering,0.18181818181818182,0.2727272727272727,0.4090909090909091,0.3881118881118881,0.23966942148760328
