run_id,batch_name,n,handoff_strategy_name,job_name,case_dir,scan_order_json,cae_path,inp_path,jnl_path,generation_status,inp_check_status,teacher_validated,solver_status,notes
run_31_hybrid_policy_batch32_cae_inp_generation,stage3_run30_hybrid_policy_batch32_v01,24,S3R30H32_N24_B04_hybrid_agreement,J2D_S3R30H32_N24_B04_hybrid_agreement,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run30_hybrid_policy_batch32_v01\N24S3R30H32_N24_B04_hybrid_agreement,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run30_hybrid_policy_batch32_v01\N24S3R30H32_N24_B04_hybrid_agreement\scan_order_S3R30H32_N24_B04_hybrid_agreement.json,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run30_hybrid_policy_batch32_v01\N24S3R30H32_N24_B04_hybrid_agreement\J2D_S3R30H32_N24_B04_hybrid_agreement.cae,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run30_hybrid_policy_batch32_v01\N24S3R30H32_N24_B04_hybrid_agreement\J2D_S3R30H32_N24_B04_hybrid_agreement.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run30_hybrid_policy_batch32_v01\N24S3R30H32_N24_B04_hybrid_agreement\J2D_S3R30H32_N24_B04_hybrid_agreement.jnl,GENERATED,PASS,False,NOT_SUBMITTED,Run31 hybrid_batch32 CAE/INP generation only; not teacher-validated.
run_31_hybrid_policy_batch32_cae_inp_generation,stage3_run30_hybrid_policy_batch32_v01,24,S3R30H32_N24_B05_hybrid_disagreement,J2D_S3R30H32_N24_B05_hybrid_disagreement,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run30_hybrid_policy_batch32_v01\N24S3R30H32_N24_B05_hybrid_disagreement,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run30_hybrid_policy_batch32_v01\N24S3R30H32_N24_B05_hybrid_disagreement\scan_order_S3R30H32_N24_B05_hybrid_disagreement.json,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run30_hybrid_policy_batch32_v01\N24S3R30H32_N24_B05_hybrid_disagreement\J2D_S3R30H32_N24_B05_hybrid_disagreement.cae,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run30_hybrid_policy_batch32_v01\N24S3R30H32_N24_B05_hybrid_disagreement\J2D_S3R30H32_N24_B05_hybrid_disagreement.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run30_hybrid_policy_batch32_v01\N24S3R30H32_N24_B05_hybrid_disagreement\J2D_S3R30H32_N24_B05_hybrid_disagreement.jnl,GENERATED,PASS,False,NOT_SUBMITTED,Run31 hybrid_batch32 CAE/INP generation only; not teacher-validated.
run_31_hybrid_policy_batch32_cae_inp_generation,stage3_run30_hybrid_policy_batch32_v01,24,S3R30H32_N24_B06_hybrid_disagreement,J2D_S3R30H32_N24_B06_hybrid_disagreement,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run30_hybrid_policy_batch32_v01\N24S3R30H32_N24_B06_hybrid_disagreement,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run30_hybrid_policy_batch32_v01\N24S3R30H32_N24_B06_hybrid_disagreement\scan_order_S3R30H32_N24_B06_hybrid_disagreement.json,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run30_hybrid_policy_batch32_v01\N24S3R30H32_N24_B06_hybrid_disagreement\J2D_S3R30H32_N24_B06_hybrid_disagreement.cae,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run30_hybrid_policy_batch32_v01\N24S3R30H32_N24_B06_hybrid_disagreement\J2D_S3R30H32_N24_B06_hybrid_disagreement.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run30_hybrid_policy_batch32_v01\N24S3R30H32_N24_B06_hybrid_disagreement\J2D_S3R30H32_N24_B06_hybrid_disagreement.jnl,GENERATED,PASS,False,NOT_SUBMITTED,Run31 hybrid_batch32 CAE/INP generation only; not teacher-validated.
run_31_hybrid_policy_batch32_cae_inp_generation,stage3_run30_hybrid_policy_batch32_v01,24,S3R30H32_N24_B07_surrogate_local,J2D_S3R30H32_N24_B07_surrogate_local,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run30_hybrid_policy_batch32_v01\N24S3R30H32_N24_B07_surrogate_local,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run30_hybrid_policy_batch32_v01\N24S3R30H32_N24_B07_surrogate_local\scan_order_S3R30H32_N24_B07_surrogate_local.json,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run30_hybrid_policy_batch32_v01\N24S3R30H32_N24_B07_surrogate_local\J2D_S3R30H32_N24_B07_surrogate_local.cae,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run30_hybrid_policy_batch32_v01\N24S3R30H32_N24_B07_surrogate_local\J2D_S3R30H32_N24_B07_surrogate_local.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run30_hybrid_policy_batch32_v01\N24S3R30H32_N24_B07_surrogate_local\J2D_S3R30H32_N24_B07_surrogate_local.jnl,GENERATED,PASS,False,NOT_SUBMITTED,Run31 hybrid_batch32 CAE/INP generation only; not teacher-validated.
run_31_hybrid_policy_batch32_cae_inp_generation,stage3_run30_hybrid_policy_batch32_v01,24,S3R30H32_N24_B08_surrogate_local,J2D_S3R30H32_N24_B08_surrogate_local,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run30_hybrid_policy_batch32_v01\N24S3R30H32_N24_B08_surrogate_local,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run30_hybrid_policy_batch32_v01\N24S3R30H32_N24_B08_surrogate_local\scan_order_S3R30H32_N24_B08_surrogate_local.json,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run30_hybrid_policy_batch32_v01\N24S3R30H32_N24_B08_surrogate_local\J2D_S3R30H32_N24_B08_surrogate_local.cae,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run30_hybrid_policy_batch32_v01\N24S3R30H32_N24_B08_surrogate_local\J2D_S3R30H32_N24_B08_surrogate_local.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run30_hybrid_policy_batch32_v01\N24S3R30H32_N24_B08_surrogate_local\J2D_S3R30H32_N24_B08_surrogate_local.jnl,GENERATED,PASS,False,NOT_SUBMITTED,Run31 hybrid_batch32 CAE/INP generation only; not teacher-validated.
run_31_hybrid_policy_batch32_cae_inp_generation,stage3_run30_hybrid_policy_batch32_v01,24,S3R30H32_N24_B09_n24_surfacet,J2D_S3R30H32_N24_B09_n24_surfacet,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run30_hybrid_policy_batch32_v01\N24S3R30H32_N24_B09_n24_surfacet,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run30_hybrid_policy_batch32_v01\N24S3R30H32_N24_B09_n24_surfacet\scan_order_S3R30H32_N24_B09_n24_surfacet.json,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run30_hybrid_policy_batch32_v01\N24S3R30H32_N24_B09_n24_surfacet\J2D_S3R30H32_N24_B09_n24_surfacet.cae,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run30_hybrid_policy_batch32_v01\N24S3R30H32_N24_B09_n24_surfacet\J2D_S3R30H32_N24_B09_n24_surfacet.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run30_hybrid_policy_batch32_v01\N24S3R30H32_N24_B09_n24_surfacet\J2D_S3R30H32_N24_B09_n24_surfacet.jnl,GENERATED,PASS,False,NOT_SUBMITTED,Run31 hybrid_batch32 CAE/INP generation only; not teacher-validated.
run_31_hybrid_policy_batch32_cae_inp_generation,stage3_run30_hybrid_policy_batch32_v01,24,S3R30H32_N24_B10_n24_surfacet,J2D_S3R30H32_N24_B10_n24_surfacet,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run30_hybrid_policy_batch32_v01\N24S3R30H32_N24_B10_n24_surfacet,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run30_hybrid_policy_batch32_v01\N24S3R30H32_N24_B10_n24_surfacet\scan_order_S3R30H32_N24_B10_n24_surfacet.json,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run30_hybrid_policy_batch32_v01\N24S3R30H32_N24_B10_n24_surfacet\J2D_S3R30H32_N24_B10_n24_surfacet.cae,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run30_hybrid_policy_batch32_v01\N24S3R30H32_N24_B10_n24_surfacet\J2D_S3R30H32_N24_B10_n24_surfacet.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run30_hybrid_policy_batch32_v01\N24S3R30H32_N24_B10_n24_surfacet\J2D_S3R30H32_N24_B10_n24_surfacet.jnl,GENERATED,PASS,False,NOT_SUBMITTED,Run31 hybrid_batch32 CAE/INP generation only; not teacher-validated.
run_31_hybrid_policy_batch32_cae_inp_generation,stage3_run30_hybrid_policy_batch32_v01,24,S3R30H32_N24_B11_n24_surfacet,J2D_S3R30H32_N24_B11_n24_surfacet,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run30_hybrid_policy_batch32_v01\N24S3R30H32_N24_B11_n24_surfacet,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run30_hybrid_policy_batch32_v01\N24S3R30H32_N24_B11_n24_surfacet\scan_order_S3R30H32_N24_B11_n24_surfacet.json,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run30_hybrid_policy_batch32_v01\N24S3R30H32_N24_B11_n24_surfacet\J2D_S3R30H32_N24_B11_n24_surfacet.cae,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run30_hybrid_policy_batch32_v01\N24S3R30H32_N24_B11_n24_surfacet\J2D_S3R30H32_N24_B11_n24_surfacet.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run30_hybrid_policy_batch32_v01\N24S3R30H32_N24_B11_n24_surfacet\J2D_S3R30H32_N24_B11_n24_surfacet.jnl,GENERATED,PASS,False,NOT_SUBMITTED,Run31 hybrid_batch32 CAE/INP generation only; not teacher-validated.
run_31_hybrid_policy_batch32_cae_inp_generation,stage3_run30_hybrid_policy_batch32_v01,24,S3R30H32_N24_B12_uncertainty,J2D_S3R30H32_N24_B12_uncertainty,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run30_hybrid_policy_batch32_v01\N24S3R30H32_N24_B12_uncertainty,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run30_hybrid_policy_batch32_v01\N24S3R30H32_N24_B12_uncertainty\scan_order_S3R30H32_N24_B12_uncertainty.json,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run30_hybrid_policy_batch32_v01\N24S3R30H32_N24_B12_uncertainty\J2D_S3R30H32_N24_B12_uncertainty.cae,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run30_hybrid_policy_batch32_v01\N24S3R30H32_N24_B12_uncertainty\J2D_S3R30H32_N24_B12_uncertainty.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run30_hybrid_policy_batch32_v01\N24S3R30H32_N24_B12_uncertainty\J2D_S3R30H32_N24_B12_uncertainty.jnl,GENERATED,PASS,False,NOT_SUBMITTED,Run31 hybrid_batch32 CAE/INP generation only; not teacher-validated.
run_31_hybrid_policy_batch32_cae_inp_generation,stage3_run30_hybrid_policy_batch32_v01,40,S3R30H32_N40_B01_new_best_local,J2D_S3R30H32_N40_B01_new_best_local,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run30_hybrid_policy_batch32_v01\N40S3R30H32_N40_B01_new_best_local,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run30_hybrid_policy_batch32_v01\N40S3R30H32_N40_B01_new_best_local\scan_order_S3R30H32_N40_B01_new_best_local.json,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run30_hybrid_policy_batch32_v01\N40S3R30H32_N40_B01_new_best_local\J2D_S3R30H32_N40_B01_new_best_local.cae,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run30_hybrid_policy_batch32_v01\N40S3R30H32_N40_B01_new_best_local\J2D_S3R30H32_N40_B01_new_best_local.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run30_hybrid_policy_batch32_v01\N40S3R30H32_N40_B01_new_best_local\J2D_S3R30H32_N40_B01_new_best_local.jnl,GENERATED,PASS,False,NOT_SUBMITTED,Run31 hybrid_batch32 CAE/INP generation only; not teacher-validated.
