n,handoff_strategy_name,inp_path,exists,size_bytes,node_section_exists,element_section_exists,node_entry_count,element_entry_count,scan_sequence_complete,cool_sequence_complete,step_final_cooling_exists,final_cooling_after_last_cool,final_cooling_controls_visible,heat_flux_entries_exist,all_expected_heat_sets_present,heat_order_text_verified,heat_order_note,solver_output_count,verdict,notes
12,S3R30H32_N12_B01_gnn_policy_top,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run30_hybrid_policy_batch32_v01\N12S3R30H32_N12_B01_gnn_policy_top\J2D_S3R30H32_N12_B01_gnn_policy_top.inp,True,45988,True,True,399,336,True,True,True,True,True,True,True,True,observed order matches scan_order,0,PASS,
12,S3R30H32_N12_B02_hybrid_agreement,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run30_hybrid_policy_batch32_v01\N12S3R30H32_N12_B02_hybrid_agreement\J2D_S3R30H32_N12_B02_hybrid_agreement.inp,True,45990,True,True,399,336,True,True,True,True,True,True,True,True,observed order matches scan_order,0,PASS,
12,S3R30H32_N12_B03_hybrid_disagreement,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run30_hybrid_policy_batch32_v01\N12S3R30H32_N12_B03_hybrid_disagreement\J2D_S3R30H32_N12_B03_hybrid_disagreement.inp,True,45993,True,True,399,336,True,True,True,True,True,True,True,True,observed order matches scan_order,0,PASS,
12,S3R30H32_N12_B04_surrogate_local,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run30_hybrid_policy_batch32_v01\N12S3R30H32_N12_B04_surrogate_local\J2D_S3R30H32_N12_B04_surrogate_local.inp,True,45989,True,True,399,336,True,True,True,True,True,True,True,True,observed order matches scan_order,0,PASS,
16,S3R30H32_N16_B01_new_best_local,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run30_hybrid_policy_batch32_v01\N16S3R30H32_N16_B01_new_best_local\J2D_S3R30H32_N16_B01_new_best_local.inp,True,58876,True,True,511,432,True,True,True,True,True,True,True,True,observed order matches scan_order,0,PASS,
16,S3R30H32_N16_B02_new_best_local,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run30_hybrid_policy_batch32_v01\N16S3R30H32_N16_B02_new_best_local\J2D_S3R30H32_N16_B02_new_best_local.inp,True,58876,True,True,511,432,True,True,True,True,True,True,True,True,observed order matches scan_order,0,PASS,
16,S3R30H32_N16_B03_new_best_local,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run30_hybrid_policy_batch32_v01\N16S3R30H32_N16_B03_new_best_local\J2D_S3R30H32_N16_B03_new_best_local.inp,True,58876,True,True,511,432,True,True,True,True,True,True,True,True,observed order matches scan_order,0,PASS,
16,S3R30H32_N16_B04_new_best_local,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run30_hybrid_policy_batch32_v01\N16S3R30H32_N16_B04_new_best_local\J2D_S3R30H32_N16_B04_new_best_local.inp,True,58876,True,True,511,432,True,True,True,True,True,True,True,True,observed order matches scan_order,0,PASS,
24,S3R30H32_N24_B01_gnn_policy_top,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run30_hybrid_policy_batch32_v01\N24S3R30H32_N24_B01_gnn_policy_top\J2D_S3R30H32_N24_B01_gnn_policy_top.inp,True,84576,True,True,735,624,True,True,True,True,True,True,True,True,observed order matches scan_order,0,PASS,
24,S3R30H32_N24_B02_gnn_policy_top,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run30_hybrid_policy_batch32_v01\N24S3R30H32_N24_B02_gnn_policy_top\J2D_S3R30H32_N24_B02_gnn_policy_top.inp,True,84576,True,True,735,624,True,True,True,True,True,True,True,True,observed order matches scan_order,0,PASS,
