strategy_name,n,order_hash,legal,candidate_source_ok,teacher_validated,abaqus_validated
PPOFINAL_N24_B080_quality,24,927950fa6f38aacf,True,True,False,False
PPOFINAL_N24_B081_quality,24,029ad934bef28762,True,True,False,False
PPOFINAL_N24_B082_quality,24,43ff7b7dbaf8d62c,True,True,False,False
PPOFINAL_N24_B083_quality,24,11ec01af1f9e1e53,True,True,False,False
PPOFINAL_N24_B084_quality,24,31116256a3c275ab,True,True,False,False
PPOFINAL_N24_B085_quality,24,0d8284db8e158441,True,True,False,False
PPOFINAL_N24_B086_quality,24,7000ed00a11bf958,True,True,False,False
PPOFINAL_N24_B087_quality,24,325923efbeb8b0da,True,True,False,False
PPOFINAL_N24_B088_quality,24,8e4ed074dd15de00,True,True,False,False
PPOFINAL_N24_B089_quality,24,a397e497dd75e525,True,True,False,False
PPOFINAL_N24_B090_quality,24,587cc3b9360bb9a7,True,True,False,False
PPOFINAL_N24_B091_quality,24,8ed09c8cb84ff283,True,True,False,False
PPOFINAL_N24_B092_quality,24,088206a2af4d662e,True,True,False,False
PPOFINAL_N24_B093_diversity,24,ecb877023557149e,True,True,False,False
PPOFINAL_N24_B094_diversity,24,520393d0e10224bd,True,True,False,False
PPOFINAL_N24_B095_diversity,24,68f63e90fd5cbd04,True,True,False,False
PPOFINAL_N24_B096_diversity,24,74de91df0b46dac4,True,True,False,False
PPOFINAL_N24_B097_diversity,24,99a6db3ac9677143,True,True,False,False
PPOFINAL_N24_B098_diversity,24,adda1a02ce4bda82,True,True,False,False
PPOFINAL_N24_B099_diversity,24,2b4e7e006d7830bb,True,True,False,False
PPOFINAL_N24_B100_diversity,24,b2acf4ae2f80ef3a,True,True,False,False
PPOFINAL_N24_B101_diversity,24,b8705a9eed1632a7,True,True,False,False
PPOFINAL_N24_B102_diversity,24,412dd61950d59a02,True,True,False,False
PPOFINAL_N24_B103_diversity,24,ff1f2f444fc1385f,True,True,False,False
PPOFINAL_N24_B104_diversity,24,eec9d9d1d399e2e9,True,True,False,False
PPOFINAL_N24_B105_diversity,24,bf3c7e3e885190e0,True,True,False,False
PPOFINAL_N24_B106_diversity,24,67fdf422431f384f,True,True,False,False
PPOFINAL_N24_B107_diversity,24,b50b42d8d6d81b48,True,True,False,False
PPOFINAL_N24_B108_diversity,24,c2d90a10e6c13e10,True,True,False,False
PPOFINAL_N24_B109_diversity,24,390cfaafc4da7c47,True,True,False,False
PPOFINAL_N24_B110_diversity,24,6c173eb0332cca99,True,True,False,False
PPOFINAL_N24_B111_diversity,24,3989d0080d339976,True,True,False,False
PPOFINAL_N24_B112_diversity,24,d699348f4b02cb9e,True,True,False,False
PPOFINAL_N24_B113_efficiency,24,fcc378efe4f89550,True,True,False,False
PPOFINAL_N24_B114_efficiency,24,0b16744bf6ae81d3,True,True,False,False
PPOFINAL_N24_B115_efficiency,24,4b515e60f47ee486,True,True,False,False
PPOFINAL_N24_B116_efficiency,24,a2eed9c3a29ed981,True,True,False,False
PPOFINAL_N24_B117_efficiency,24,9a1a0acb348f0abc,True,True,False,False
PPOFINAL_N24_B118_efficiency,24,5df2570f1e62e9d1,True,True,False,False
PPOFINAL_N24_B119_efficiency,24,42004e61e957b4ca,True,True,False,False
PPOFINAL_N24_B120_efficiency,24,c0848ef3bd5b5872,True,True,False,False
PPOFINAL_N24_B121_efficiency,24,ed3c551c58d481e5,True,True,False,False
PPOFINAL_N24_B122_efficiency,24,31969a7ec88750f6,True,True,False,False
PPOFINAL_N24_B123_efficiency,24,12cd25069efbc9f5,True,True,False,False
PPOFINAL_N24_B124_efficiency,24,2901e8f033a4ca96,True,True,False,False
PPOFINAL_N24_B125_efficiency,24,045a0102e98ec2a7,True,True,False,False
PPOFINAL_N24_B126_efficiency,24,3299fb5d45ec4f03,True,True,False,False
PPOFINAL_N24_B127_efficiency,24,4612f4eb9513702d,True,True,False,False
PPOFINAL_N24_B128_efficiency,24,3dbb2488ca7c6c55,True,True,False,False
PPOFINAL_N24_B129_novelty,24,2d0fb49523557363,True,True,False,False
PPOFINAL_N24_B130_novelty,24,1ca6b22d0d23ff04,True,True,False,False
PPOFINAL_N24_B131_novelty,24,227c61ddc275dda4,True,True,False,False
PPOFINAL_N24_B132_novelty,24,b12e33867639d3c5,True,True,False,False
PPOFINAL_N24_B133_novelty,24,fdb10cc845f0b20b,True,True,False,False
PPOFINAL_N24_B134_novelty,24,4f9f192b5c2a61b8,True,True,False,False
PPOFINAL_N24_B135_novelty,24,3cafafe57d3df54e,True,True,False,False
PPOFINAL_N24_B136_novelty,24,cc6ebefd42587076,True,True,False,False
PPOFINAL_N24_B137_baseline_proximity,24,5bce268377c3df56,True,True,False,False
PPOFINAL_N24_B138_baseline_proximity,24,74155c768b5f71dc,True,True,False,False
PPOFINAL_N24_B139_baseline_proximity,24,9510cf8a7cfe7d1b,True,True,False,False
PPOFINAL_N24_B140_baseline_proximity,24,59c9eb57a42f582f,True,True,False,False
PPOFINAL_N24_B141_baseline_proximity,24,dad66d54b04ad6a1,True,True,False,False
PPOFINAL_N24_B142_baseline_proximity,24,2a46a71eef951480,True,True,False,False
PPOFINAL_N24_B143_baseline_proximity,24,89c07a565a906e8d,True,True,False,False
PPOFINAL_N24_B144_baseline_proximity,24,52a7ce5fadecac65,True,True,False,False
PPOFINAL_N40_B145_quality,40,de85307460f4c766,True,True,False,False
PPOFINAL_N40_B146_quality,40,dc97a259ffd0da41,True,True,False,False
PPOFINAL_N40_B147_quality,40,50eead2e9fe64fb2,True,True,False,False
PPOFINAL_N40_B148_quality,40,3b9411f7a1944cd1,True,True,False,False
PPOFINAL_N40_B149_quality,40,b3b84e349046b17e,True,True,False,False
PPOFINAL_N40_B150_quality,40,8f7702c18f2e6e7a,True,True,False,False
PPOFINAL_N40_B151_quality,40,3a401243f6921b37,True,True,False,False
PPOFINAL_N40_B152_quality,40,a218445583a4142f,True,True,False,False
PPOFINAL_N40_B153_quality,40,c1aac2712d53a1d5,True,True,False,False
PPOFINAL_N40_B154_quality,40,de9f263ee12ac476,True,True,False,False
PPOFINAL_N40_B155_quality,40,e11b824b201d1789,True,True,False,False
PPOFINAL_N40_B156_quality,40,f099da38d842c023,True,True,False,False
PPOFINAL_N40_B157_quality,40,e2e0c106674c83a8,True,True,False,False
PPOFINAL_N40_B158_quality,40,0aacacd7d8684024,True,True,False,False
PPOFINAL_N40_B159_quality,40,bc63a0c4a7b49410,True,True,False,False
PPOFINAL_N40_B160_quality,40,d58fa39e9889ff42,True,True,False,False
PPOFINAL_N40_B161_quality,40,8020d9fd9cf8a782,True,True,False,False
PPOFINAL_N40_B162_quality,40,e728f0d02385a6bb,True,True,False,False
PPOFINAL_N40_B163_quality,40,3baa9f9003b49574,True,True,False,False
PPOFINAL_N40_B164_quality,40,839c1378137cdc95,True,True,False,False
PPOFINAL_N40_B165_quality,40,a7300b5132e6ac16,True,True,False,False
PPOFINAL_N40_B166_quality,40,8e1d427aff29b4c6,True,True,False,False
PPOFINAL_N40_B167_quality,40,0ee3bbe912acab5c,True,True,False,False
PPOFINAL_N40_B168_quality,40,f322f2bc37a98819,True,True,False,False
PPOFINAL_N40_B169_quality,40,4e1263aaad58d90a,True,True,False,False
PPOFINAL_N40_B170_quality,40,4c92eb7f2b49750b,True,True,False,False
PPOFINAL_N40_B171_quality,40,0927ef6e1766632e,True,True,False,False
PPOFINAL_N40_B172_quality,40,970a10067d003fe4,True,True,False,False
PPOFINAL_N40_B173_diversity,40,9b0687163d0791ce,True,True,False,False
PPOFINAL_N40_B174_diversity,40,f73ead5369df6a34,True,True,False,False
PPOFINAL_N40_B175_diversity,40,90be9a2193fe4791,True,True,False,False
PPOFINAL_N40_B176_diversity,40,c96e1f5dc2354af0,True,True,False,False
PPOFINAL_N40_B177_diversity,40,a8e991ca972d20bb,True,True,False,False
PPOFINAL_N40_B178_diversity,40,3f14ea35f15a3b84,True,True,False,False
PPOFINAL_N40_B179_diversity,40,1684aa149d321522,True,True,False,False
PPOFINAL_N40_B180_diversity,40,a8ce7c8bbddd45fa,True,True,False,False
PPOFINAL_N40_B181_diversity,40,e3431db23a184d36,True,True,False,False
PPOFINAL_N40_B182_diversity,40,9a9c393ac14717c2,True,True,False,False
PPOFINAL_N40_B183_diversity,40,de023060e31bde5b,True,True,False,False
PPOFINAL_N40_B184_diversity,40,bbee4769741c7b36,True,True,False,False
PPOFINAL_N40_B185_diversity,40,a9683d7b936e665f,True,True,False,False
PPOFINAL_N40_B186_diversity,40,aa4779b84ca708dc,True,True,False,False
PPOFINAL_N40_B187_diversity,40,906a83809c633623,True,True,False,False
PPOFINAL_N40_B188_diversity,40,dbbb2f25880acebf,True,True,False,False
PPOFINAL_N40_B189_diversity,40,bfcdaf40779bc25e,True,True,False,False
PPOFINAL_N40_B190_diversity,40,09e52e11fadfbc9f,True,True,False,False
PPOFINAL_N40_B191_diversity,40,082738543363121c,True,True,False,False
PPOFINAL_N40_B192_diversity,40,df0cce01fb05e68a,True,True,False,False
PPOFINAL_N40_B193_efficiency,40,a8a22ffaeda68c9d,True,True,False,False
PPOFINAL_N40_B194_efficiency,40,8413cd4573da04f1,True,True,False,False
PPOFINAL_N40_B195_efficiency,40,3dc5ad95c6cc67eb,True,True,False,False
PPOFINAL_N40_B196_efficiency,40,ea6c812ad2554bc6,True,True,False,False
PPOFINAL_N40_B197_efficiency,40,bdeac73b1ae444bb,True,True,False,False
PPOFINAL_N40_B198_efficiency,40,04913d6b96ab9338,True,True,False,False
PPOFINAL_N40_B199_efficiency,40,626db577a340316a,True,True,False,False
PPOFINAL_N40_B200_efficiency,40,347c091c8b052259,True,True,False,False
PPOFINAL_N40_B201_efficiency,40,b780000a1ba9b7dc,True,True,False,False
PPOFINAL_N40_B202_efficiency,40,c75892e6e38ddcbd,True,True,False,False
PPOFINAL_N40_B203_efficiency,40,08cd7f488add7396,True,True,False,False
PPOFINAL_N40_B204_efficiency,40,e2cd9551517ac39c,True,True,False,False
PPOFINAL_N40_B205_efficiency,40,38f83e387af153aa,True,True,False,False
PPOFINAL_N40_B206_efficiency,40,51e1a23a6e964fd1,True,True,False,False
PPOFINAL_N40_B207_efficiency,40,98342671de2d0135,True,True,False,False
PPOFINAL_N40_B208_efficiency,40,781e2f2bede18840,True,True,False,False
