n,order_hash,candidate_source,selection_bucket,generation_method,seed_strategy,first_track_norm,last_track_norm,normalized_mean_jump,normalized_max_jump,adjacent_jump_count,long_jump_count,parity_switch_rate,monotonicity_fraction,direction_reversal_count,jump_entropy,early_center_bias,late_center_bias,edge_early_count,center_early_count,max_unvisited_gap_proxy_mean_norm,max_unvisited_gap_proxy_max_norm,candidate_id,strategy_name,order_json,order_compact,novelty_distance_to_combined108,nearest_combined108_strategy,novelty_distance_to_run24_shortlist64,nearest_run24_shortlist64_strategy,duplicate_of_combined108_teacher,duplicate_of_run23_or_run24,gnn_reward_pred,extra_trees_F01_pred,gnn_vs_ET_disagreement,selection_score,selection_rank_within_n,gnn_reward_rank_within_n,batch32_rank_within_n
40,756b64450fbe2329,graph_pointer_temperature_sampled,gnn_policy_temperature_diverse,temp_1.25_topk_None,,0.05128205128205128,0.7948717948717948,0.3162393162393163,0.9487179487179487,2,7,0.4358974358974359,0.42105263157894735,22,2.9345209938949,0.5948717948717949,0.5641025641025641,6,4,0.1575,0.925,R26_N40_C00097,N40_R26_N40_C00097_gnn_policy_temperature_diverse,"[2,21,3,38,29,17,4,8,39,16,10,20,24,34,22,1,15,18,14,23,26,12,32,33,27,35,7,9,11,5,6,25,28,30,36,19,37,0,13,31]",2-21-3-38-29-17-4-8-39-16-10-20-24-34-22-1-15-18-14-23-26-12-32-33-27-35-7-9-11-5-6-25-28-30-36-19-37-0-13-31,0.3923076923076923,N40_A09_center_edge_alternating,0.40512820512820513,S3R24L64_N40_B24_exploitation_reference,False,False,0.3138771653175354,0.4167279707649217,0.10285080544738628,0.33417333609039845,1960,2026,3
40,32c957b9ce0d606a,gnn_policy_known_best_mutation,gnn_reward_local_search,reverse_segment,S3B20_N40_B01_surrogate_top,0.5641025641025641,1.0,0.08875739644970415,0.6153846153846154,0,2,0.02564102564102564,0.9210526315789473,3,0.4373186586064318,0.3641025641025641,0.5384615384615385,3,7,0.185,0.55,R26_N40_C02026,N40_R26_N40_C02026_gnn_reward_local_search,"[22,20,18,16,14,12,10,8,6,4,2,0,24,26,28,38,36,34,32,30,9,7,5,3,1,11,13,15,17,19,21,23,25,27,29,31,33,35,37,39]",22-20-18-16-14-12-10-8-6-4-2-0-24-26-28-38-36-34-32-30-9-7-5-3-1-11-13-15-17-19-21-23-25-27-29-31-33-35-37-39,0.08461538461538462,S3B20_N40_B01_surrogate_top,0.1282051282051282,S3R24L64_N40_B08_model_disagreement,False,False,0.793363094329834,0.7379480517531847,0.05541504257664931,0.5639649865674633,6,11,4
40,ee8f1493a757f6e9,gnn_policy_known_best_mutation,known_best_neighborhood,reverse_segment,S3R19B28_N40_B01_surrogate_top,1.0,0.07692307692307693,0.07363576594345825,0.5128205128205128,1,1,0.05128205128205128,0.9473684210526315,2,0.4728646678649162,0.5384615384615385,0.4564102564102564,5,5,0.27875,0.975,R26_N40_C01451,N40_R26_N40_C01451_known_best_neighborhood,"[39,37,35,33,31,29,27,25,23,21,1,0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,38,36,34,32,19,17,15,13,11,9,7,5,3]",39-37-35-33-31-29-27-25-23-21-1-0-2-4-6-8-10-12-14-16-18-20-22-24-26-28-30-38-36-34-32-19-17-15-13-11-9-7-5-3,0.07051282051282051,S3R19B28_N40_B01_surrogate_top,0.2551282051282051,S3R24L64_N40_B03_top_region,False,False,0.8998981714248657,0.7491057008740996,0.15079247055076617,0.6214124135173551,1,1,5
40,e0314d727085aae3,gnn_policy_known_best_mutation,known_best_neighborhood,reverse_segment,S3R19B28_N40_B04_method_c_inspired,0.6153846153846154,0.07692307692307693,0.11374095989480605,0.6666666666666666,0,3,0.02564102564102564,0.8947368421052632,4,0.5892986246634032,0.3076923076923077,0.5794871794871794,2,8,0.18,0.6,R26_N40_C01750,N40_R26_N40_C01750_known_best_neighborhood,"[24,22,20,18,16,14,12,10,8,6,4,2,0,26,28,30,32,34,36,38,19,1,21,23,25,27,29,31,33,35,37,39,17,15,13,11,9,7,5,3]",24-22-20-18-16-14-12-10-8-6-4-2-0-26-28-30-32-34-36-38-19-1-21-23-25-27-29-31-33-35-37-39-17-15-13-11-9-7-5-3,0.1,S3R19B28_N40_B04_method_c_inspired,0.19230769230769232,S3R24L64_N40_B06_model_disagreement,False,False,0.8084584474563599,0.7272908927403,0.08116755471605985,0.5737457800120429,2,6,6
40,af268daddd8179ba,gnn_policy_known_best_mutation,known_best_neighborhood,reverse_segment,N40_A04_method_c_u2_first_engineering,0.6153846153846154,1.0,0.0900723208415516,0.6666666666666666,0,2,0.02564102564102564,0.9210526315789473,3,0.3556980106276987,0.3076923076923077,0.5384615384615385,2,8,0.18,0.6,R26_N40_C00207,N40_R26_N40_C00207_known_best_neighborhood,"[24,22,20,18,16,14,12,10,8,6,4,2,0,26,28,30,32,34,36,38,19,17,15,13,11,9,7,5,3,1,21,23,25,27,29,31,33,35,37,39]",24-22-20-18-16-14-12-10-8-6-4-2-0-26-28-30-32-34-36-38-19-17-15-13-11-9-7-5-3-1-21-23-25-27-29-31-33-35-37-39,0.09230769230769231,S3B20_N40_B04_surrogate_top,0.1141025641025641,S3R24L64_N40_B08_model_disagreement,False,False,0.80364990234375,0.7328246527403266,0.0708252496034234,0.57039268266165,3,8,7
40,6efac877437faf89,gnn_policy_known_best_mutation,known_best_neighborhood,swap_mutation,N40_A04_method_c_u2_first_engineering,0.8205128205128205,1.0,0.13214990138067062,0.8717948717948718,0,4,0.02564102564102564,0.868421052631579,5,0.5537526154049188,0.5025641025641026,0.5384615384615385,5,5,0.19,0.8,R26_N40_C00517,N40_R26_N40_C00517_known_best_neighborhood,"[32,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,0,34,36,38,19,17,15,13,11,9,7,5,3,1,21,23,25,27,29,31,33,35,37,39]",32-2-4-6-8-10-12-14-16-18-20-22-24-26-28-30-0-34-36-38-19-17-15-13-11-9-7-5-3-1-21-23-25-27-29-31-33-35-37-39,0.03974358974358974,N40_A04_method_c_u2_first_engineering,0.05384615384615385,S3R24L64_N40_B08_model_disagreement,False,False,0.8247864246368408,0.690248047801898,0.13453837683494285,0.5651184586692651,4,3,8
40,851e1765f7006e4c,gnn_policy_known_best_mutation,known_best_neighborhood,swap_mutation,S3R19B28_N40_B10_known_best_mutation,0.9743589743589743,0.05128205128205128,0.1472715318869165,1.0,0,5,0.05128205128205128,0.8157894736842105,7,0.6694323156232943,0.37948717948717947,0.7025641025641025,3,7,0.21187499999999998,0.95,R26_N40_C02724,N40_R26_N40_C02724_known_best_neighborhood,"[38,6,8,10,12,14,16,18,20,22,24,26,28,4,36,34,32,30,9,7,5,3,1,11,13,15,17,19,21,23,25,27,29,31,33,35,37,39,0,2]",38-6-8-10-12-14-16-18-20-22-24-26-28-4-36-34-32-30-9-7-5-3-1-11-13-15-17-19-21-23-25-27-29-31-33-35-37-39-0-2,0.03205128205128205,S3R19B28_N40_B10_known_best_mutation,0.17307692307692307,S3R24L64_N40_B08_model_disagreement,False,False,0.8248379230499268,0.6966923727200014,0.12814555032992536,0.5645749699957163,5,2,9
40,89432ddf8bfac6ed,gnn_policy_known_best_mutation,known_best_neighborhood,swap_mutation,S3B20_N40_B02_diversity_top,0.9743589743589743,0.07692307692307693,0.11768573307034845,1.0,0,2,0.07692307692307693,0.8421052631578947,6,0.4728646678649162,0.5333333333333333,0.4871794871794871,5,5,0.23500000000000001,0.95,R26_N40_C00669,N40_R26_N40_C00669_known_best_neighborhood,"[38,21,23,25,27,29,31,33,35,37,39,0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,1,19,17,15,13,11,9,7,5,3]",38-21-23-25-27-29-31-33-35-37-39-0-2-4-6-8-10-12-14-16-18-20-22-24-26-28-30-32-34-36-1-19-17-15-13-11-9-7-5-3,0.07564102564102564,S3B20_N40_B02_diversity_top,0.2602564102564103,S3R24L64_N40_B03_top_region,False,False,0.8036860227584839,0.7047367094199366,0.09894931333854728,0.5628660240583618,7,7,10
40,1e20e1dcf34816bf,gnn_policy_known_best_mutation,known_best_neighborhood,reverse_segment,N40_A04_method_c_u2_first_engineering,0.5641025641025641,1.0,0.08875739644970415,0.6153846153846154,0,2,0.02564102564102564,0.9210526315789473,3,0.3556980106276987,0.3641025641025641,0.5384615384615385,3,7,0.185,0.55,R26_N40_C00400,N40_R26_N40_C00400_known_best_neighborhood,"[22,20,18,16,14,12,10,8,6,4,2,0,24,26,28,30,32,34,36,38,19,17,15,13,11,9,7,5,3,1,21,23,25,27,29,31,33,35,37,39]",22-20-18-16-14-12-10-8-6-4-2-0-24-26-28-30-32-34-36-38-19-17-15-13-11-9-7-5-3-1-21-23-25-27-29-31-33-35-37-39,0.07692307692307693,S3B20_N40_B04_surrogate_top,0.09871794871794871,S3R24L64_N40_B08_model_disagreement,False,False,0.793363094329834,0.7379480517531847,0.05541504257664931,0.5624265250290017,8,10,11
40,de4a6db951408b57,gnn_policy_known_best_mutation,known_best_neighborhood,swap_mutation,N40_A04_method_c_u2_first_engineering,0.7692307692307693,1.0,0.1282051282051282,0.8205128205128205,0,4,0.02564102564102564,0.868421052631579,5,0.5537526154049188,0.49230769230769234,0.5384615384615385,5,5,0.18125,0.75,R26_N40_C00515,N40_R26_N40_C00515_known_best_neighborhood,"[30,2,4,6,8,10,12,14,16,18,20,22,24,26,28,0,32,34,36,38,19,17,15,13,11,9,7,5,3,1,21,23,25,27,29,31,33,35,37,39]",30-2-4-6-8-10-12-14-16-18-20-22-24-26-28-0-32-34-36-38-19-17-15-13-11-9-7-5-3-1-21-23-25-27-29-31-33-35-37-39,0.03717948717948718,N40_A04_method_c_u2_first_engineering,0.05128205128205128,S3R24L64_N40_B08_model_disagreement,False,False,0.814858078956604,0.6936196026692365,0.1212384762873675,0.5596507812624151,9,4,12
