n,strategy_name,dataset_source,order_json,order_hash,target_reward_combined108_u2_primary,target_u2_score_combined108_rank,target_peeq_score_combined108_rank,target_surfaceT_score_combined108_rank,target_mises_score_combined108_rank,combined108_constrained_rank_within_n,candidate_family,graph_node_count,graph_edge_count_line_adjacent_directed,sequence_length,feature_summary_json,first_track_norm,last_track_norm,normalized_mean_jump,normalized_max_jump,adjacent_jump_count,long_jump_count,parity_switch_rate,monotonicity_fraction,direction_reversal_count,jump_entropy,early_center_bias,late_center_bias,edge_early_count,center_early_count,max_unvisited_gap_proxy_mean_norm,max_unvisited_gap_proxy_max_norm
12,N12_A11_graph_pointer_policy_diverse_01,probe60_run08,"[0,5,11,10,1,3,8,2,9,6,4,7]",801d2181009bc9f4,0.4065217391304348,0.4782608695652174,0.13043478260869568,0.4782608695652174,0.4347826086956522,16.0,graph_pointer_proxy,12,22,12,"{""adjacent_jump_count"": 1, ""center_early_count"": 1, ""direction_reversal_count"": 6, ""early_center_bias"": 0.6969696969696969, ""edge_early_count"": 2, ""first_track_norm"": 0.0, ""jump_entropy"": 1.8937882323841375, ""last_track_norm"": 0.6363636363636364, ""late_center_bias"": 0.21212121212121213, ""long_jump_count"": 4, ""max_unvisited_gap_proxy_max_norm"": 0.9166666666666666, ""max_unvisited_gap_proxy_mean_norm"": 0.2916666666666667, ""monotonicity_fraction"": 0.4, ""n"": 12, ""normalized_max_jump"": 0.8181818181818182, ""normalized_mean_jump"": 0.4049586776859504, ""parity_switch_rate"": 0.6363636363636364}",0.0,0.6363636363636364,0.4049586776859504,0.8181818181818182,1,4,0.6363636363636364,0.4,6,1.8937882323841375,0.6969696969696969,0.21212121212121213,2,1,0.2916666666666667,0.9166666666666666
12,N12_A12_graph_pointer_policy_diverse_02,probe60_run08,"[4,7,3,8,2,9,1,10,0,11,5,6]",d2e8291eb55a3dd6,0.1793478260869565,0.04347826086956519,0.17391304347826086,0.6956521739130435,0.9347826086956522,23.0,graph_pointer_proxy,12,22,12,"{""adjacent_jump_count"": 1, ""center_early_count"": 3, ""direction_reversal_count"": 10, ""early_center_bias"": 0.3333333333333333, ""edge_early_count"": 0, ""first_track_norm"": 0.36363636363636365, ""jump_entropy"": 2.2718685126865625, ""last_track_norm"": 0.5454545454545454, ""late_center_bias"": 0.393939393939394, ""long_jump_count"": 7, ""max_unvisited_gap_proxy_max_norm"": 0.5833333333333334, ""max_unvisited_gap_proxy_mean_norm"": 0.2222222222222222, ""monotonicity_fraction"": 0.0, ""n"": 12, ""normalized_max_jump"": 1.0, ""normalized_mean_jump"": 0.5785123966942148, ""parity_switch_rate"": 0.5454545454545454}",0.36363636363636365,0.5454545454545454,0.5785123966942148,1.0,1,7,0.5454545454545454,0.0,10,2.2718685126865625,0.3333333333333333,0.393939393939394,0,3,0.2222222222222222,0.5833333333333334
12,N12_A13_graph_pointer_policy_anti_odd_even_novelty,probe60_run08,"[1,10,3,8,5,6,7,4,9,2,11,0]",b438a8d2342f06ce,0.5597826086956522,0.4347826086956522,1.0,0.5217391304347826,0.5,11.0,graph_pointer_proxy,12,22,12,"{""adjacent_jump_count"": 2, ""center_early_count"": 1, ""direction_reversal_count"": 9, ""early_center_bias"": 0.6969696969696969, ""edge_early_count"": 2, ""first_track_norm"": 0.09090909090909091, ""jump_entropy"": 1.7677614722833295, ""last_track_norm"": 0.0, ""late_center_bias"": 0.8787878787878788, ""long_jump_count"": 5, ""max_unvisited_gap_proxy_max_norm"": 0.8333333333333334, ""max_unvisited_gap_proxy_mean_norm"": 0.25, ""monotonicity_fraction"": 0.1, ""n"": 12, ""normalized_max_jump"": 1.0, ""normalized_mean_jump"": 0.5041322314049587, ""parity_switch_rate"": 1.0}",0.09090909090909091,0.0,0.5041322314049587,1.0,2,5,1.0,0.1,9,1.7677614722833295,0.6969696969696969,0.8787878787878788,2,1,0.25,0.8333333333333334
12,N12_A14_graph_pointer_policy_u2first_proxy,probe60_run08,"[0,5,2,6,4,7,8,3,10,1,9,11]",c11d4ef7da73358e,0.3054347826086956,0.21739130434782605,0.34782608695652173,0.6086956521739131,0.6739130434782609,18.0,graph_pointer_proxy,12,22,12,"{""adjacent_jump_count"": 1, ""center_early_count"": 1, ""direction_reversal_count"": 8, ""early_center_bias"": 0.5757575757575758, ""edge_early_count"": 2, ""first_track_norm"": 0.0, ""jump_entropy"": 2.0198149924849456, ""last_track_norm"": 1.0, ""late_center_bias"": 0.8181818181818182, ""long_jump_count"": 3, ""max_unvisited_gap_proxy_max_norm"": 0.9166666666666666, ""max_unvisited_gap_proxy_mean_norm"": 0.3194444444444445, ""monotonicity_fraction"": 0.2, ""n"": 12, ""normalized_max_jump"": 0.8181818181818182, ""normalized_mean_jump"": 0.4049586776859504, ""parity_switch_rate"": 0.6363636363636364}",0.0,1.0,0.4049586776859504,0.8181818181818182,1,3,0.6363636363636364,0.2,8,2.0198149924849456,0.5757575757575758,0.8181818181818182,2,1,0.3194444444444445,0.9166666666666666
12,N12_A15_graph_pointer_policy_balanced_dispersion_proxy,probe60_run08,"[0,5,11,6,4,8,7,2,3,1,9,10]",55028c9f58c80c6e,0.35652173913043483,0.26086956521739135,0.30434782608695654,0.8260869565217391,0.8695652173913043,17.0,graph_pointer_proxy,12,22,12,"{""adjacent_jump_count"": 3, ""center_early_count"": 1, ""direction_reversal_count"": 6, ""early_center_bias"": 0.6969696969696969, ""edge_early_count"": 2, ""first_track_norm"": 0.0, ""jump_entropy"": 1.6726254461443206, ""last_track_norm"": 0.9090909090909091, ""late_center_bias"": 0.7575757575757577, ""long_jump_count"": 2, ""max_unvisited_gap_proxy_max_norm"": 0.9166666666666666, ""max_unvisited_gap_proxy_mean_norm"": 0.2986111111111111, ""monotonicity_fraction"": 0.4, ""n"": 12, ""normalized_max_jump"": 0.7272727272727273, ""normalized_mean_jump"": 0.3305785123966942, ""parity_switch_rate"": 0.5454545454545454}",0.0,0.9090909090909091,0.3305785123966942,0.7272727272727273,3,2,0.5454545454545454,0.4,6,1.6726254461443206,0.6969696969696969,0.7575757575757577,2,1,0.2986111111111111,0.9166666666666666
16,N16_A01_raster_left_to_right,probe60_run08,"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15]",1daa17d3aff83166,0.07717391304347829,0.08695652173913049,0.04347826086956519,0.0,0.23913043478260865,24.0,raster,16,30,16,"{""adjacent_jump_count"": 15, ""center_early_count"": 0, ""direction_reversal_count"": 0, ""early_center_bias"": 0.8, ""edge_early_count"": 4, ""first_track_norm"": 0.0, ""jump_entropy"": -1.000088900581841e-12, ""last_track_norm"": 1.0, ""late_center_bias"": 0.8, ""long_jump_count"": 0, ""max_unvisited_gap_proxy_max_norm"": 0.9375, ""max_unvisited_gap_proxy_mean_norm"": 0.46875, ""monotonicity_fraction"": 1.0, ""n"": 16, ""normalized_max_jump"": 0.06666666666666667, ""normalized_mean_jump"": 0.06666666666666667, ""parity_switch_rate"": 1.0}",0.0,1.0,0.06666666666666667,0.06666666666666667,15,0,1.0,1.0,0,-1.000088900581841e-12,0.8,0.8,4,0,0.46875,0.9375
16,N16_A02_odd_even_interlaced,probe60_run08,"[0,2,4,6,8,10,12,14,1,3,5,7,9,11,13,15]",fad520b727cbc4ef,0.665217391304348,0.782608695652174,0.5652173913043479,0.08695652173913049,0.6956521739130435,9.0,odd_even,16,30,16,"{""adjacent_jump_count"": 0, ""center_early_count"": 2, ""direction_reversal_count"": 2, ""early_center_bias"": 0.6, ""edge_early_count"": 2, ""first_track_norm"": 0.0, ""jump_entropy"": 0.24493002679263537, ""last_track_norm"": 1.0, ""late_center_bias"": 0.6, ""long_jump_count"": 1, ""max_unvisited_gap_proxy_max_norm"": 0.9375, ""max_unvisited_gap_proxy_mean_norm"": 0.27734375, ""monotonicity_fraction"": 0.8571428571428571, ""n"": 16, ""normalized_max_jump"": 0.8666666666666667, ""normalized_mean_jump"": 0.18222222222222223, ""parity_switch_rate"": 0.06666666666666667}",0.0,1.0,0.18222222222222223,0.8666666666666667,0,1,0.06666666666666667,0.8571428571428571,2,0.24493002679263537,0.6,0.6,2,2,0.27734375,0.9375
16,N16_A03_greedy_maximin_distance,probe60_run08,"[0,15,7,11,3,5,9,13,1,2,4,6,8,10,12,14]",56a9b78cb5be7ceb,0.7619565217391304,0.9130434782608696,0.6086956521739131,0.26086956521739135,0.4130434782608695,4.0,maximin,16,30,16,"{""adjacent_jump_count"": 1, ""center_early_count"": 2, ""direction_reversal_count"": 6, ""early_center_bias"": 0.6333333333333333, ""edge_early_count"": 2, ""first_track_norm"": 0.0, ""jump_entropy"": 1.487816716395449, ""last_track_norm"": 0.9333333333333333, ""late_center_bias"": 0.4666666666666667, ""long_jump_count"": 4, ""max_unvisited_gap_proxy_max_norm"": 0.9375, ""max_unvisited_gap_proxy_mean_norm"": 0.234375, ""monotonicity_fraction"": 0.5714285714285714, ""n"": 16, ""normalized_max_jump"": 1.0, ""normalized_mean_jump"": 0.3111111111111111, ""parity_switch_rate"": 0.13333333333333333}",0.0,0.9333333333333333,0.3111111111111111,1.0,1,4,0.13333333333333333,0.5714285714285714,6,1.487816716395449,0.6333333333333333,0.4666666666666667,2,2,0.234375,0.9375
16,N16_A04_method_c_u2_first_engineering,probe60_run08,"[0,2,4,6,8,10,12,14,7,5,3,1,9,11,13,15]",6972db688a18972f,0.7043478260869565,0.7391304347826086,0.782608695652174,0.6521739130434783,0.04347826086956519,7.0,method_c,16,30,16,"{""adjacent_jump_count"": 0, ""center_early_count"": 2, ""direction_reversal_count"": 2, ""early_center_bias"": 0.6, ""edge_early_count"": 2, ""first_track_norm"": 0.0, ""jump_entropy"": 0.48509409129921155, ""last_track_norm"": 1.0, ""late_center_bias"": 0.6, ""long_jump_count"": 1, ""max_unvisited_gap_proxy_max_norm"": 0.9375, ""max_unvisited_gap_proxy_mean_norm"": 0.27734375, ""monotonicity_fraction"": 0.8571428571428571, ""n"": 16, ""normalized_max_jump"": 0.5333333333333333, ""normalized_mean_jump"": 0.18222222222222223, ""parity_switch_rate"": 0.06666666666666667}",0.0,1.0,0.18222222222222223,0.5333333333333333,0,1,0.06666666666666667,0.8571428571428571,2,0.48509409129921155,0.6,0.6,2,2,0.27734375,0.9375
16,N16_A05_center_out,probe60_run08,"[7,8,6,9,5,10,4,11,3,12,2,13,1,14,0,15]",64f300b0e47dfb17,0.13804347826086957,0.0,0.21739130434782605,0.4782608695652174,0.9347826086956522,23.0,center_out,16,30,16,"{""adjacent_jump_count"": 1, ""center_early_count"": 4, ""direction_reversal_count"": 14, ""early_center_bias"": 0.13333333333333333, ""edge_early_count"": 0, ""first_track_norm"": 0.4666666666666667, ""jump_entropy"": 2.708050201087209, ""last_track_norm"": 1.0, ""late_center_bias"": 0.9333333333333333, ""long_jump_count"": 8, ""max_unvisited_gap_proxy_max_norm"": 0.5, ""max_unvisited_gap_proxy_mean_norm"": 0.25, ""monotonicity_fraction"": 0.0, ""n"": 16, ""normalized_max_jump"": 1.0, ""normalized_mean_jump"": 0.5333333333333333, ""parity_switch_rate"": 0.5333333333333333}",0.4666666666666667,1.0,0.5333333333333333,1.0,1,8,0.5333333333333333,0.0,14,2.708050201087209,0.13333333333333333,0.9333333333333333,0,4,0.25,0.5
