comparison,n,metric,baseline_best_strategy,baseline_best_source,baseline_best_value,run46_best_strategy,run46_best_source,run46_best_value,run46_beats_baseline,absolute_improvement,relative_improvement_fraction,combined296_best_strategy,combined296_best_source,combined296_best_value
run46_vs_combined264,24,U2,S3R34N32INF_N24_B10_n24_calibration,run36_N32_informed_native_batch32,3.273940910730744e-05,S3R44CNS_N24_B14_hybrid_disagree,run46_constrained_N24_N40_batch32,3.166340729876538e-05,True,1.0760018085420597e-06,0.032865645345501855,S3R44CNS_N24_B14_hybrid_disagree,run46_constrained_N24_N40_batch32,3.166340729876538e-05
run46_vs_combined264,24,PEEQ,S3R19B28_N24_B07_control_sentinel,batch28_run20,0.149288535118103,S3R44CNS_N24_B16_uncertainty,run46_constrained_N24_N40_batch32,0.1528085321187973,False,-0.0035199970006943027,-0.023578481749516888,S3R19B28_N24_B07_control_sentinel,batch28_run20,0.149288535118103
run46_vs_combined264,24,SurfaceT,S3R24L64_N24_B06_model_disagreement,shortlist64_run27,580875968.0,S3R44CNS_N24_B07_surfacet_guarded,run46_constrained_N24_N40_batch32,581497728.0,False,-621760.0,-0.0010703834110072875,S3R24L64_N24_B06_model_disagreement,shortlist64_run27,580875968.0
run46_vs_combined264,24,Mises,N24_A06_edge_in_alternating,probe60_run08,579942784.0,S3R44CNS_N24_B03_constr_surrogate,run46_constrained_N24_N40_batch32,579943360.0,False,-576.0,-9.932014258841093e-07,N24_A06_edge_in_alternating,probe60_run08,579942784.0
run46_vs_combined264,24,combined_reward,S3R34N32INF_N24_B11_n24_calibration,run36_N32_informed_native_batch32,0.8386842105263157,S3R44CNS_N24_B16_uncertainty,run46_constrained_N24_N40_batch32,0.8783333333333334,True,0.03964912280701771,0.04727538960359815,S3R44CNS_N24_B16_uncertainty,run46_constrained_N24_N40_batch32,0.9083333333333333
run46_vs_combined264,40,U2,S3R34N32INF_N40_B08_n40_best_near,run36_N32_informed_native_batch32,5.696606240235269e-05,S3R44CNS_N40_B01_reward_balanced,run46_constrained_N24_N40_batch32,5.7689914683578536e-05,False,-7.238522812258452e-07,-0.012706728369485306,S3R34N32INF_N40_B08_n40_best_near,run36_N32_informed_native_batch32,5.696606240235269e-05
run46_vs_combined264,40,PEEQ,S3R39N2440B60_N40_B10_surrogate_top,run41_native_N24_N40_focused_batch60,0.1440253555774688,S3R44CNS_N40_B08_surfacet_guarded,run46_constrained_N24_N40_batch32,0.1534235626459121,False,-0.009398207068443298,-0.06525383694253865,S3R39N2440B60_N40_B10_surrogate_top,run41_native_N24_N40_focused_batch60,0.1440253555774688
run46_vs_combined264,40,SurfaceT,S3R19B28_N40_B06_uncertainty_calibration,batch28_run20,581119040.0,S3R44CNS_N40_B05_peeq_guarded,run46_constrained_N24_N40_batch32,581921728.0,False,-802688.0,-0.001381279814889562,S3R19B28_N40_B06_uncertainty_calibration,batch28_run20,581119040.0
run46_vs_combined264,40,Mises,N40_A07_regular_jump_coprime,probe60_run08,579924032.0,S3R44CNS_N40_B04_constr_surrogate,run46_constrained_N24_N40_batch32,579926528.0,False,-2496.0,-4.3040120123871675e-06,N40_A07_regular_jump_coprime,probe60_run08,579924032.0
run46_vs_combined264,40,combined_reward,S3R24L64_N40_B23_exploitation_reference,shortlist64_run27,0.8797368421052632,S3R44CNS_N40_B01_reward_balanced,run46_constrained_N24_N40_batch32,0.9033333333333333,True,0.02359649122807017,0.02682221557483298,S3R44CNS_N40_B01_reward_balanced,run46_constrained_N24_N40_batch32,0.8828828828828829
run46_vs_combined264_constrained,24,constrained_u2_reward_balanced,S3R34N32INF_N24_B11_n24_calibration,run36_N32_informed_native_batch32,0.7884210526315789,S3R44CNS_N24_B16_uncertainty,run46_constrained_N24_N40_batch32,0.8666666666666667,True,0.07824561403508778,0.09924343569203391,S3R44CNS_N24_B16_uncertainty,run46_constrained_N24_N40_batch32,0.8905405405405405
run46_vs_combined264_constrained,40,constrained_u2_reward_balanced,S3R39N2440B60_N40_B02_n40_u2_near,run41_native_N24_N40_focused_batch60,0.838421052631579,S3R44CNS_N40_B01_reward_balanced,run46_constrained_N24_N40_batch32,0.8466666666666667,True,0.008245614035087723,0.009834693450512664,S3R39N2440B60_N40_B02_n40_u2_near,run41_native_N24_N40_focused_batch60,0.8414414414414415
