source,n,count,best_u2_strategy,best_u2_value,best_peeq_strategy,best_peeq_value,best_surfaceT_strategy,best_surfaceT_value,best_mises_strategy,best_mises_value,best_reward_strategy,best_reward_value_combined296_basis,best_constrained_reward_strategy,best_constrained_reward_value_combined296_basis,top5_u2_entries_combined296,top10_u2_entries_combined296,top5_reward_entries_combined296,top10_reward_entries_combined296
run36_N32_informed_native_batch32,24,12,S3R34N32INF_N24_B10_n24_calibration,3.273940910730744e-05,S3R34N32INF_N24_B02_surrogate_top,0.1497802585363388,S3R34N32INF_N24_B01_graph_pointer,581126080.0,S3R34N32INF_N24_B05_uncertainty,579943296.0,S3R34N32INF_N24_B11_n24_calibration,0.827027027027027,S3R34N32INF_N24_B11_n24_calibration,0.7743243243243243,1,2,1,2
run36_N32_informed_native_batch32,40,12,S3R34N32INF_N40_B08_n40_best_near,5.696606240235269e-05,S3R34N32INF_N40_B06_diversity,0.1472502499818802,S3R34N32INF_N40_B10_n40_best_near,581764736.0,S3R34N32INF_N40_B06_diversity,579925120.0,S3R34N32INF_N40_B08_n40_best_near,0.8585585585585586,S3R34N32INF_N40_B08_n40_best_near,0.7981981981981983,2,2,0,2
shortlist64_run27,24,24,S3R24L64_N24_B20_tradeoff_probe,5.346994021238061e-05,S3R24L64_N24_B22_sentinel_control,0.1525747328996658,S3R24L64_N24_B06_model_disagreement,580875968.0,S3R24L64_N24_B18_tradeoff_probe,579943168.0,S3R24L64_N24_B03_top_region,0.7326576576576577,S3R24L64_N24_B03_top_region,0.7090090090090089,0,0,0,0
shortlist64_run27,40,24,S3R24L64_N40_B23_exploitation_reference,5.95808796788333e-05,S3R24L64_N40_B24_exploitation_reference,0.1537862718105316,S3R24L64_N40_B01_top_region,581591424.0,S3R24L64_N40_B21_sentinel_control,579924800.0,S3R24L64_N40_B23_exploitation_reference,0.8702702702702705,S3R24L64_N40_B23_exploitation_reference,0.8139639639639641,1,1,1,1
run46_constrained_N24_N40_batch32,24,16,S3R44CNS_N24_B14_hybrid_disagree,3.166340729876538e-05,S3R44CNS_N24_B16_uncertainty,0.1528085321187973,S3R44CNS_N24_B07_surfacet_guarded,581497728.0,S3R44CNS_N24_B03_constr_surrogate,579943360.0,S3R44CNS_N24_B16_uncertainty,0.9083333333333333,S3R44CNS_N24_B16_uncertainty,0.8905405405405405,1,3,4,5
run46_constrained_N24_N40_batch32,40,16,S3R44CNS_N40_B01_reward_balanced,5.7689914683578536e-05,S3R44CNS_N40_B08_surfacet_guarded,0.1534235626459121,S3R44CNS_N40_B05_peeq_guarded,581921728.0,S3R44CNS_N40_B04_constr_surrogate,579926528.0,S3R44CNS_N40_B01_reward_balanced,0.8828828828828829,S3R44CNS_N40_B08_surfacet_guarded,0.8252252252252252,2,4,3,4
