group_type,group_value,count,median_u2_rank_combined296,best_u2_rank_combined296,median_reward_rank_combined296,best_reward_rank_combined296,top5_u2_count,top10_u2_count,top5_reward_count,top10_reward_count
n,24,16,21.0,1.0,18.0,1.0,1,3,4,5
n,40,16,27.0,2.0,33.0,1.0,2,4,3,4
candidate_source,PEEQ_guarded_candidates,4,19.0,3.0,16.5,7.0,1,1,0,1
candidate_source,SurfaceT_guarded_candidates,4,10.5,7.0,3.5,2.0,0,2,3,3
candidate_source,U2_guarded_local_search,4,41.5,16.0,48.0,16.0,0,0,0,0
candidate_source,constrained_surrogate_top,4,19.5,13.0,14.25,9.0,0,0,0,1
candidate_source,hybrid_agreement,4,32.5,5.5,33.5,3.5,0,1,1,1
candidate_source,hybrid_disagreement,4,27.5,1.0,36.5,5.0,1,1,1,1
candidate_source,reward_balanced_local_search,4,34.5,2.0,39.5,1.0,1,1,1,1
candidate_source,uncertainty_calibration,4,39.0,8.0,45.5,1.0,0,1,1,1
generation_method,existing_pool_selection,4,19.5,13.0,14.25,9.0,0,0,0,1
generation_method,offline_mutation_or_pointer_proxy,28,26.5,1.0,27.0,1.0,3,7,7,8
selection_bucket,PEEQ_guarded_candidates,4,19.0,3.0,16.5,7.0,1,1,0,1
selection_bucket,SurfaceT_guarded_candidates,4,10.5,7.0,3.5,2.0,0,2,3,3
selection_bucket,U2_guarded_local_search,4,41.5,16.0,48.0,16.0,0,0,0,0
selection_bucket,constrained_surrogate_top,4,19.5,13.0,14.25,9.0,0,0,0,1
selection_bucket,hybrid_agreement,4,32.5,5.5,33.5,3.5,0,1,1,1
selection_bucket,hybrid_disagreement,4,27.5,1.0,36.5,5.0,1,1,1,1
selection_bucket,reward_balanced_local_search,4,34.5,2.0,39.5,1.0,1,1,1,1
selection_bucket,uncertainty_calibration,4,39.0,8.0,45.5,1.0,0,1,1,1
priority_role,constrained_reward_balance,32,25.5,1.0,23.5,1.0,3,7,7,9
