strategy_name,final_expansion_batch,global_candidate_index,n,order_json,order_compact,order_hash,ppo_checkpoint,ppo_version_source,ppo_generation_mode,seed,selected_by_bucket,predicted_reward_available,predicted_quality_score,mean_abs_jump,max_abs_jump,long_jump_count,adjacent_fraction,total_travel_proxy,jump_variance,local_continuity_score,path_complexity_score,novelty_distance_score,min_hamming_to_combined552_sameN,min_hamming_to_conventional_baseline,nearest_conventional_baseline,candidate_source,teacher_validated,abaqus_validated,notes,stageT_pool_source,source_row_index,parity_switch_fraction,early_center_bias,early_edge_bias,duplicate_vs_combined552,duplicate_vs_ppo_v01,duplicate_vs_ppo_v02K2,duplicate_vs_ppo_v03,selected_already
PPOFINAL_N24_B107_diversity,final_expansion_batch04,107,24,"[11, 3, 1, 15, 21, 19, 23, 13, 17, 9, 7, 20, 5, 0, 2, 6, 8, 4, 10, 12, 16, 18, 22, 14]","11,3,1,15,21,19,23,13,17,9,7,20,5,0,2,6,8,4,10,12,16,18,22,14",b50b42d8d6d81b48,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v01\ppo_training\checkpoints\maskable_ppo_lam_scan_order_final.zip,v01,stochastic,22661030,diversity,True,0.6845514447853005,5.695652173913044,15.0,7,0.0,131.0,15.516068052930056,-0.2476370510396975,0.2666497820786327,18.0,18,18.0,odd_even,PPO_final_expansion_checkpoint_inference,False,False,final expansion PPO candidate; not physically validated yet.,existing_v01_rollout_pool,1479,0.1304347826086956,0.5797101449275363,0.4202898550724637,False,False,False,False,False
PPOFINAL_N24_B108_diversity,final_expansion_batch04,108,24,"[11, 1, 13, 3, 15, 23, 19, 21, 7, 5, 17, 9, 0, 2, 6, 4, 8, 10, 16, 14, 18, 20, 22, 12]","11,1,13,3,15,23,19,21,7,5,17,9,0,2,6,4,8,10,16,14,18,20,22,12",c2d90a10e6c13e10,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v01\ppo_training\checkpoints\maskable_ppo_lam_scan_order_final.zip,v01,stochastic,22660768,diversity,True,0.6553689268744944,6.217391304347826,14.0,10,0.0,143.0,16.517958412098302,-0.2703213610586011,0.2902828451394422,17.0,17,19.0,odd_even,PPO_final_expansion_checkpoint_inference,False,False,final expansion PPO candidate; not physically validated yet.,existing_v01_rollout_pool,1217,0.0434782608695652,0.5217391304347826,0.4782608695652173,False,False,False,False,False
PPOFINAL_N24_B109_diversity,final_expansion_batch04,109,24,"[11, 3, 1, 15, 23, 21, 9, 13, 19, 17, 7, 0, 2, 5, 6, 4, 8, 10, 12, 18, 20, 22, 16, 14]","11,3,1,15,23,21,9,13,19,17,7,0,2,5,6,4,8,10,12,18,20,22,16,14",390cfaafc4da7c47,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v01\ppo_training\checkpoints\maskable_ppo_lam_scan_order_final.zip,v01,stochastic,22661023,diversity,True,0.804033542880852,4.739130434782608,14.0,5,0.0434782608695652,109.0,12.627599243856336,-0.162570888468809,0.2213344661194511,16.0,16,20.0,odd_even,PPO_final_expansion_checkpoint_inference,False,False,final expansion PPO candidate; not physically validated yet.,existing_v01_rollout_pool,1472,0.1304347826086956,0.6376811594202899,0.3623188405797101,False,False,False,False,False
PPOFINAL_N24_B110_diversity,final_expansion_batch04,110,24,"[11, 3, 1, 21, 15, 23, 19, 17, 13, 9, 7, 0, 2, 5, 6, 4, 8, 16, 18, 20, 22, 14, 10, 12]","11,3,1,21,15,23,19,17,13,9,7,0,2,5,6,4,8,16,18,20,22,14,10,12",6c173eb0332cca99,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v01\ppo_training\checkpoints\maskable_ppo_lam_scan_order_final.zip,v01,stochastic,22661126,diversity,True,0.7865085680164963,4.652173913043479,20.0,5,0.0434782608695652,107.0,16.052930056710778,-0.1587901701323251,0.2241863832199951,19.0,19,21.0,edge_in,PPO_final_expansion_checkpoint_inference,False,False,final expansion PPO candidate; not physically validated yet.,existing_v01_rollout_pool,1575,0.1304347826086956,0.6376811594202899,0.3623188405797101,False,False,False,False,False
PPOFINAL_N24_B111_diversity,final_expansion_batch04,111,24,"[11, 1, 3, 15, 23, 21, 19, 13, 17, 7, 5, 0, 2, 4, 6, 8, 10, 16, 20, 9, 12, 18, 22, 14]","11,1,3,15,23,21,19,13,17,7,5,0,2,4,6,8,10,16,20,9,12,18,22,14",3989d0080d339976,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v01\ppo_training\checkpoints\maskable_ppo_lam_scan_order_final.zip,v01,stochastic,22660769,diversity,True,0.7800222654545491,5.0,12.0,6,0.0,115.0,10.608695652173912,-0.217391304347826,0.2283875784225089,17.0,17,22.0,raster,PPO_final_expansion_checkpoint_inference,False,False,final expansion PPO candidate; not physically validated yet.,existing_v01_rollout_pool,1218,0.1304347826086956,0.6376811594202899,0.3623188405797101,False,False,False,False,False
PPOFINAL_N24_B112_diversity,final_expansion_batch04,112,24,"[11, 1, 3, 15, 23, 19, 21, 17, 9, 7, 13, 5, 0, 2, 4, 6, 8, 10, 18, 20, 22, 14, 16, 12]","11,1,3,15,23,19,21,17,9,7,13,5,0,2,4,6,8,10,18,20,22,14,16,12",d699348f4b02cb9e,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v01\ppo_training\checkpoints\maskable_ppo_lam_scan_order_final.zip,v01,stochastic,22661130,diversity,True,0.7760434167062839,4.652173913043479,12.0,7,0.0,107.0,9.531190926275992,-0.2022684310018903,0.2118579538618953,16.0,16,18.0,odd_even,PPO_final_expansion_checkpoint_inference,False,False,final expansion PPO candidate; not physically validated yet.,existing_v01_rollout_pool,1579,0.0434782608695652,0.6086956521739131,0.3913043478260869,False,False,False,False,False
PPOFINAL_N24_B113_efficiency,final_expansion_batch04,113,24,"[21, 23, 19, 17, 18, 22, 20, 16, 14, 15, 12, 13, 10, 9, 11, 8, 7, 6, 4, 2, 5, 3, 0, 1]","21,23,19,17,18,22,20,16,14,15,12,13,10,9,11,8,7,6,4,2,5,3,0,1",fcc378efe4f89550,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v03_lex_primary_N24_N40\ppo_training_v03\checkpoints\N24_seed20260627_maskable_ppo_v03.zip,v03,deterministic,20260627,efficiency,True,0.3398632326193986,2.1739130434782608,4.0,0,0.3043478260869565,50.0,1.0132325141776934,0.2098298676748582,0.0924950835176642,20.0,20,23.0,center_out,PPO_final_expansion_checkpoint_inference,False,False,final expansion PPO candidate; not physically validated yet.,existing_v03_rollout_pool,0,0.5217391304347826,0.7391304347826088,0.2608695652173913,False,False,False,False,False
PPOFINAL_N24_B114_efficiency,final_expansion_batch04,114,24,"[23, 22, 21, 17, 19, 18, 20, 15, 16, 8, 10, 13, 14, 11, 12, 9, 4, 5, 7, 6, 2, 3, 1, 0]","23,22,21,17,19,18,20,15,16,8,10,13,14,11,12,9,4,5,7,6,2,3,1,0",0b16744bf6ae81d3,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v03_lex_primary_N24_N40\ppo_training_v03\checkpoints\N24_seed20260627_maskable_ppo_v03.zip,v03,stochastic,42921273,efficiency,True,0.3185226938269591,2.391304347826087,8.0,1,0.4347826086956521,55.0,3.107750472589793,0.330812854442344,0.1055124457578887,17.0,17,23.0,raster,PPO_final_expansion_checkpoint_inference,False,False,final expansion PPO candidate; not physically validated yet.,existing_v03_rollout_pool,18,0.6521739130434783,0.7391304347826088,0.2608695652173913,False,False,False,False,False
PPOFINAL_N24_B115_efficiency,final_expansion_batch04,115,24,"[23, 19, 22, 20, 16, 18, 17, 21, 13, 14, 15, 12, 11, 10, 9, 8, 7, 4, 3, 1, 2, 5, 6, 0]","23,19,22,20,16,18,17,21,13,14,15,12,11,10,9,8,7,4,3,1,2,5,6,0",4b515e60f47ee486,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v03_lex_primary_N24_N40\ppo_training_v03\checkpoints\N24_seed20260627_maskable_ppo_v03.zip,v03,stochastic,42921262,efficiency,True,0.3506208867652674,2.391304347826087,8.0,1,0.4782608695652174,55.0,3.2816635160680523,0.3742911153119093,0.1058412038741047,12.0,12,22.0,regular_jump,PPO_final_expansion_checkpoint_inference,False,False,final expansion PPO candidate; not physically validated yet.,existing_v03_rollout_pool,7,0.6521739130434783,0.7101449275362318,0.2898550724637681,False,False,False,False,False
PPOFINAL_N24_B116_efficiency,final_expansion_batch04,116,24,"[19, 23, 22, 20, 18, 17, 21, 16, 15, 14, 12, 9, 10, 11, 13, 8, 7, 0, 2, 4, 6, 3, 1, 5]","19,23,22,20,18,17,21,16,15,14,12,9,10,11,13,8,7,0,2,4,6,3,1,5",a2eed9c3a29ed981,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v03_lex_primary_N24_N40\ppo_training_v03\checkpoints\N24_seed20260627_maskable_ppo_v03.zip,v03,stochastic,42921369,efficiency,True,0.362493459607925,2.5217391304347827,7.0,0,0.3043478260869565,58.0,2.51039697542533,0.1947069943289225,0.1098180157065381,16.0,16,23.0,center_out,PPO_final_expansion_checkpoint_inference,False,False,final expansion PPO candidate; not physically validated yet.,existing_v03_rollout_pool,114,0.5217391304347826,0.7246376811594203,0.2753623188405796,False,False,False,False,False
