strategy_name,final_expansion_batch,global_candidate_index,n,order_json,order_compact,order_hash,ppo_checkpoint,ppo_version_source,ppo_generation_mode,seed,selected_by_bucket,predicted_reward_available,predicted_quality_score,mean_abs_jump,max_abs_jump,long_jump_count,adjacent_fraction,total_travel_proxy,jump_variance,local_continuity_score,path_complexity_score,novelty_distance_score,min_hamming_to_combined552_sameN,min_hamming_to_conventional_baseline,nearest_conventional_baseline,candidate_source,teacher_validated,abaqus_validated,notes,stageT_pool_source,source_row_index,parity_switch_fraction,early_center_bias,early_edge_bias,duplicate_vs_combined552,duplicate_vs_ppo_v01,duplicate_vs_ppo_v02K2,duplicate_vs_ppo_v03,selected_already
PPOFINAL_N12_B043_novelty,final_expansion_batch02,43,12,"[11, 1, 3, 9, 7, 0, 2, 4, 5, 6, 8, 10]","11,1,3,9,7,0,2,4,5,6,8,10",667cc0b2be39f4b7,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v01\ppo_training\checkpoints\maskable_ppo_lam_scan_order_final.zip,v01,stochastic,21460759,novelty,True,0.6398432542189428,3.363636363636364,10.0,3,0.1818181818181818,37.0,7.867768595041323,-0.1239669421487603,0.345325911253785,6.0,6,9.0,odd_even,PPO_final_expansion_checkpoint_inference,False,False,final expansion PPO candidate; not physically validated yet.,existing_v01_rollout_pool,152,0.2727272727272727,0.7575757575757577,0.2424242424242424,False,False,False,False,False
PPOFINAL_N12_B044_novelty,final_expansion_batch02,44,12,"[11, 1, 3, 9, 5, 0, 7, 4, 2, 6, 8, 10]","11,1,3,9,5,0,7,4,2,6,8,10",7490c177c3657ed7,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v01\ppo_training\checkpoints\maskable_ppo_lam_scan_order_final.zip,v01,stochastic,21461093,novelty,True,0.5530251329330956,4.2727272727272725,10.0,6,0.0,47.0,6.016528925619835,-0.3884297520661157,0.40578398561118323,6.0,6,9.0,odd_even,PPO_final_expansion_checkpoint_inference,False,False,Stage T repair replacement from rollout pool; original duplicate physical order removed; not physically validated yet.,existing_v01_rollout_pool,486,0.2727272727272727,0.7575757575757577,0.2424242424242424,False,False,False,False,False
PPOFINAL_N12_B045_baseline_proximity,final_expansion_batch02,45,12,"[11, 3, 1, 7, 5, 9, 0, 2, 4, 6, 8, 10]","11,3,1,7,5,9,0,2,4,6,8,10",d9d48697cbdeabff,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v01\ppo_training\checkpoints\maskable_ppo_lam_scan_order_final.zip,v01,stochastic,203806394,baseline_proximity,True,0.734168139160716,3.727272727272727,9.0,4,0.0,41.0,6.561983471074381,-0.3388429752066115,0.3648373289620472,3.0,3,4.0,odd_even,PPO_final_expansion_checkpoint_inference,False,False,final expansion PPO candidate; not physically validated yet.,fresh_v01_checkpoint_inference_lowN_topup,104,0.0909090909090909,0.2424242424242423,0.7575757575757576,False,False,False,False,False
PPOFINAL_N12_B046_baseline_proximity,final_expansion_batch02,46,12,"[3, 11, 1, 7, 9, 5, 0, 2, 4, 6, 8, 10]","3,11,1,7,9,5,0,2,4,6,8,10",5f7d2403c1cdd71e,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v01\ppo_training\checkpoints\maskable_ppo_lam_scan_order_final.zip,v01,stochastic,21460912,baseline_proximity,True,0.7175525424814981,4.090909090909091,10.0,5,0.0,45.0,7.355371900826444,-0.371900826446281,0.4016972884365821,3.0,3,4.0,odd_even,PPO_final_expansion_checkpoint_inference,False,False,final expansion PPO candidate; not physically validated yet.,existing_v01_rollout_pool,305,0.0909090909090909,0.7575757575757577,0.2424242424242424,False,False,False,False,False
PPOFINAL_N12_B047_baseline_proximity,final_expansion_batch02,47,12,"[11, 1, 3, 9, 7, 5, 0, 2, 4, 10, 6, 8]","11,1,3,9,7,5,0,2,4,10,6,8",a78982ae1aba990c,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v01\ppo_training\checkpoints\maskable_ppo_lam_scan_order_final.zip,v01,stochastic,203806924,baseline_proximity,True,0.6753767838058995,3.909090909090909,10.0,5,0.0,43.0,6.264462809917356,-0.35537190082644626,0.3775299956742481,5.0,5,4.0,odd_even,PPO_final_expansion_checkpoint_inference,False,False,Stage T repair replacement from rollout pool; original duplicate physical order removed; not physically validated yet.,fresh_v01_checkpoint_inference_lowN_topup,634,0.09090909090909091,0.24242424242424232,0.7575757575757576,False,False,False,False,False
PPOFINAL_N12_B048_baseline_proximity,final_expansion_batch02,48,12,"[11, 1, 3, 7, 9, 5, 0, 2, 6, 4, 8, 10]","11,1,3,7,9,5,0,2,6,4,8,10",81374eb04629101e,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v01\ppo_training\checkpoints\maskable_ppo_lam_scan_order_final.zip,v01,stochastic,203808740,baseline_proximity,True,0.6637800912299493,3.727272727272727,10.0,6,0.0,41.0,5.107438016528925,-0.33884297520661155,0.352816292147622,2.0,2,5.0,odd_even,PPO_final_expansion_checkpoint_inference,False,False,Stage T repair replacement from rollout pool; original duplicate physical order removed; not physically validated yet.,fresh_v01_checkpoint_inference_lowN_topup,2450,0.09090909090909091,0.24242424242424232,0.7575757575757576,False,False,False,False,False
PPOFINAL_N16_B049_diversity,final_expansion_batch02,49,16,"[11, 3, 1, 15, 9, 7, 13, 5, 0, 2, 4, 6, 8, 10, 12, 14]","11,3,1,15,9,7,13,5,0,2,4,6,8,10,12,14",073d57ec3eee3249,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v01\ppo_training\checkpoints\maskable_ppo_lam_scan_order_final.zip,v01,stochastic,204206568,diversity,True,0.8150226748347584,4.333333333333333,14.0,5,0.0,65.0,11.688888888888895,-0.2888888888888888,0.3227839506172839,9.0,9,5.0,odd_even,PPO_final_expansion_checkpoint_inference,False,False,final expansion PPO candidate; not physically validated yet.,fresh_v01_checkpoint_inference_lowN_topup,278,0.0666666666666666,0.2666666666666667,0.7333333333333334,False,False,False,False,False
PPOFINAL_N16_B050_diversity,final_expansion_batch02,50,16,"[11, 3, 15, 1, 9, 13, 7, 5, 0, 2, 4, 6, 8, 10, 12, 14]","11,3,15,1,9,13,7,5,0,2,4,6,8,10,12,14",58eb1df23533c9da,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v01\ppo_training\checkpoints\maskable_ppo_lam_scan_order_final.zip,v01,stochastic,204206379,diversity,True,0.8127098341871903,4.866666666666666,14.0,5,0.0,73.0,14.782222222222218,-0.3244444444444444,0.3698654320987654,9.0,9,6.0,odd_even,PPO_final_expansion_checkpoint_inference,False,False,final expansion PPO candidate; not physically validated yet.,fresh_v01_checkpoint_inference_lowN_topup,89,0.0666666666666666,0.2666666666666667,0.7333333333333334,False,False,False,False,False
PPOFINAL_N16_B051_diversity,final_expansion_batch02,51,16,"[11, 3, 1, 15, 7, 13, 9, 5, 0, 2, 4, 6, 8, 10, 12, 14]","11,3,1,15,7,13,9,5,0,2,4,6,8,10,12,14",aeaf0c90fb86acd2,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v01\ppo_training\checkpoints\maskable_ppo_lam_scan_order_final.zip,v01,stochastic,21860650,diversity,True,0.8106013832860884,4.333333333333333,14.0,4,0.0,65.0,11.155555555555562,-0.2888888888888888,0.3204135802469136,8.0,8,7.0,odd_even,PPO_final_expansion_checkpoint_inference,False,False,final expansion PPO candidate; not physically validated yet.,existing_v01_rollout_pool,571,0.0666666666666666,0.7333333333333334,0.2666666666666666,False,False,False,False,False
PPOFINAL_N16_B052_efficiency,final_expansion_batch02,52,16,"[11, 1, 3, 15, 13, 9, 7, 5, 4, 0, 2, 6, 8, 10, 12, 14]","11,1,3,15,13,9,7,5,4,0,2,6,8,10,12,14",436b3a81f5c90541,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v01\ppo_training\checkpoints\maskable_ppo_lam_scan_order_final.zip,v01,stochastic,204206562,efficiency,True,0.8853237620998888,3.533333333333333,12.0,2,0.0666666666666666,53.0,9.448888888888892,-0.1688888888888888,0.2628283950617284,8.0,8,11.0,odd_even,PPO_final_expansion_checkpoint_inference,False,False,final expansion PPO candidate; not physically validated yet.,fresh_v01_checkpoint_inference_lowN_topup,272,0.0666666666666666,0.2666666666666667,0.7333333333333334,False,False,False,False,False
