n,prefix_name,feature_name,min,max,mean,finite_count,expected_range,pass
32,raster_like_early,distance_ij_norm,0.03225806451612903,0.25806451612903225,0.13900293255131962,440,"[0,1]",True
32,raster_like_early,relative_position_ij_norm,-0.25806451612903225,0.25806451612903225,0.0,440,"[-1,1]",True
32,raster_like_early,is_adjacent,0.0,1.0,0.1409090909090909,440,"[0,1]",True
32,raster_like_early,is_within_thermal_radius,0.0,1.0,0.8909090909090909,440,"[0,1]",True
32,raster_like_early,left_or_right_relation,-1.0,1.0,0.0,440,"[-1,1]",True
32,raster_like_early,edge_type_code,0.75,1.0,0.7852272727272728,440,"[0,1]",True
32,odd_even_like_early,distance_ij_norm,0.03225806451612903,0.25806451612903225,0.13900293255131962,440,"[0,1]",True
32,odd_even_like_early,relative_position_ij_norm,-0.25806451612903225,0.25806451612903225,0.0,440,"[-1,1]",True
32,odd_even_like_early,is_adjacent,0.0,1.0,0.1409090909090909,440,"[0,1]",True
32,odd_even_like_early,is_within_thermal_radius,0.0,1.0,0.8909090909090909,440,"[0,1]",True
32,odd_even_like_early,left_or_right_relation,-1.0,1.0,0.0,440,"[-1,1]",True
32,odd_even_like_early,edge_type_code,0.75,1.0,0.7852272727272728,440,"[0,1]",True
32,center_out_like_early,distance_ij_norm,0.03225806451612903,0.25806451612903225,0.13900293255131962,440,"[0,1]",True
32,center_out_like_early,relative_position_ij_norm,-0.25806451612903225,0.25806451612903225,0.0,440,"[-1,1]",True
32,center_out_like_early,is_adjacent,0.0,1.0,0.1409090909090909,440,"[0,1]",True
32,center_out_like_early,is_within_thermal_radius,0.0,1.0,0.8909090909090909,440,"[0,1]",True
32,center_out_like_early,left_or_right_relation,-1.0,1.0,0.0,440,"[-1,1]",True
32,center_out_like_early,edge_type_code,0.75,1.0,0.7852272727272728,440,"[0,1]",True
32,maximin_like_early,distance_ij_norm,0.03225806451612903,0.25806451612903225,0.13900293255131962,440,"[0,1]",True
32,maximin_like_early,relative_position_ij_norm,-0.25806451612903225,0.25806451612903225,0.0,440,"[-1,1]",True
32,maximin_like_early,is_adjacent,0.0,1.0,0.1409090909090909,440,"[0,1]",True
32,maximin_like_early,is_within_thermal_radius,0.0,1.0,0.8909090909090909,440,"[0,1]",True
32,maximin_like_early,left_or_right_relation,-1.0,1.0,0.0,440,"[-1,1]",True
32,maximin_like_early,edge_type_code,0.75,1.0,0.7852272727272728,440,"[0,1]",True
40,empty,distance_ij_norm,0.02564102564102564,0.2564102564102564,0.13489409141583056,690,"[0,1]",True
40,empty,relative_position_ij_norm,-0.2564102564102564,0.2564102564102564,0.0,690,"[-1,1]",True
40,empty,is_adjacent,0.0,1.0,0.11304347826086956,690,"[0,1]",True
40,empty,is_within_thermal_radius,0.0,1.0,0.9130434782608695,690,"[0,1]",True
40,empty,left_or_right_relation,-1.0,1.0,0.0,690,"[-1,1]",True
40,empty,edge_type_code,0.75,1.0,0.7782608695652173,690,"[0,1]",True
40,raster_like_early,distance_ij_norm,0.02564102564102564,0.2564102564102564,0.13489409141583056,690,"[0,1]",True
40,raster_like_early,relative_position_ij_norm,-0.2564102564102564,0.2564102564102564,0.0,690,"[-1,1]",True
40,raster_like_early,is_adjacent,0.0,1.0,0.11304347826086956,690,"[0,1]",True
40,raster_like_early,is_within_thermal_radius,0.0,1.0,0.9130434782608695,690,"[0,1]",True
40,raster_like_early,left_or_right_relation,-1.0,1.0,0.0,690,"[-1,1]",True
40,raster_like_early,edge_type_code,0.75,1.0,0.7782608695652173,690,"[0,1]",True
40,odd_even_like_early,distance_ij_norm,0.02564102564102564,0.2564102564102564,0.13489409141583056,690,"[0,1]",True
40,odd_even_like_early,relative_position_ij_norm,-0.2564102564102564,0.2564102564102564,0.0,690,"[-1,1]",True
40,odd_even_like_early,is_adjacent,0.0,1.0,0.11304347826086956,690,"[0,1]",True
40,odd_even_like_early,is_within_thermal_radius,0.0,1.0,0.9130434782608695,690,"[0,1]",True
40,odd_even_like_early,left_or_right_relation,-1.0,1.0,0.0,690,"[-1,1]",True
40,odd_even_like_early,edge_type_code,0.75,1.0,0.7782608695652173,690,"[0,1]",True
40,center_out_like_early,distance_ij_norm,0.02564102564102564,0.2564102564102564,0.13489409141583056,690,"[0,1]",True
40,center_out_like_early,relative_position_ij_norm,-0.2564102564102564,0.2564102564102564,0.0,690,"[-1,1]",True
40,center_out_like_early,is_adjacent,0.0,1.0,0.11304347826086956,690,"[0,1]",True
40,center_out_like_early,is_within_thermal_radius,0.0,1.0,0.9130434782608695,690,"[0,1]",True
40,center_out_like_early,left_or_right_relation,-1.0,1.0,0.0,690,"[-1,1]",True
40,center_out_like_early,edge_type_code,0.75,1.0,0.7782608695652173,690,"[0,1]",True
40,maximin_like_early,distance_ij_norm,0.02564102564102564,0.2564102564102564,0.13489409141583056,690,"[0,1]",True
40,maximin_like_early,relative_position_ij_norm,-0.2564102564102564,0.2564102564102564,0.0,690,"[-1,1]",True
40,maximin_like_early,is_adjacent,0.0,1.0,0.11304347826086956,690,"[0,1]",True
40,maximin_like_early,is_within_thermal_radius,0.0,1.0,0.9130434782608695,690,"[0,1]",True
40,maximin_like_early,left_or_right_relation,-1.0,1.0,0.0,690,"[-1,1]",True
40,maximin_like_early,edge_type_code,0.75,1.0,0.7782608695652173,690,"[0,1]",True
