regime,target,feature_set,model,macro_spearman,macro_top5_overlap,macro_top10_overlap,mean_mae,protocols
plus_N32_unweighted,target_reward_combined480_plus_N32_mapped_u2_primary,F07_F01_no_n,ExtraTreesRegressor,0.7496305137388312,0.4,1.0,0.13625589953529016,5
plus_N32_unweighted,target_reward_combined480_plus_N32_strict_u2_surfaceT,F07_F01_no_n,ExtraTreesRegressor,0.7423273299189298,0.6,2.4,0.15182697636086187,5
native_combined480,target_reward_combined480_N12_recovery,F07_F01_no_n,ExtraTreesRegressor,0.7385046390495479,0.75,1.5,0.10923270999496071,4
native_combined480,target_reward_combined480_N16_recovery,F07_F01_no_n,ExtraTreesRegressor,0.7385046390495479,0.75,1.5,0.10923270999496071,4
plus_N32_unweighted,target_reward_combined480_plus_N32_mapped_u2_primary,F07_F01_no_n,GradientBoostingRegressor,0.7311578966982589,0.4,1.2,0.1362678451317275,5
plus_N32_balanced,target_reward_combined480_plus_N32_mapped_u2_primary,F07_F01_no_n,ElasticNet,0.7280943287683102,0.6,2.2,0.13564308682551413,5
plus_N32_unweighted,target_reward_combined480_plus_N32_mapped_u2_primary,F07_F01_no_n,ElasticNet,0.7280943287683102,0.6,2.2,0.13564308682551413,5
plus_N32_balanced,target_reward_combined480_plus_N32_mapped_u2_primary,F07_F01_no_n,GradientBoostingRegressor,0.7266820659341962,1.0,2.0,0.1350806020918255,5
plus_N32_balanced,target_reward_combined480_plus_N32_mapped_u2_primary,F07_F01_no_n,Ridge,0.723823699530002,0.8,1.8,0.1373845538890513,5
plus_N32_unweighted,target_reward_combined480_plus_N32_mapped_u2_primary,F07_F01_no_n,Ridge,0.723823699530002,0.8,1.8,0.1373845538890513,5
plus_N32_balanced,target_reward_combined480_plus_N32_mapped_u2_primary,F01_basic_order,ElasticNet,0.7234708837156913,0.4,2.0,0.1377238768940348,5
plus_N32_unweighted,target_reward_combined480_plus_N32_mapped_u2_primary,F01_basic_order,ElasticNet,0.7234708837156913,0.4,2.0,0.1377238768940348,5
plus_N32_unweighted,target_reward_combined480_plus_N32_mapped_u2_primary,F01_basic_order,GradientBoostingRegressor,0.7221859162952509,0.6,1.6,0.13898136168139721,5
plus_N32_balanced,target_reward_combined480_plus_N32_variable_N_balanced,F01_basic_order,RandomForestRegressor,0.72213561196059,0.6,2.2,0.13110003873856263,5
plus_N32_unweighted,target_reward_combined480_plus_N32_mapped_u2_primary,F07_F01_no_n,RandomForestRegressor,0.7195608044676718,0.6,1.2,0.13906556265157494,5
native_combined480,target_reward_combined480_constrained_u2_reward_balanced,F07_F01_no_n,ExtraTreesRegressor,0.7184861704129447,0.75,3.5,0.10629755717091216,4
native_combined480,target_reward_combined480_smallN_recovery,F07_F01_no_n,ExtraTreesRegressor,0.7182280611932164,0.75,3.0,0.11086909423293581,4
plus_N32_unweighted,target_reward_combined480_plus_N32_mapped_u2_primary,F02_full_handcrafted,ExtraTreesRegressor,0.717052161648507,0.4,1.2,0.14092413143782095,5
plus_N32_balanced,target_reward_combined480_plus_N32_mapped_u2_primary,F01_basic_order,Ridge,0.7163784096276732,0.4,1.6,0.13862562564965913,5
plus_N32_unweighted,target_reward_combined480_plus_N32_mapped_u2_primary,F01_basic_order,Ridge,0.7163784096276732,0.4,1.6,0.13862562564965913,5
