batch_option,count,per_N_counts,mean_constrained_score,mean_surrogate_prediction,mean_predicted_u2_guarded_score,mean_penalty_guard_score,mean_penalty_repair_score,mean_N12_recovery_score,mean_N16_recovery_score,mean_variable_N_recovery_score,mean_N40_penalty_repair_score,mean_N40_followup_score,mean_two_stage_repair_score,mean_novelty_distance,candidate_source_composition,overlap_combined480_teacher_orders,overlap_run66,overlap_run61,overlap_run56,overlap_run51,overlap_run46,overlap_run41,overlap_run36,overlap_run27,overlap_superseded_run31
option_A_smallN_recovery_focused_batch40,40,"{""12"": 16, ""16"": 16, ""24"": 4, ""40"": 4}",0.750126637992737,0.7543907039572502,0.7542557908641508,0.7521445639861102,0.7523632576267228,0.7530033713447901,0.7530033713447901,0.7526199456234148,0.7522528039778077,0.7520416707863772,0.7509190725566945,0.19572916666666665,"{""N12_recovery_surrogate_top"": 4, ""N16_recovery_surrogate_top"": 4, ""N12_local_search_around_Run66_best"": 3, ""N12_recovery_u2_safe"": 3, ""N16_local_search_around_Run66_best"": 3, ""N16_recovery_u2_safe"": 3, ""N12_recovery_penalty_aware"": 2, ""N12_recovery_reward_balanced"": 2, ""N16_recovery_penalty_aware"": 2, ""N24_frozen_top_density_reference"": 2, ""N16_recovery_reward_balanced"": 2, ""N40_frozen_u2_reward_reference"": 2, ""N24_uncertainty_anchor"": 2, ""N12_recovery_uncertainty"": 1, ""N12_recovery_diversity"": 1, ""N16_recovery_diversity"": 1, ""N16_recovery_uncertainty"": 1, ""N40_uncertainty_anchor"": 1, ""N40_sentinel_control"": 1}",0,0,0,0,0,0,0,0,0,0
option_B_smallN_recovery_batch32,32,"{""12"": 14, ""16"": 14, ""24"": 2, ""40"": 2}",0.7698871360527505,0.7749596150679317,0.7724917830531435,0.7726814539928956,0.7722121124602483,0.7722786027790622,0.7722786027790622,0.7721698398688708,0.772202332710084,0.7721735683682844,0.7723469830010133,0.19127604166666667,"{""N12_recovery_surrogate_top"": 4, ""N16_recovery_surrogate_top"": 4, ""N12_recovery_u2_safe"": 3, ""N12_local_search_around_Run66_best"": 3, ""N16_recovery_u2_safe"": 3, ""N16_local_search_around_Run66_best"": 3, ""N12_recovery_penalty_aware"": 2, ""N12_recovery_reward_balanced"": 2, ""N16_recovery_penalty_aware"": 2, ""N16_recovery_reward_balanced"": 2, ""N24_frozen_top_density_reference"": 2, ""N40_frozen_u2_reward_reference"": 2}",0,0,0,0,0,0,0,0,0,0
option_C_final_diagnostic_batch24,24,"{""12"": 8, ""16"": 8, ""24"": 4, ""40"": 4}",0.7116838127984307,0.7162787012344648,0.7178900260609337,0.7136267050824686,0.7144105700027518,0.7156090000549679,0.7156090000549679,0.7149699571860092,0.7142264805878932,0.7139498490931242,0.7119722279291313,0.1907986111111111,"{""N12_recovery_surrogate_top"": 4, ""N16_recovery_surrogate_top"": 4, ""N12_local_search_around_Run66_best"": 3, ""N16_local_search_around_Run66_best"": 3, ""N40_frozen_u2_reward_reference"": 2, ""N24_frozen_top_density_reference"": 2, ""N24_uncertainty_anchor"": 2, ""N12_recovery_u2_safe"": 1, ""N16_recovery_u2_safe"": 1, ""N40_uncertainty_anchor"": 1, ""N40_sentinel_control"": 1}",0,0,0,0,0,0,0,0,0,0
