regime,target,feature_set,model_name,macro_spearman_leave_N_out,macro_top5_overlap_leave_N_out,macro_top10_overlap_leave_N_out,n24_spearman,n32_spearman,n40_spearman
native_only_combined172,target_surfaceT_score_combined172_plus_N32_rank,F07_F01_no_n,ExtraTreesRegressor,0.35942565450649233,2.25,4.75,0.4775083898259664,nan,0.22842765580837454
native_only_combined172,target_mises_score_combined172_plus_N32_rank,F01_basic_order,MeanBaseline,nan,0.75,4.25,nan,nan,nan
native_only_combined172,target_mises_score_combined172_plus_N32_rank,F01_basic_order,Ridge,0.5685673759557658,1.75,5.5,0.5733072249305387,nan,0.4614227844157469
native_only_combined172,target_mises_score_combined172_plus_N32_rank,F01_basic_order,ExtraTreesRegressor,0.6241186175512742,2.0,5.0,0.5901263823579984,nan,0.5719387341654588
native_only_combined172,target_mises_score_combined172_plus_N32_rank,F07_F01_no_n,MeanBaseline,nan,0.75,4.25,nan,nan,nan
native_only_combined172,target_mises_score_combined172_plus_N32_rank,F07_F01_no_n,Ridge,0.5766201264949993,1.75,5.5,0.5726176011635814,nan,0.4947140435104583
native_only_combined172,target_mises_score_combined172_plus_N32_rank,F07_F01_no_n,ExtraTreesRegressor,0.5983200661889998,2.0,5.25,0.5812378982505482,nan,0.5186934117215458
plus_N32_unweighted,target_reward_combined172_plus_N32_mapped_u2_primary,F01_basic_order,MeanBaseline,nan,0.4,1.2,nan,nan,nan
plus_N32_unweighted,target_reward_combined172_plus_N32_mapped_u2_primary,F01_basic_order,Ridge,0.7361192802284474,1.0,4.6,0.6846158275950428,0.7506555429222899,0.8065567557831971
plus_N32_unweighted,target_reward_combined172_plus_N32_mapped_u2_primary,F01_basic_order,RandomForestRegressor,0.8293386488798056,1.6,5.2,0.8089410218878433,0.799877649085118,0.8673541430160444
plus_N32_unweighted,target_reward_combined172_plus_N32_mapped_u2_primary,F01_basic_order,ExtraTreesRegressor,0.8355587799672854,1.6,5.2,0.8034805518449157,0.7945543253984632,0.8733011914649941
plus_N32_unweighted,target_reward_combined172_plus_N32_mapped_u2_primary,F03_family_plus_features,MeanBaseline,nan,0.4,1.2,nan,nan,nan
plus_N32_unweighted,target_reward_combined172_plus_N32_mapped_u2_primary,F03_family_plus_features,Ridge,0.8155369725062742,1.4,4.8,0.7654805696181478,0.7879909175282107,0.8588907947398513
plus_N32_unweighted,target_reward_combined172_plus_N32_mapped_u2_primary,F03_family_plus_features,RandomForestRegressor,0.8049162587255649,0.8,5.0,0.8254016658953975,0.7837752799330705,0.8930436439870402
plus_N32_unweighted,target_reward_combined172_plus_N32_mapped_u2_primary,F03_family_plus_features,ExtraTreesRegressor,0.8117348402295569,1.2,5.0,0.8334222764351604,0.7956629722047884,0.8871736230226797
plus_N32_unweighted,target_reward_combined172_plus_N32_mapped_u2_primary,F05_n_agnostic,MeanBaseline,nan,0.4,1.2,nan,nan,nan
plus_N32_unweighted,target_reward_combined172_plus_N32_mapped_u2_primary,F05_n_agnostic,Ridge,0.8074084299272061,1.4,5.2,0.7649088034322963,0.7670284663856013,0.8767295597484277
plus_N32_unweighted,target_reward_combined172_plus_N32_mapped_u2_primary,F05_n_agnostic,RandomForestRegressor,0.8029606138317403,0.8,4.6,0.8279936726045916,0.7795127469947507,0.8940346864875167
