n,order_hash,candidate_source,selection_bucket,generation_method,seed_strategy,first_track_norm,last_track_norm,normalized_mean_jump,normalized_max_jump,adjacent_jump_count,long_jump_count,parity_switch_rate,monotonicity_fraction,direction_reversal_count,jump_entropy,early_center_bias,late_center_bias,edge_early_count,center_early_count,max_unvisited_gap_proxy_mean_norm,max_unvisited_gap_proxy_max_norm,odd_even_transition_count,mean_signed_jump,jump_std_norm,candidate_id,strategy_name,order_json,order_compact,nearest_existing_teacher_strategy,novelty_distance_to_combined172_plus_N32,duplicate_of_combined172_plus_N32_teacher,order,reward,surrogate_reward_pred,f01_extra_trees_reward_pred,gnn_reward_pred,graph_pointer_mean_logprob,uncertainty_score,gnn_surrogate_disagreement,hybrid_score,acquisition_score,surrogate_reward_pred_rank_within_n,gnn_reward_pred_rank_within_n,hybrid_score_rank_within_n,acquisition_score_rank_within_n,gnn_surrogate_disagreement_rank_within_n,uncertainty_score_rank_within_n,novelty_distance_to_combined172_plus_N32_rank_within_n,option_c_focused_batch36_rank_within_n
24,fd4d2251d26e8fe6,graph_pointer_greedy,graph_pointer_top,greedy_decode,,0.0,1.0,0.1228733459357278,0.9565217391304348,1,1,0.043478260869565216,0.9090909090909091,2,0.355712859743894,0.5652173913043478,0.6376811594202898,3,3,0.2690972222222222,0.9583333333333334,1.0,0.043478260869565216,0.17795500243118798,R33_N24_C00001,N24_R33_N24_C00001_graph_pointer_top,"[0,2,4,6,8,10,12,14,16,18,20,22,21,19,17,15,13,11,9,7,5,3,1,23]",0-2-4-6-8-10-12-14-16-18-20-22-21-19-17-15-13-11-9-7-5-3-1-23,S3R19B28_N24_B10_known_best_mutation,0.10869565217391304,False,"[0, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 21, 19, 17, 15, 13, 11, 9, 7, 5, 3, 1, 23]",nan,0.5,0.6982690003962161,0.6982690003962161,-1.3527020062319934,0.07083767438302192,0.1982690003962161,0.46752058275474756,0.4873474827943692,1250.5,68.0,127.0,83.0,735.0,2187.0,1571.5,1
24,d32aa3c0deee7cee,surrogate_top_predicted,surrogate_top_predicted,even_odd,,0.6956521739130435,0.8260869565217391,0.2741020793950851,0.8695652173913043,0,3,0.043478260869565216,0.5454545454545454,10,1.8347505070838412,0.5362318840579711,0.5217391304347826,3,3,0.16145833333333334,0.6666666666666666,1.0,0.005671077504725897,0.1907858511461646,R33_N24_C02477,N24_R33_N24_C02477_surrogate_top_predicted,"[16,12,0,2,4,8,14,20,18,10,6,22,15,17,21,11,5,1,7,13,9,3,23,19]",16-12-0-2-4-8-14-20-18-10-6-22-15-17-21-11-5-1-7-13-9-3-23-19,S3R24L64_N24_B23_exploitation_reference,0.18840579710144928,False,"[16, 12, 0, 2, 4, 8, 14, 20, 18, 10, 6, 22, 15, 17, 21, 11, 5, 1, 7, 13, 9, 3, 23, 19]",nan,0.5,0.6575027929775572,0.6575027929775572,-2.060560359309117,0.07940535130994206,0.1575027929775572,0.4661568130855284,0.48190709238328416,1250.5,261.0,139.0,148.0,1219.0,2030.0,1284.0,2
24,6b0023fb75023833,hybrid_gnn_surrogate_agreement,hybrid_gnn_surrogate_agreement,even_odd,,0.34782608695652173,0.8260869565217391,0.3648393194706995,0.8695652173913043,0,5,0.043478260869565216,0.45454545454545453,12,1.9940826364895914,0.3333333333333333,0.5362318840579711,2,4,0.16145833333333334,0.625,1.0,0.020793950850661626,0.22085673810109493,R33_N24_C01849,N24_R33_N24_C01849_hybrid_gnn_surrogate_agreement,"[8,12,10,20,18,14,6,0,4,16,2,22,15,13,3,23,17,7,21,11,1,5,9,19]",8-12-10-20-18-14-6-0-4-16-2-22-15-13-3-23-17-7-21-11-1-5-9-19,S3R24L64_N24_B02_top_region,0.2463768115942029,False,"[8, 12, 10, 20, 18, 14, 6, 0, 4, 16, 2, 22, 15, 13, 3, 23, 17, 7, 21, 11, 1, 5, 9, 19]",nan,0.5,0.584548923001212,0.584548923001212,-2.3603034677604833,0.12364002148870742,0.08454892300121197,0.458138914058594,0.4665938063587152,1250.5,618.0,256.0,400.0,1816.0,638.0,910.5,3
24,c86e84008b3b4d7a,hybrid_gnn_surrogate_disagreement,hybrid_gnn_surrogate_disagreement,even_odd,,0.8695652173913043,0.9130434782608695,0.31568998109640833,0.9565217391304348,1,5,0.043478260869565216,0.5,11,1.9565588879089244,0.6376811594202899,0.49275362318840576,4,2,0.20833333333333334,0.8333333333333334,1.0,0.001890359168241966,0.24061829321949843,R33_N24_C02323,N24_R33_N24_C02323_hybrid_gnn_surrogate_disagreement,"[20,2,0,22,14,10,18,6,16,12,8,4,3,17,19,23,15,13,11,1,9,5,7,21]",20-2-0-22-14-10-18-6-16-12-8-4-3-17-19-23-15-13-11-1-9-5-7-21,S3R24L64_N24_B02_top_region,0.23550724637681159,False,"[20, 2, 0, 22, 14, 10, 18, 6, 16, 12, 8, 4, 3, 17, 19, 23, 15, 13, 11, 1, 9, 5, 7, 21]",nan,0.5,0.6310030847537186,0.6310030847537186,-2.2063776465753713,0.09121334219303663,0.13100308475371858,0.46542283004541446,0.4785231385207863,1250.5,397.0,154.0,185.0,1482.0,1709.0,973.5,4
24,738249755687c0ee,uncertainty_calibration,uncertainty_calibration,even_odd,,0.782608695652174,0.21739130434782608,0.31190926275992437,0.9565217391304348,0,5,0.043478260869565216,0.45454545454545453,12,1.9902945262983702,0.6666666666666666,0.49275362318840576,5,1,0.20833333333333334,0.75,1.0,-0.024574669187145556,0.250798731916259,R33_N24_C02000,N24_R33_N24_C02000_uncertainty_calibration,"[18,20,14,4,2,0,22,16,8,6,12,10,7,9,21,1,15,19,11,13,23,17,3,5]",18-20-14-4-2-0-22-16-8-6-12-10-7-9-21-1-15-19-11-13-23-17-3-5,S3R24L64_N24_B01_top_region,0.21739130434782608,False,"[18, 20, 14, 4, 2, 0, 22, 16, 8, 6, 12, 10, 7, 9, 21, 1, 15, 19, 11, 13, 23, 17, 3, 5]",nan,0.5,0.5954013343409047,0.5954013343409047,-2.1696215396126113,0.09808799288576761,0.0954013343409047,0.4553982633085855,0.464938396742676,1250.5,578.0,323.0,430.0,1749.0,1519.0,1099.5,5
24,9f02dd3082df3ba3,diversity_coverage,diversity_coverage,even_odd,,0.782608695652174,0.21739130434782608,0.277882797731569,0.782608695652174,0,2,0.043478260869565216,0.45454545454545453,12,1.9080494202329223,0.5652173913043478,0.5072463768115941,4,2,0.19791666666666666,0.75,1.0,-0.024574669187145556,0.16254890606204658,R33_N24_C01524,N24_R33_N24_C01524_diversity_coverage,"[18,22,20,14,4,8,6,10,16,12,0,2,7,9,17,23,15,21,11,3,13,19,1,5]",18-22-20-14-4-8-6-10-16-12-0-2-7-9-17-23-15-21-11-3-13-19-1-5,S3R24L64_N24_B01_top_region,0.25,False,"[18, 22, 20, 14, 4, 8, 6, 10, 16, 12, 0, 2, 7, 9, 17, 23, 15, 21, 11, 3, 13, 19, 1, 5]",nan,0.5,0.6045225895760773,0.6045225895760773,-2.1752756386995316,0.09905084154503374,0.1045225895760773,0.46103573154852273,0.47148799050613044,1250.5,530.0,209.0,297.0,1688.0,1487.0,893.5,6
24,cd2eef365a3f8007,sentinel_control,sentinel_control,even_odd,,0.8695652173913043,0.13043478260869565,0.23251417769376181,0.6086956521739131,1,2,0.043478260869565216,0.5454545454545454,10,1.8120005877907306,0.4202898550724638,0.5072463768115942,3,3,0.18229166666666666,0.8333333333333334,1.0,-0.032136105860113416,0.1525696693684769,R33_N24_C01976,N24_R33_N24_C01976_sentinel_control,"[20,18,14,12,4,8,22,10,16,6,2,0,1,5,15,13,21,17,23,19,11,9,7,3]",20-18-14-12-4-8-22-10-16-6-2-0-1-5-15-13-21-17-23-19-11-9-7-3,S3R24L64_N24_B02_top_region,0.2826086956521739,False,"[20, 18, 14, 12, 4, 8, 22, 10, 16, 6, 2, 0, 1, 5, 15, 13, 21, 17, 23, 19, 11, 9, 7, 3]",nan,0.5,0.6373078639133528,0.6373078639133528,-2.031639039516449,0.08338086524703464,0.1373078639133528,0.47092592206825906,0.48465670845959435,1250.5,378.0,90.0,110.0,1436.0,1925.0,744.0,7
24,74287c57c37ad8ad,N24_calibration_neighborhood,N24_calibration_neighborhood,known_best_mutation,N24_A04_method_c_u2_first_engineering,0.9130434782608695,1.0,0.16257088846880907,1.0,0,2,0.08695652173913043,0.8636363636363636,3,0.5305096302260272,0.5507246376811594,0.7101449275362319,3,3,0.23263888888888887,0.875,2.0,0.003780718336483932,0.21308297589356298,R33_N24_C00448,N24_R33_N24_C00448_N24_calibration_neighborhood,"[21,19,17,15,13,1,3,5,7,9,11,22,20,18,16,14,12,10,8,6,4,2,0,23]",21-19-17-15-13-1-3-5-7-9-11-22-20-18-16-14-12-10-8-6-4-2-0-23,N24_A13_graph_pointer_policy_anti_odd_even_novelty,0.34782608695652173,False,"[21, 19, 17, 15, 13, 1, 3, 5, 7, 9, 11, 22, 20, 18, 16, 14, 12, 10, 8, 6, 4, 2, 0, 23]",nan,0.5,0.7125905777892692,0.7125905777892692,-2.008156421749542,0.06993255445866552,0.21259057778926915,0.49492350858883605,0.5161825663677629,1250.5,22.0,1.0,1.0,571.0,2205.0,376.5,8
24,b886c8f137f41d0c,N24_calibration_neighborhood,N24_calibration_neighborhood,known_best_mutation,S3R24L64_N24_B23_exploitation_reference,0.782608695652174,0.6956521739130435,0.16257088846880907,1.0,0,1,0.08695652173913043,0.8181818181818182,4,0.7031315809605685,0.6521739130434782,0.2608695652173913,5,1,0.203125,0.75,2.0,-0.003780718336483932,0.20681946157440984,R33_N24_C00612,N24_R33_N24_C00612_N24_calibration_neighborhood,"[18,20,22,11,1,3,5,7,9,13,15,17,19,21,23,0,2,4,6,8,10,12,14,16]",18-20-22-11-1-3-5-7-9-13-15-17-19-21-23-0-2-4-6-8-10-12-14-16,S3R19B28_N24_B04_method_c_inspired,0.29347826086956524,False,"[18, 20, 22, 11, 1, 3, 5, 7, 9, 13, 15, 17, 19, 21, 23, 0, 2, 4, 6, 8, 10, 12, 14, 16]",nan,0.5,0.7028166549800919,0.7028166549800919,-2.119320693115393,0.07572010403837998,0.20281665498009194,0.4876240002358175,0.5079056657338267,1250.5,49.0,3.0,2.0,682.0,2115.0,689.5,9
24,e18af31cc7c11ce5,N24_calibration_neighborhood,N24_calibration_neighborhood,known_best_mutation,S3R24L64_N24_B03_top_region,0.8260869565217391,1.0,0.15879017013232513,0.8260869565217391,0,2,0.08695652173913043,0.8636363636363636,3,0.7031315809605685,0.5362318840579711,0.7971014492753623,3,3,0.20486111111111113,0.7916666666666666,2.0,0.007561436672967864,0.1838416811556024,R33_N24_C00709,N24_R33_N24_C00709_N24_calibration_neighborhood,"[19,17,15,13,1,3,5,7,9,11,22,20,18,16,14,12,10,8,6,4,0,2,21,23]",19-17-15-13-1-3-5-7-9-11-22-20-18-16-14-12-10-8-6-4-0-2-21-23,N24_A13_graph_pointer_policy_anti_odd_even_novelty,0.286231884057971,False,"[19, 17, 15, 13, 1, 3, 5, 7, 9, 11, 22, 20, 18, 16, 14, 12, 10, 8, 6, 4, 0, 2, 21, 23]",nan,0.5,0.705981101821688,0.705981101821688,-1.9596888481949766,0.0639355493042667,0.20598110182168805,0.48651201879164574,0.5071101289738146,1250.5,36.0,5.0,3.0,636.0,2288.0,727.0,10
